pair,mode,wd_variant,wd_entry_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,3D,ALL,H4,H4,12,8,4,0.367898818764751,66.66666666666666,1.0518482281471266,-1.0,1.0673025144104447
AUDCHF,3D,ALL,H1,H4,19,10,9,0.06278534642797165,52.63157894736842,1.0192921582131462,-1.0,1.0285482977866958
AUDCHF,3D,ALL,H4,H4,10,7,3,0.4644594658708532,70.0,1.092084951244076,-1.0,1.0821791303005424
AUDJPY,3D,ALL,H1,H4,13,6,7,-0.053384140555277224,46.15384615384615,1.0510010287968994,-1.0,1.1029976816392433
AUDJPY,3D,ALL,H4,H4,14,8,6,0.17263493387631104,57.14285714285714,1.0521111342835443,-1.0,1.0784289062673635
AUDNZD,3D,ALL,H1,H4,14,9,5,0.30739372393166925,64.28571428571429,1.0337235705603744,-1.0,1.0494914254063117
AUDNZD,3D,ALL,H4,H4,19,13,6,0.41227170775526,68.42105263157895,1.0640894190269188,-1.0,1.0922018650181677
AUDUSD,3D,ALL,H1,H4,20,10,10,0.03258598444129296,50.0,1.0651719688825858,-1.0,1.0580963516784656
AUDUSD,3D,ALL,H4,H4,13,8,5,0.26042537796596693,61.53846153846154,1.0481912391946961,-1.0,1.1159261738712352
CADCHF,3D,ALL,H1,H4,14,8,6,0.17577889903624574,57.14285714285714,1.0576130733134301,-1.0,1.0272943481906196
CADCHF,3D,ALL,H4,H4,12,6,6,0.04662261649417313,50.0,1.0932452329883464,-1.0,1.09017309437775
CADJPY,3D,ALL,H1,H4,10,9,1,0.8478572483668783,90.0,1.0531747204076423,-1.0,1.0424593576669738
CADJPY,3D,ALL,H4,H4,22,13,9,0.23367583813358783,59.09090909090909,1.08775911068761,-1.0,1.0675725421836564
CHFJPY,3D,ALL,H1,H4,15,11,4,0.4915007392713505,73.33333333333333,1.0338646444609325,-1.0,1.0464227684077099
CHFJPY,3D,ALL,H4,H4,12,6,6,0.002604696899492165,50.0,1.0052093937989843,-1.0,1.0706108116484112
EURAUD,3D,ALL,H1,H4,19,15,4,0.6419387386439055,78.94736842105263,1.0797890689489469,-1.0,1.0770469893558052
EURAUD,3D,ALL,H4,H4,16,12,4,0.5518016399357544,75.0,1.0690688532476724,-1.0,1.0957810981132772
EURCAD,3D,ALL,H1,H4,15,12,3,0.6354811021736764,80.0,1.0443513777170954,-1.0,1.0591893561965937
EURCAD,3D,ALL,H4,H4,12,7,5,0.15164596642389616,58.333333333333336,0.9742502281552506,-1.0,1.0481938930044234
EURCHF,3D,ALL,H1,H4,18,8,10,-0.08729668350977264,44.44444444444444,1.0535824621030117,-1.0,1.095514258311522
EURCHF,3D,ALL,H4,H4,16,8,8,0.038469260037986897,50.0,1.0769385200759738,-1.0,1.0714202081526898
EURGBP,3D,ALL,H1,H4,14,7,7,0.04133131753761606,50.0,1.0826626350752322,-1.0,1.0759108815375604
EURGBP,3D,ALL,H4,H4,8,7,1,0.8062114232562294,87.5,1.064241626578548,-1.0,1.0857107090838758
EURJPY,3D,ALL,H1,H4,17,8,9,-0.02782749098388306,47.05882352941176,1.0658665816592485,-1.0,1.0854215651082504
EURJPY,3D,ALL,H4,H4,9,5,4,0.14123733995483967,55.55555555555556,1.0542272119187115,-1.0,1.0761003355235035
EURNZD,3D,ALL,H1,H4,19,14,5,0.5192689856776145,73.68421052631578,1.0618650519910482,-1.0,1.075292193385127
EURNZD,3D,ALL,H4,H4,10,7,3,0.43095492141401187,70.0,1.0442213163057312,-1.0,1.0777154144299603
EURUSD,3D,ALL,H1,H4,15,11,4,0.47674143285823206,73.33333333333333,1.0137383175339527,-1.0,1.025211152628788
EURUSD,3D,ALL,H4,H4,16,8,8,0.039374528780643875,50.0,1.0787490575612877,-1.0,1.0906571353881376
GBPAUD,3D,ALL,H4,H4,13,6,7,-0.04712229533738273,46.15384615384615,1.0645683601023375,-1.0,1.0753964859831557
GBPCAD,3D,ALL,H4,H4,14,9,5,0.3415290613304455,64.28571428571429,1.0868229842918042,-1.0,1.1077102543625275
GBPCHF,3D,ALL,H4,H4,14,7,7,0.00960079540958847,50.0,1.019201590819177,-1.0,1.0290686640412379
GBPJPY,3D,ALL,H4,H4,17,8,9,-0.03452293843546017,47.05882352941176,1.0516387558246472,-1.0,1.0713735078838629
GBPNZD,3D,ALL,H4,H4,17,12,5,0.48433988044983645,70.58823529411765,1.1028148306372685,-1.0,1.105394329616901
GBPUSD,3D,ALL,H4,H4,11,8,3,0.48258112911212553,72.72727272727273,1.0385490525291727,-1.0,1.026628795805621
NZDCAD,3D,ALL,H1,H4,23,11,12,0.014182655985753209,47.82608695652174,1.1205637352429385,-1.0,1.1048796140344175
NZDCAD,3D,ALL,H4,H4,10,8,2,0.6764233006344156,80.0,1.0955291257930195,-1.0,1.0995182224602167
NZDCHF,3D,ALL,H1,H4,14,9,5,0.3403349823052629,64.28571428571429,1.084965528030409,-1.0,1.1173156587549609
NZDCHF,3D,ALL,H4,H4,14,9,5,0.35068328309530034,64.28571428571429,1.1010628848149118,-1.0,1.1013511251985821
NZDJPY,3D,ALL,H1,H4,10,4,6,-0.1854258270833747,40.0,1.036435432291563,-1.0,1.0834604064552642
NZDJPY,3D,ALL,H4,H4,12,8,4,0.368899063509762,66.66666666666666,1.053348595264643,-1.0,1.0586141466655625
NZDUSD,3D,ALL,H1,H4,11,7,4,0.3730407372116949,63.63636363636363,1.1576354441898062,-1.0,1.1460501711096354
NZDUSD,3D,ALL,H4,H4,9,5,4,0.14915586940847567,55.55555555555556,1.0684805649352562,-1.0,1.0810626301647916
USDCAD,3D,ALL,H1,H4,5,2,3,-0.15758998386783707,40.0,1.1060250403304073,-1.0,1.0869494262056711
USDCAD,3D,ALL,H4,H4,13,5,8,-0.20592797173953906,38.46153846153847,1.0645872734771984,-1.0,1.1046338614061337
USDCHF,3D,ALL,H1,H4,14,4,10,-0.42201638793372886,28.57142857142857,1.0229426422319488,-1.0,1.0632495091886671
USDCHF,3D,ALL,H4,H4,10,5,5,0.0007620675026387746,50.0,1.0015241350052775,-1.0,1.0301449928233737
USDJPY,3D,ALL,H1,H4,17,13,4,0.5815107901405407,76.47058823529412,1.0681294947991686,-1.0,1.08290999409738
USDJPY,3D,ALL,H4,H4,12,4,8,-0.32171789424762426,33.33333333333333,1.0348463172571272,-1.0,1.1148270069906119
ALL,ALL,ALL,ALL,ALL,683,405,278,0.22269209776674848,59.29721815519766,1.0619721056165166,-1.0,1.076417538367215
