pair,mode,wd_variant,wd_entry_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,W,ALL,H4,H4,12,10,2,0.7144095308338998,83.33333333333334,1.0572914370006798,-1.0,1.060171297877347
AUDCHF,W,ALL,H1,H4,16,8,8,0.03930248753718832,50.0,1.0786049750743767,-1.0,1.1125089539171165
AUDCHF,W,ALL,H4,H4,12,8,4,0.4051687883262322,66.66666666666666,1.1077531824893483,-1.0,1.078950464335872
AUDJPY,W,ALL,H1,H4,12,6,6,0.039237333572035384,50.0,1.0784746671440708,-1.0,1.1170511153430542
AUDJPY,W,ALL,H4,H4,20,8,12,-0.16948145854395533,40.0,1.0762963536401116,-1.0,1.0568056092426594
AUDNZD,W,ALL,H1,H4,12,7,5,0.21831744599043035,58.333333333333336,1.088544193126452,-1.0,1.089744967925111
AUDNZD,W,ALL,H4,H4,18,9,9,0.028386765998999586,50.0,1.0567735319979992,-1.0,1.0583965122890602
AUDUSD,W,ALL,H1,H4,13,7,6,0.13125185082510862,53.84615384615385,1.1008962943894873,-1.0,1.0622225401892167
AUDUSD,W,ALL,H4,H4,9,6,3,0.43609670710325155,66.66666666666666,1.1541450606548773,-1.0,1.1423626097550938
CADCHF,W,ALL,H1,H4,21,8,13,-0.21417290196253858,38.095238095238095,1.0627961323483364,-1.0,1.083709728265347
CADCHF,W,ALL,H4,H4,14,7,7,0.022831018632070106,50.0,1.0456620372641403,-1.0,1.0585083503349308
CADJPY,W,ALL,H1,H4,18,7,11,-0.19541682501228516,38.88888888888889,1.068928164254124,-1.0,1.0974525314457193
CADJPY,W,ALL,H4,H4,12,3,9,-0.4601453618566756,25.0,1.1594185525732976,-1.0,1.116782939567827
CHFJPY,W,ALL,H1,H4,17,11,6,0.3400311066953608,64.70588235294117,1.0709571648928302,-1.0,1.0759078996208842
CHFJPY,W,ALL,H4,H4,14,8,6,0.2322221072428134,57.14285714285714,1.1563886876749234,-1.0,1.1299458336799968
EURAUD,W,ALL,H1,H4,10,6,4,0.2593241028341585,60.0,1.0988735047235976,-1.0,1.092210442337479
EURAUD,W,ALL,H4,H4,17,10,7,0.23570807637081395,58.82352941176471,1.100703729830384,-1.0,1.1277462008845045
EURCAD,W,ALL,H1,H4,23,8,15,-0.2796822573573965,34.78260869565217,1.0709135100974847,-1.0,1.0577620408589226
EURCAD,W,ALL,H4,H4,10,8,2,0.6101668786447287,80.0,1.012708598305911,-1.0,0.9983840934881453
EURCHF,W,ALL,H1,H4,20,9,11,-0.09620586099039274,45.0,1.0084314200213493,-1.0,1.0820931980477684
EURCHF,W,ALL,H4,H4,13,10,3,0.5834058291715605,76.92307692307693,1.0584275779230286,-1.0,1.0679450811083735
EURGBP,W,ALL,H1,H4,13,7,6,0.15152749053213913,53.84615384615385,1.1385510538454011,-1.0,1.1242633303253755
EURGBP,W,ALL,H4,H4,11,5,6,-0.04640389562763223,45.45454545454545,1.097911429619209,-1.0,1.136938799761471
EURJPY,W,ALL,H1,H4,15,8,7,0.10771491793547557,53.333333333333336,1.0769654711290166,-1.0,1.0633071187607808
EURJPY,W,ALL,H4,H4,16,9,7,0.18938989259371034,56.25,1.1144709201665963,-1.0,1.1241031078229853
EURNZD,W,ALL,H1,H4,14,6,8,-0.12480081268008199,42.857142857142854,1.0421314370798087,-1.0,1.0863877379978788
EURNZD,W,ALL,H4,H4,14,9,5,0.3161233854450091,64.28571428571429,1.0473030440255697,-1.0,1.0564298852431115
EURUSD,W,ALL,H1,H4,9,2,7,-0.5247222903602391,22.22222222222222,1.1387496933789238,-1.0,1.1484325915174023
EURUSD,W,ALL,H4,H4,13,8,5,0.2908976425062032,61.53846153846154,1.0977086690725804,-1.0,1.091584152460436
GBPAUD,W,ALL,H4,H4,14,10,4,0.4447234908199508,71.42857142857143,1.0226128871479312,-1.0,1.0542251287019535
GBPCAD,W,ALL,H4,H4,13,5,8,-0.20456911727657973,38.46153846153847,1.068120295080893,-1.0,1.0908847516331428
GBPCHF,W,ALL,H4,H4,13,7,6,0.11397742259392628,53.84615384615385,1.0688152133887203,-1.0,1.0917040447667614
GBPJPY,W,ALL,H4,H4,11,7,4,0.2764569347352944,63.63636363636363,1.0058608974411771,-1.0,1.0051041539392378
GBPNZD,W,ALL,H4,H4,16,13,3,0.6571079100439032,81.25,1.0395174277463426,-1.0,1.0378706143643233
GBPUSD,W,ALL,H4,H4,15,8,7,0.1245483660836942,53.333333333333336,1.1085281864069267,-1.0,1.126424529714922
NZDCAD,W,ALL,H1,H4,13,6,7,-0.027749789138730538,46.15384615384615,1.1065421235327504,-1.0,1.1287935298393121
NZDCAD,W,ALL,H4,H4,9,4,5,-0.05360396673443055,44.44444444444444,1.1293910748475313,-1.0,1.092700285627303
NZDCHF,W,ALL,H1,H4,11,7,4,0.2920890552307709,63.63636363636363,1.0304256582197828,-1.0,1.0481014579464436
NZDCHF,W,ALL,H4,H4,16,7,9,-0.05890759940795723,43.75,1.1510683442103835,-1.0,1.116962769774621
NZDJPY,W,ALL,H1,H4,11,6,5,0.14235387586787826,54.54545454545454,1.09431543909111,-1.0,1.1003888855579331
NZDJPY,W,ALL,H4,H4,7,3,4,-0.08861716186596416,42.857142857142854,1.1265599556460835,-1.0,1.1239873683634032
NZDUSD,W,ALL,H1,H4,11,9,2,0.7804394077497032,81.81818181818183,1.1760926094718593,-1.0,1.1549440830166307
NZDUSD,W,ALL,H4,H4,9,4,5,-0.07060082131863189,44.44444444444444,1.0911481520330781,-1.0,1.1094166670683896
USDCAD,W,ALL,H1,H4,8,2,6,-0.47743503097496126,25.0,1.090259876100155,-1.0,1.1176985987316965
USDCAD,W,ALL,H4,H4,14,6,8,-0.11241145687821506,42.857142857142854,1.0710399339508314,-1.0,1.1073915694228091
USDCHF,W,ALL,H1,H4,13,6,7,-0.04043794983018109,46.15384615384615,1.0790511087012744,-1.0,1.0826872155572693
USDCHF,W,ALL,H4,H4,11,2,9,-0.6432271370344114,18.181818181818183,0.9622507463107377,-1.0,1.1030373592292542
USDJPY,W,ALL,H1,H4,11,5,6,-0.029296955793275747,45.45454545454545,1.1355466972547934,-1.0,1.1305064906297586
USDJPY,W,ALL,H4,H4,14,4,10,-0.4093354876417052,28.57142857142857,1.0673257932540319,-1.0,1.0345126059326857
ALL,ALL,ALL,ALL,ALL,658,339,319,0.07179342939727162,51.51975683890577,1.0803542080926392,-1.0,1.0887825619374247
