pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCHF,43,16,27,-0.15744186046511696,37.2093023255814,1.264374999999998,-1.0
AUDJPY,35,13,22,-0.11925714285714324,37.142857142857146,1.3712307692307681,-1.0
AUDNZD,28,10,18,-0.1592142857142862,35.714285714285715,1.3541999999999987,-1.0
AUDUSD,26,10,16,-0.07384615384615359,38.46153846153847,1.4080000000000006,-1.0
CADCHF,27,17,10,0.4929245735723954,62.96296296296296,1.3711154992032162,-1.0
CADJPY,29,10,19,-0.16633188794824233,34.48275862068966,1.4176375249500972,-1.0
CHFJPY,29,9,20,-0.2608275862068962,31.03448275862069,1.3817777777777787,-1.0
EURAUD,49,24,25,0.20551649861645455,48.97959183673469,1.4612628513419281,-1.0
EURCAD,39,16,23,-0.017294428779567956,41.02564102564102,1.395344829849803,-1.0
EURCHF,15,5,10,-0.2311019019018944,33.33333333333333,1.3066942942943167,-1.0
EURGBP,33,18,15,0.28436363636363543,54.54545454545454,1.3546666666666647,-1.0
EURJPY,41,20,21,0.1401186969503817,48.78048780487805,1.3372433287482823,-1.0
EURNZD,46,24,22,0.27148293046374444,52.17391304347826,1.4370089500555103,-1.0
EURUSD,28,9,19,-0.2357112766672938,32.142857142857146,1.3777871392573082,-1.0
GBPAUD,61,22,39,-0.13327422469516478,36.0655737704918,1.4031941951634064,-1.0
GBPCAD,52,21,31,-0.03574098929481087,40.38461538461539,1.3876889788890396,-1.0
GBPCHF,36,15,21,-0.005444872453346122,41.66666666666667,1.3869323061119692,-1.0
GBPJPY,44,13,31,-0.2713341709561047,29.545454545454547,1.4662535752254915,-1.0
GBPNZD,46,16,30,-0.15466621754676832,34.78260869565217,1.430334624553041,-1.0
GBPUSD,41,14,27,-0.2065643884604093,34.146341463414636,1.3236328623659441,-1.0
NZDCAD,28,10,18,-0.17157142857142862,35.714285714285715,1.3195999999999999,-1.0
NZDCHF,28,10,18,-0.15035714285714338,35.714285714285715,1.3789999999999984,-1.0
NZDJPY,32,16,16,0.16974999999999976,50.0,1.3394999999999995,-1.0
NZDUSD,29,8,21,-0.3728965517241399,27.586206896551722,1.2732499999999929,-1.0
USDCAD,3,1,2,-0.22800000000001278,33.33333333333333,1.3159999999999616,-1.0
USDCHF,23,10,13,-0.05347826086956386,43.47826086956522,1.1770000000000032,-1.0
USDJPY,30,13,17,0.058333333333332536,43.333333333333336,1.4423076923076903,-1.0
ALL,921,370,551,-0.045299633514993026,40.17372421281216,1.3764298311694363,-1.0
