mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
3D,ALL,H4,H4,AUDUSD,short,2015-02-04,2015-02-09,0.779615,0.787645,0.008030000000000093,2015-02-10 02:00:00,2015-02-10 06:00:00,0.783085,0.784185,2015-02-18 02:00:00,0.782215,0.7715849999999999,0.7915367424242424,2015-03-06 14:00:00,0.7715849999999999,win,1.140344746316463,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,93.21742424242424,1.0,,1
3D,ALL,H4,H4,GBPNZD,long,2015-02-12,2015-02-17,2.032005,2.04802,0.016015000000000335,2015-02-17 18:00:00,2015-02-17 22:00:00,2.033195,2.034465,2015-02-20 06:00:00,2.036375,2.0640350000000005,2.0135712121212124,2015-02-24 02:00:00,2.0640350000000005,win,1.2129563801867265,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,228.0378787878785,1.0,WD-INV-VAL,2
3D,ALL,H4,H4,NZDUSD,short,2015-02-17,2015-02-20,0.75175,0.7574,0.005649999999999933,2015-02-20 06:00:00,2015-02-20 10:00:00,0.75516,0.755405,2015-02-25 02:00:00,0.755005,0.7461000000000001,0.7645103787878789,2015-03-05 14:00:00,0.7461000000000001,win,0.936837994436955,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,95.0537878787879,1.0,,2
3D,ALL,H4,H4,GBPUSD,short,2015-03-18,2015-03-23,1.49546,1.5169,0.021439999999999904,2015-03-24 05:00:00,2015-03-24 09:00:00,1.496585,1.49848,2015-03-26 05:00:00,1.495845,1.47402,1.5190439999999998,2015-04-01 09:00:00,1.47402,win,0.9407733091943713,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,129.9030303030304,1.0,,1
3D,ALL,H4,H4,NZDCAD,short,2015-03-23,2015-03-26,0.952115,0.962015,0.009899999999999909,2015-03-30 13:00:00,2015-03-30 17:00:00,0.954545,0.954675,2015-03-31 09:00:00,0.9529,0.9422150000000001,0.9630049999999999,2015-04-01 05:00:00,0.9422150000000001,win,1.05739732805541,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,100.4757575757576,1.0,,2
3D,ALL,H4,H4,USDCHF,long,2015-03-31,2015-04-03,0.94811,0.95966,0.01154999999999995,2015-04-07 01:00:00,2015-04-07 05:00:00,0.95581,0.955915,2015-04-16 17:00:00,0.95595,0.9712099999999999,0.9402509848484848,2015-04-22 17:00:00,0.9712099999999999,win,0.972035497304884,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,156.9901515151515,1.0,,1
3D,ALL,H4,H4,EURGBP,long,2015-03-10,2015-03-13,0.701445,0.714695,0.013249999999999984,2015-03-17 01:00:00,2015-03-17 05:00:00,0.711945,0.712225,2015-04-22 13:00:00,0.713925,0.727945,0.70012,2015-04-30 13:00:00,0.727945,win,1.0155740673668854,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,69.85378787878784,1.0,,2
3D,ALL,H4,H4,GBPAUD,short,2015-04-13,2015-04-16,1.932045,1.946415,0.014369999999999994,2015-04-15 09:00:00,2015-04-15 13:00:00,1.94452,1.946415,2015-04-22 21:00:00,1.94321,1.917675,1.9654043939393941,2015-04-28 13:00:00,1.917675,win,1.150515759507933,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,221.9439393939394,1.0,,2
3D,ALL,H4,H4,AUDJPY,short,2015-06-05,2015-06-10,95.6355,96.437,0.8015000000000043,2015-06-11 17:00:00,2015-06-11 21:00:00,95.8225,95.827,2015-06-15 09:00:00,95.815,94.83399999999999,96.80368181818181,2015-06-26 09:00:00,94.83399999999999,win,0.9922302422877205,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,98.86818181818174,1.0,,1
3D,ALL,H4,H4,AUDJPY,long,2015-06-10,2015-06-15,94.421,95.35,0.9289999999999878,2015-06-17 05:00:00,2015-06-17 09:00:00,95.0455,95.07,2015-06-18 01:00:00,95.08,96.27899999999998,94.09837121212121,2015-06-18 13:00:00,96.27899999999998,win,1.2214393208566314,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,98.1628787878787,1.0,WD-INV-VAL,2
3D,ALL,H4,H4,GBPAUD,short,2015-08-20,2015-08-25,2.20487,2.24049,0.03561999999999976,2015-08-26 01:00:00,2015-08-26 05:00:00,2.20788,2.208855,2015-09-07 13:00:00,2.204855,2.1692500000000003,2.244052,2015-09-10 05:00:00,2.1692500000000003,win,0.9083603336989899,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,253.2219696969698,1.0,,1
3D,ALL,H4,H4,USDJPY,long,2015-09-15,2015-09-18,119.057,120.005,0.9479999999999933,2015-09-22 09:00:00,2015-09-22 13:00:00,119.694,119.704,2015-09-23 01:00:00,119.753,120.95299999999999,118.72730303030303,2015-09-25 05:00:00,120.95299999999999,win,1.1699361852989734,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,102.5696969696969,1.0,,1
3D,ALL,H4,H4,EURAUD,short,2015-09-23,2015-09-28,1.59396,1.625145,0.031185000000000018,2015-09-29 13:00:00,2015-09-29 17:00:00,1.6123,1.613965,2015-10-02 13:00:00,1.59918,1.562775,1.6282635,2015-10-07 05:00:00,1.562775,win,1.2517406777038518,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,222.5636363636363,1.0,,1
3D,ALL,H4,H4,USDJPY,long,2015-08-20,2015-08-25,116.165,118.429,2.263999999999996,2015-08-24 17:00:00,2015-08-24 21:00:00,118.253,118.358,2015-10-15 05:00:00,118.402,120.693,115.93860000000001,2015-10-22 13:00:00,120.693,win,0.9300154258342143,TP,wickdiffs_3D_H4_ALL_20260121_202249.csv,97.40075757575748,1.0,,1
