pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,ALL,H4,H4,17,9,8,0.17580547819047349,52.94117647058824,1.2209659032486722,-1.0
AUDCHF,W,ALL,H4,H4,19,13,6,0.5288525019549049,68.42105263157895,1.234476733626399,-1.0
AUDJPY,W,ALL,H4,H4,19,11,8,0.3258995547876975,57.89473684210527,1.2901901400878413,-1.0
AUDNZD,W,ALL,H4,H4,13,7,6,0.18437829059327407,53.84615384615385,1.199559682530366,-1.0
AUDUSD,W,ALL,H4,H4,10,6,4,0.32143493938143824,60.0,1.2023915656357305,-1.0
CADCHF,W,ALL,H4,H4,30,11,19,-0.19778652589200643,36.666666666666664,1.187854929385437,-1.0
CADJPY,W,ALL,H4,H4,18,11,7,0.3788024013734606,61.111111111111114,1.25622211133839,-1.0
CHFJPY,W,ALL,H4,H4,22,15,7,0.5735395518229591,68.18181818181817,1.3078580093403398,-1.0
EURAUD,W,ALL,H4,H4,17,6,11,-0.20734247665912808,35.294117647058826,1.2458629827991372,-1.0
EURCAD,W,ALL,H4,H4,23,13,10,0.2707010500278651,56.52173913043478,1.2481633962031458,-1.0
EURCHF,W,ALL,H4,H4,16,10,6,0.3841595981336724,62.5,1.2146553570138758,-1.0
EURGBP,W,ALL,H4,H4,21,11,10,0.1563060345657311,52.38095238095239,1.2074933387163957,-1.0
EURJPY,W,ALL,H4,H4,19,10,9,0.16363807146805795,52.63157894736842,1.2109123357893101,-1.0
EURNZD,W,ALL,H4,H4,23,12,11,0.17268023078386957,52.17391304347826,1.2476371090024168,-1.0
EURUSD,W,ALL,H4,H4,18,8,10,-0.004379891210246006,44.44444444444444,1.2401452447769465,-1.0
GBPNZD,W,ALL,H4,H4,19,7,12,-0.18728300550839153,36.84210526315789,1.2059461279057946,-1.0
NZDCAD,W,ALL,H4,H4,14,7,7,0.13235712964622964,50.0,1.2647142592924594,-1.0
NZDCHF,W,ALL,H4,H4,18,8,10,-0.03816715948915582,44.44444444444444,1.1641238911493996,-1.0
NZDJPY,W,ALL,H4,H4,15,8,7,0.2410918100912071,53.333333333333336,1.3270471439210132,-1.0
NZDUSD,W,ALL,H4,H4,15,9,6,0.3120591316502844,60.0,1.1867652194171407,-1.0
USDCAD,W,ALL,H4,H4,17,5,12,-0.2913135510873145,29.411764705882355,1.409533926303131,-1.0
USDCHF,W,ALL,H4,H4,16,8,8,0.11752261539090997,50.0,1.2350452307818198,-1.0
USDJPY,W,ALL,H4,H4,21,9,12,-0.09234374371949047,42.857142857142854,1.1178645979878556,-1.0
ALL,ALL,ALL,ALL,ALL,420,214,206,0.13897350180928666,50.95238095238095,1.2353685549528053,-1.0
