mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
3D,ALL,H4,H4,NZDUSD,short,2015-02-17,2015-02-20,0.75175,0.7574,0.005649999999999933,2015-02-18 22:00:00,2015-02-19 02:00:00,0.75673,0.757305,2015-02-25 22:00:00,0.75507,0.7461000000000001,0.7645753787878788,2015-03-05 14:00:00,0.7461000000000001,win,0.9436762279729893,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,95.0537878787879,1.0,30,0.9,1.3,5
3D,ALL,H4,H4,NZDCAD,short,2015-02-17,2015-02-20,0.93927,0.949435,0.01016499999999998,2015-02-23 22:00:00,2015-02-24 02:00:00,0.946335,0.94732,2015-02-26 10:00:00,0.94323,0.9291050000000001,0.9540953846153846,2015-03-06 14:00:00,0.9291050000000001,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,99.84015151515156,1.0,30,0.9,1.3,6
3D,ALL,H4,H4,GBPAUD,long,2015-02-20,2015-02-25,1.957305,1.973675,0.016369999999999996,2015-02-25 10:00:00,2015-02-25 14:00:00,1.961255,1.96143,2015-03-03 02:00:00,1.96403,1.990045,1.943201818181818,2015-03-06 10:00:00,1.943201818181818,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,208.2818181818181,1.0,30,0.9,1.3,6
3D,ALL,H4,H4,NZDUSD,long,2015-03-05,2015-03-10,0.71913,0.73554,0.016409999999999925,2015-03-12 01:00:00,2015-03-12 05:00:00,0.7288,0.73128,2015-03-17 13:00:00,0.73168,0.7519499999999999,0.7160876923076924,2015-03-18 17:00:00,0.7519499999999999,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,95.4189393939394,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDUSD,long,2015-03-05,2015-03-10,0.756065,0.77027,0.014205000000000023,2015-03-12 01:00:00,2015-03-12 05:00:00,0.757365,0.75955,2015-03-18 05:00:00,0.760245,0.784475,0.7416065384615383,2015-03-18 17:00:00,0.784475,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,89.52954545454554,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,NZDCAD,short,2015-03-10,2015-03-13,0.937295,0.94564,0.008345000000000047,2015-03-17 01:00:00,2015-03-17 05:00:00,0.94451,0.945055,2015-03-18 17:00:00,0.940875,0.9289499999999999,0.950816893939394,2015-03-20 13:00:00,0.950816893939394,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,99.41893939393944,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,EURCHF,long,2015-03-10,2015-03-13,1.05151,1.06595,0.014440000000000008,2015-03-15 21:00:00,2015-03-16 01:00:00,1.0544,1.054585,2015-03-19 13:00:00,1.055685,1.08039,1.0366811538461538,2015-04-13 09:00:00,1.0366811538461538,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,134.5090909090906,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,GBPJPY,long,2015-03-13,2015-03-18,177.163,179.003,1.839999999999975,2015-03-20 01:00:00,2015-03-20 05:00:00,177.9455,178.0745,2015-03-24 09:00:00,178.2635,180.84299999999996,176.27926923076924,2015-04-10 05:00:00,176.27926923076924,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,185.2053030303032,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,GBPUSD,short,2015-03-18,2015-03-23,1.49546,1.5169,0.021439999999999904,2015-03-24 05:00:00,2015-03-24 09:00:00,1.496585,1.49848,2015-03-26 05:00:00,1.495845,1.47402,1.5190439999999998,2015-04-01 09:00:00,1.47402,win,0.9407733091943713,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,129.9030303030304,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,NZDCAD,short,2015-03-23,2015-03-26,0.952115,0.962015,0.009899999999999909,2015-03-30 13:00:00,2015-03-30 17:00:00,0.954545,0.954675,2015-03-31 09:00:00,0.9529,0.9422150000000001,0.9630049999999999,2015-04-01 05:00:00,0.9422150000000001,win,1.05739732805541,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,100.4757575757576,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,USDCAD,long,2015-03-23,2015-03-26,1.241005,1.251815,0.010809999999999986,2015-03-26 05:00:00,2015-03-26 09:00:00,1.241005,1.241215,2015-04-08 09:00:00,1.24168,1.2626249999999999,1.2255684615384614,2015-04-10 05:00:00,1.2626249999999999,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,133.3219696969695,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,NZDUSD,short,2015-03-31,2015-04-03,0.75096,0.76304,0.01208000000000009,2015-04-06 13:00:00,2015-04-06 17:00:00,0.75991,0.76166,2015-04-08 09:00:00,0.75874,0.7388799999999999,0.7740169230769232,2015-04-17 09:00:00,0.7740169230769232,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,105.2984848484849,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,AUDJPY,short,2015-04-08,2015-04-13,92.308,93.06,0.7519999999999953,2015-04-09 21:00:00,2015-04-10 01:00:00,93.005,93.06,2015-04-16 17:00:00,92.8615,91.55600000000001,94.02158333333334,2015-04-28 05:00:00,94.02158333333334,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,116.0083333333333,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,NZDJPY,short,2015-04-08,2015-04-13,90.53,91.526,0.9959999999999951,2015-04-09 21:00:00,2015-04-10 01:00:00,91.421,91.526,2015-04-16 17:00:00,91.2945,89.534,92.64873076923077,2015-05-06 01:00:00,89.534,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,113.3590909090909,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,USDCHF,long,2015-03-31,2015-04-03,0.94811,0.95966,0.01154999999999995,2015-04-06 09:00:00,2015-04-06 13:00:00,0.95007,0.95008,2015-04-17 09:00:00,0.95461,0.9712099999999999,0.9388060606060605,2015-04-22 17:00:00,0.9712099999999999,win,1.0503710237186707,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,158.0393939393939,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,EURGBP,long,2015-03-10,2015-03-13,0.701445,0.714695,0.013249999999999984,2015-03-17 01:00:00,2015-03-17 05:00:00,0.711945,0.712225,2015-04-22 13:00:00,0.713925,0.727945,0.70012,2015-04-30 13:00:00,0.727945,win,1.0155740673668854,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,69.85378787878784,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,GBPAUD,short,2015-04-13,2015-04-16,1.932045,1.946415,0.014369999999999994,2015-04-15 09:00:00,2015-04-15 13:00:00,1.94452,1.946415,2015-04-22 21:00:00,1.94321,1.917675,1.9654043939393941,2015-04-28 13:00:00,1.917675,win,1.150515759507933,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,221.9439393939394,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,AUDCAD,short,2015-04-16,2015-04-21,0.9449,0.956915,0.012014999999999998,2015-04-22 05:00:00,2015-04-22 09:00:00,0.95388,0.95449,2015-04-26 21:00:00,0.95176,0.932885,0.9662792307692308,2015-04-29 17:00:00,0.9662792307692308,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,100.0227272727274,1.0,30,0.9,1.3,5
3D,ALL,H4,H4,EURAUD,long,2015-04-16,2015-04-21,1.37055,1.390005,0.019455,2015-04-22 09:00:00,2015-04-22 13:00:00,1.37799,1.37931,2015-04-28 05:00:00,1.380545,1.40946,1.3583026923076922,2015-04-30 05:00:00,1.40946,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,163.1636363636364,1.0,30,0.9,1.3,5
3D,ALL,H4,H4,GBPAUD,long,2015-04-16,2015-04-21,1.91055,1.929695,0.019144999999999968,2015-04-22 01:00:00,2015-04-22 05:00:00,1.91998,1.920445,2015-04-28 09:00:00,1.92104,1.94884,1.8996553846153847,2015-04-30 05:00:00,1.94884,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,213.0371212121212,1.0,30,0.9,1.3,6
3D,ALL,H4,H4,AUDJPY,short,2015-05-04,2015-05-07,95.183,95.9405,0.7574999999999932,2015-05-06 09:00:00,2015-05-06 13:00:00,95.8805,95.9405,2015-05-12 09:00:00,95.6975,94.42550000000001,96.70150000000001,2015-05-13 13:00:00,96.70150000000001,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,100.4,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,NZDCAD,long,2015-05-20,2015-05-25,0.8899,0.89764,0.007739999999999969,2015-05-21 05:00:00,2015-05-21 09:00:00,0.891105,0.891425,2015-05-28 13:00:00,0.892785,0.90538,0.8830965384615386,2015-05-29 17:00:00,0.8830965384615386,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,95.97348484848489,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDJPY,short,2015-06-05,2015-06-10,95.6355,96.437,0.8015000000000043,2015-06-11 17:00:00,2015-06-11 21:00:00,95.8225,95.827,2015-06-15 09:00:00,95.815,94.83399999999999,96.80368181818181,2015-06-26 09:00:00,94.83399999999999,win,0.9922302422877205,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,98.86818181818174,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDJPY,long,2015-06-10,2015-06-15,94.421,95.35,0.9289999999999878,2015-06-17 05:00:00,2015-06-17 09:00:00,95.0455,95.07,2015-06-18 01:00:00,95.08,96.27899999999998,94.09837121212121,2015-06-18 13:00:00,96.27899999999998,win,1.2214393208566314,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,98.1628787878787,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,EURUSD,long,2015-06-10,2015-06-15,1.11513,1.126895,0.011765000000000025,2015-06-12 05:00:00,2015-06-12 09:00:00,1.11513,1.115435,2015-06-23 13:00:00,1.117275,1.13866,1.100825,2015-06-28 21:00:00,1.100825,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,139.7886363636367,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,USDJPY,short,2015-06-15,2015-06-18,123.442,124.459,1.0170000000000101,2015-06-17 13:00:00,2015-06-17 17:00:00,124.307,124.459,2015-06-24 13:00:00,124.0375,122.42499999999998,125.27788461538462,2015-06-28 21:00:00,122.42499999999998,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,87.37954545454558,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,CHFJPY,long,2015-06-10,2015-06-15,131.5005,132.846,1.3455000000000155,2015-06-15 09:00:00,2015-06-15 13:00:00,131.5005,131.7135,2015-06-25 09:00:00,131.722,134.19150000000002,129.8223846153846,2015-06-28 21:00:00,129.8223846153846,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,135.3136363636363,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,USDJPY,long,2015-06-18,2015-06-23,122.4835,123.3675,0.8840000000000003,2015-06-21 21:00:00,2015-06-22 01:00:00,122.5625,122.6545,2015-06-28 21:00:00,122.9575,124.25150000000001,121.96211538461537,2015-06-30 05:00:00,121.96211538461537,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,86.56742424242437,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,USDCAD,short,2015-04-08,2015-04-13,1.256985,1.26669,0.009705000000000075,2015-04-13 05:00:00,2015-04-13 09:00:00,1.264235,1.2646,2015-07-06 09:00:00,1.263995,1.24728,1.2768526923076924,2015-07-07 13:00:00,1.2768526923076924,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,113.673484848485,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDJPY,long,2015-04-13,2015-04-16,90.473,91.525,1.0520000000000067,2015-04-15 05:00:00,2015-04-15 09:00:00,90.4835,90.6285,2015-07-07 13:00:00,90.8005,92.57700000000001,89.43396153846153,2015-07-08 21:00:00,89.43396153846153,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,98.0666666666666,1.0,30,0.9,1.3,1
