pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,3D,ALL,H4,H4,12,8,4,0.367898818764751,66.66666666666666,1.0518482281471266,-1.0,1.0673025144104447
AUDCHF,3D,ALL,H4,H4,18,10,8,0.15672947766115738,55.55555555555556,1.0821130597900832,-1.0,1.0512172151098906
AUDJPY,3D,ALL,H4,H4,16,8,8,0.02605556714177215,50.0,1.0521111342835443,-1.0,1.0871431539011995
AUDNZD,3D,ALL,H4,H4,25,17,8,0.41535658586635366,68.0,1.0814067439211084,-1.0,1.0904007690249855
AUDUSD,3D,ALL,H4,H4,17,10,7,0.2170928614345684,58.82352941176471,1.0690578644387665,-1.0,1.1231990400294638
CADCHF,3D,ALL,H4,H4,16,9,7,0.190040540430771,56.25,1.115627627432482,-1.0,1.1107408192256207
CADJPY,3D,ALL,H4,H4,26,15,11,0.19495619383574725,57.692307692307686,1.0712574026486286,-1.0,1.0535816719889441
CHFJPY,3D,ALL,H4,H4,12,6,6,0.002604696899492165,50.0,1.0052093937989843,-1.0,1.0706108116484112
EURAUD,3D,ALL,H4,H4,20,14,6,0.43785797676172555,70.0,1.054082823945322,-1.0,1.0840211051837745
EURCAD,3D,ALL,H4,H4,14,9,5,0.29004416526171534,64.28571428571429,1.0067353681848905,-1.0,1.058513816616453
EURCHF,3D,ALL,H4,H4,19,9,10,-0.018272656268291682,47.368421052631575,1.0725355034336064,-1.0,1.0624959499734166
EURGBP,3D,ALL,H4,H4,10,8,2,0.6457240454997957,80.0,1.0571550568747448,-1.0,1.085517632237514
EURJPY,3D,ALL,H4,H4,16,7,9,-0.09358464007064875,43.75,1.0718065369813743,-1.0,1.0912779664370464
EURNZD,3D,ALL,H4,H4,15,9,6,0.21452264998155907,60.0,1.0242044166359316,-1.0,1.0694898732518423
EURUSD,3D,ALL,H4,H4,17,9,8,0.09379512598337773,52.94117647058824,1.0660574601908246,-1.0,1.083237579261019
GBPAUD,3D,ALL,H4,H4,13,6,7,-0.04712229533738273,46.15384615384615,1.0645683601023375,-1.0,1.0753964859831557
GBPCAD,3D,ALL,H4,H4,14,9,5,0.3415290613304455,64.28571428571429,1.0868229842918042,-1.0,1.1077102543625275
GBPCHF,3D,ALL,H4,H4,14,7,7,0.00960079540958847,50.0,1.019201590819177,-1.0,1.0290686640412379
GBPJPY,3D,ALL,H4,H4,17,8,9,-0.03452293843546017,47.05882352941176,1.0516387558246472,-1.0,1.0713735078838629
GBPNZD,3D,ALL,H4,H4,17,12,5,0.48433988044983645,70.58823529411765,1.1028148306372685,-1.0,1.105394329616901
GBPUSD,3D,ALL,H4,H4,11,8,3,0.48258112911212553,72.72727272727273,1.0385490525291727,-1.0,1.026628795805621
NZDCAD,3D,ALL,H4,H4,12,8,4,0.39701941719534634,66.66666666666666,1.0955291257930195,-1.0,1.0927255197780956
NZDCHF,3D,ALL,H4,H4,16,10,6,0.30259061494792544,62.5,1.0841449839166806,-1.0,1.083902627271911
NZDJPY,3D,ALL,H4,H4,14,8,6,0.17334205443693884,57.14285714285714,1.053348595264643,-1.0,1.0472792082921516
NZDUSD,3D,ALL,H4,H4,12,7,5,0.20751450048709744,58.333333333333336,1.0700248579778815,-1.0,1.0789434534684794
USDCAD,3D,ALL,H4,H4,15,5,10,-0.31180424217426717,33.33333333333333,1.0645872734771984,-1.0,1.0999168799420254
USDCHF,3D,ALL,H4,H4,13,7,6,0.08630737192574323,53.84615384615385,1.017427976433523,-1.0,1.0345108186305672
USDJPY,3D,ALL,H4,H4,19,9,10,-0.018061808076966276,47.368421052631575,1.072980627393071,-1.0,1.1016233134524682
ALL,ALL,ALL,ALL,ALL,440,252,188,0.1818041303972764,57.27272727272727,1.0634675292650855,-1.0,1.0774687128296998
