pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,ALL,H4,H4,8,4,4,0.17955504359633132,50.0,1.3591100871926627,-1.0
AUDCHF,M,ALL,H4,H4,8,7,1,0.8703149662728641,87.5,1.137502818597559,-1.0
AUDJPY,M,ALL,H4,H4,9,3,6,-0.241330880553113,33.33333333333333,1.276007358340661,-1.0
AUDNZD,M,ALL,H4,H4,8,5,3,0.3826873420522782,62.5,1.2122997472836452,-1.0
AUDUSD,M,ALL,H4,H4,6,3,3,0.11028482589990356,50.0,1.220569651799807,-1.0
CADCHF,M,ALL,H4,H4,7,6,1,0.9505646790611172,85.71428571428571,1.27565879223797,-1.0
CADJPY,M,ALL,H4,H4,4,3,1,0.8091377231974679,75.0,1.4121836309299571,-1.0
CHFJPY,M,ALL,H4,H4,7,5,2,0.6786456707923862,71.42857142857143,1.3501039391093408,-1.0
EURAUD,M,ALL,H4,H4,6,4,2,0.53759609426518,66.66666666666666,1.30639414139777,-1.0
EURCAD,M,ALL,H4,H4,9,4,5,-0.017843120113625027,44.44444444444444,1.2098529797443438,-1.0
EURCHF,M,ALL,H4,H4,6,3,3,0.08564807242360677,50.0,1.1712961448472134,-1.0
EURGBP,M,ALL,H4,H4,10,7,3,0.5299914638217955,70.0,1.1857020911739935,-1.0
EURJPY,M,ALL,H4,H4,5,3,2,0.4006157240704871,60.0,1.3343595401174786,-1.0
EURNZD,M,ALL,H4,H4,7,6,1,0.8871124458464401,85.71428571428571,1.201631186820847,-1.0
EURUSD,M,ALL,H4,H4,8,5,3,0.3390202232359973,62.5,1.1424323571775956,-1.0
GBPAUD,M,ALL,H4,H4,7,3,4,-0.06736117392934515,42.857142857142854,1.176157260831528,-1.0
GBPCAD,M,ALL,H4,H4,11,9,2,0.8758232911750237,81.81818181818183,1.2926729114361402,-1.0
GBPCHF,M,ALL,H4,H4,11,6,5,0.19995070521305697,54.54545454545454,1.1999096262239377,-1.0
GBPJPY,M,ALL,H4,H4,9,6,3,0.5433107997601618,66.66666666666666,1.3149661996402429,-1.0
GBPNZD,M,ALL,H4,H4,7,4,3,0.2706214166473736,57.14285714285714,1.2235874791329038,-1.0
GBPUSD,M,ALL,H4,H4,12,9,3,0.7044370502309617,75.0,1.2725827336412823,-1.0
NZDCAD,M,ALL,H4,H4,10,6,4,0.38948196656976747,60.0,1.3158032776162791,-1.0
NZDCHF,M,ALL,H4,H4,5,3,2,0.41734470001608337,60.0,1.3622411666934724,-1.0
NZDJPY,M,ALL,H4,H4,8,3,5,-0.146456316101526,37.5,1.2761164903959308,-1.0
NZDUSD,M,ALL,H4,H4,8,5,3,0.40047597601963375,62.5,1.2407615616314143,-1.0
USDCAD,M,ALL,H4,H4,7,2,5,-0.3390093530556287,28.57142857142857,1.3134672643052996,-1.0
USDCHF,M,ALL,H4,H4,7,5,2,0.7291544545928177,71.42857142857143,1.4208162364299448,-1.0
USDJPY,M,ALL,H4,H4,16,3,13,-0.533125,18.75,1.49,-1.0
ALL,ALL,ALL,ALL,ALL,226,132,94,0.32393418534443585,58.4070796460177,1.2667358021806248,-1.0
