mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,planned_rr,wickdiff_special,wickdiff_file,dyn_min_sl_pips,VOL,active_trades_at_entry
3D,ALL,H4,H4,USDCHF,short,2015-01-27,2015-01-30,0.92389,0.934595,0.010704999999999965,2015-02-02 10:00:00,2015-02-02 14:00:00,0.931005,0.932695,2015-02-05 10:00:00,0.92644,0.913185,0.9395789393939394,2015-02-18 10:00:00,0.9395789393939394,loss,-1.0,sl_hit,1.0088333314113749,,wickdiffs_3D_H4_ALL_20260121_202249.csv,131.3893939393938,1.0,1
3D,ALL,H4,H4,EURJPY,long,2015-02-04,2015-02-09,132.542,134.832,2.289999999999992,2015-02-10 06:00:00,2015-02-10 10:00:00,134.047,134.092,2015-02-16 18:00:00,134.536,137.12199999999999,132.313,2015-03-05 06:00:00,132.313,loss,-1.0,sl_hit,1.16329284750336,,wickdiffs_3D_H4_ALL_20260121_202249.csv,160.3856060606059,1.0,2
3D,ALL,H4,H4,AUDUSD,short,2015-02-04,2015-02-09,0.779615,0.787645,0.008030000000000093,2015-02-10 02:00:00,2015-02-10 06:00:00,0.783085,0.784185,2015-02-18 02:00:00,0.782215,0.7715849999999999,0.7915367424242424,2015-03-06 14:00:00,0.7715849999999999,win,1.140344746316463,tp_hit,1.140344746316463,,wickdiffs_3D_H4_ALL_20260121_202249.csv,93.21742424242424,1.0,3
3D,ALL,H4,H4,GBPNZD,long,2015-02-12,2015-02-17,2.032005,2.04802,0.016015000000000335,2015-02-17 18:00:00,2015-02-17 22:00:00,2.033195,2.034465,2015-02-20 06:00:00,2.036375,2.0640350000000005,2.0135712121212124,2015-02-24 02:00:00,2.0640350000000005,win,1.2129563801867265,tp_hit,1.2129563801867265,INV-VAL,wickdiffs_3D_H4_ALL_20260121_202249.csv,228.0378787878785,1.0,3
3D,ALL,H4,H4,NZDUSD,short,2015-02-17,2015-02-20,0.75175,0.7574,0.005649999999999933,2015-02-20 06:00:00,2015-02-20 10:00:00,0.75516,0.755405,2015-02-25 02:00:00,0.755005,0.7461000000000001,0.7645103787878789,2015-03-05 14:00:00,0.7461000000000001,win,0.936837994436955,tp_hit,0.936837994436955,,wickdiffs_3D_H4_ALL_20260121_202249.csv,95.0537878787879,1.0,3
3D,ALL,H4,H4,USDCAD,long,2015-02-12,2015-02-17,1.23628,1.24649,0.010210000000000052,2015-02-18 22:00:00,2015-02-19 02:00:00,1.243725,1.24443,2015-02-25 06:00:00,1.24444,1.2567000000000002,1.2329478787878787,2015-03-06 10:00:00,1.2567000000000002,win,1.0668178462187683,tp_hit,1.0668178462187683,,wickdiffs_3D_H4_ALL_20260121_202249.csv,114.921212121212,1.0,4
3D,ALL,H4,H4,NZDCAD,short,2015-02-17,2015-02-20,0.93927,0.949435,0.01016499999999998,2015-02-24 14:00:00,2015-02-24 18:00:00,0.94242,0.9427,2015-02-26 06:00:00,0.94189,0.9291050000000001,0.9518740151515152,2015-03-04 10:00:00,0.9518740151515152,loss,-1.0,sl_hit,1.2805469348731613,,wickdiffs_3D_H4_ALL_20260121_202249.csv,99.84015151515156,1.0,5
3D,ALL,H4,H4,EURCAD,long,2015-01-22,2015-01-27,1.380455,1.401805,0.02134999999999998,2015-01-26 14:00:00,2015-01-26 18:00:00,1.39909,1.401,2015-02-26 22:00:00,1.40101,1.423155,1.37832,2015-03-04 14:00:00,1.37832,loss,-1.0,sl_hit,0.9759806081974334,,wickdiffs_3D_H4_ALL_20260121_202249.csv,150.9916666666669,1.0,6
3D,ALL,H4,H4,GBPAUD,long,2015-02-20,2015-02-25,1.957305,1.973675,0.016369999999999996,2015-02-25 10:00:00,2015-02-25 14:00:00,1.961255,1.96143,2015-03-03 02:00:00,1.96403,1.990045,1.943201818181818,2015-03-06 10:00:00,1.943201818181818,loss,-1.0,sl_hit,1.2490288507703786,INV-VAL,wickdiffs_3D_H4_ALL_20260121_202249.csv,208.2818181818181,1.0,7
3D,ALL,H4,H4,NZDJPY,long,2015-03-05,2015-03-10,87.3135,89.109,1.7954999999999899,2015-03-12 01:00:00,2015-03-12 05:00:00,88.651,88.848,2015-03-15 21:00:00,89.0345,90.90449999999998,87.13395,2015-03-20 13:00:00,90.90449999999998,win,0.9839257057167634,tp_hit,0.9839257057167634,,wickdiffs_3D_H4_ALL_20260121_202249.csv,113.4537878787879,1.0,1
3D,ALL,H4,H4,NZDCAD,short,2015-03-10,2015-03-13,0.937295,0.94564,0.008345000000000047,2015-03-17 01:00:00,2015-03-17 05:00:00,0.94451,0.945055,2015-03-18 17:00:00,0.940875,0.9289499999999999,0.950816893939394,2015-03-20 13:00:00,0.950816893939394,loss,-1.0,sl_hit,1.1994696455921978,,wickdiffs_3D_H4_ALL_20260121_202249.csv,99.41893939393944,1.0,2
3D,ALL,H4,H4,GBPUSD,short,2015-03-18,2015-03-23,1.49546,1.5169,0.021439999999999904,2015-03-24 05:00:00,2015-03-24 09:00:00,1.496585,1.49848,2015-03-26 05:00:00,1.495845,1.47402,1.5190439999999998,2015-04-01 09:00:00,1.47402,win,0.9407733091943713,tp_hit,0.9407733091943713,,wickdiffs_3D_H4_ALL_20260121_202249.csv,129.9030303030304,1.0,1
