mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips
2W,ALL,H12,H4,NZDCHF,long,2024-06-03,2024-06-17,0.54067,0.54672,0.00605,2024-06-19 09:00:00,2024-06-19 21:00:00,0.54146,0.54182,2024-07-16 05:00:00,0.54238,0.55277,0.531655606060606,2024-07-22 13:00:00,0.531655606060606,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,107.24393939393951
2W,ALL,H12,H4,NZDJPY,long,2022-05-09,2022-05-23,79.458,81.996,2.5379999999999967,2022-05-18 09:00:00,2022-05-18 21:00:00,80.489,80.644,2022-09-28 01:00:00,80.81,84.53399999999999,77.9483787878788,2022-10-18 01:00:00,84.53399999999999,win,1.3013602164486084,wickdiffs_2W_H12_ALL_20260101_142945.csv,286.1621212121212
2W,ALL,H12,H4,NZDJPY,short,2024-03-25,2024-04-08,91.18,92.391,1.2109999999999985,2024-04-11 09:00:00,2024-04-11 21:00:00,91.97,92.018,2024-04-23 13:00:00,91.935,89.96900000000001,93.8354393939394,2024-04-26 17:00:00,93.8354393939394,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,190.04393939393924
2W,ALL,H12,H4,NZDUSD,long,2022-05-09,2022-05-23,0.62166,0.64071,0.01905000000000001,2022-05-15 21:00:00,2022-05-16 09:00:00,0.62286,0.62604,2022-06-13 13:00:00,0.62694,0.65976,0.6042315151515152,2022-09-06 13:00:00,0.6042315151515152,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,227.08484848484835
2W,ALL,H12,H4,NZDUSD,long,2022-09-26,2022-10-10,0.55118,0.5607,0.009519999999999973,2022-10-14 09:00:00,2022-10-16 21:00:00,0.55504,0.55515,2025-01-10 10:00:00,0.55558,0.57022,0.5402990909090909,2025-01-24 02:00:00,0.57022,win,0.9580581831161872,wickdiffs_2W_H12_ALL_20260101_142945.csv,152.80909090909086
2W,ALL,H12,H4,NZDUSD,long,2023-12-04,2023-12-18,0.60844,0.62088,0.012440000000000007,2023-12-12 22:00:00,2023-12-13 10:00:00,0.60844,0.60906,2024-01-17 14:00:00,0.61033,0.63332,0.5930312121212121,2024-04-15 01:00:00,0.5930312121212121,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,172.98787878787905
2W,ALL,H12,H4,USDCAD,long,2023-03-27,2023-04-10,1.33011,1.35123,0.021120000000000028,2023-04-13 21:00:00,2023-04-14 09:00:00,1.33011,1.33172,2023-05-08 13:00:00,1.33588,1.37235,1.309815909090909,2023-07-14 01:00:00,1.309815909090909,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,260.6409090909095
2W,ALL,H12,H4,USDCAD,short,2022-08-15,2022-08-29,1.30377,1.32088,0.01710999999999996,2022-09-06 21:00:00,2022-09-07 09:00:00,1.32056,1.32088,2022-09-14 09:00:00,1.3183,1.2866600000000001,1.347537878787879,2022-09-21 21:00:00,1.347537878787879,loss,-1.0,wickdiffs_2W_H12_ALL_20260101_142945.csv,292.3787878787882
2W,ALL,H12,H4,USDCAD,short,2023-10-09,2023-10-23,1.37154,1.38991,0.018369999999999997,2023-11-02 21:00:00,2023-11-03 09:00:00,1.37554,1.37607,2023-11-07 10:00:00,1.37532,1.35317,1.397374393939394,2023-12-01 06:00:00,1.35317,win,1.004335011919571,wickdiffs_2W_H12_ALL_20260101_142945.csv,220.54393939393924
2W,ALL,H12,H4,USDCHF,long,2022-01-31,2022-02-14,0.91504,0.9248,0.009759999999999991,2022-02-21 10:00:00,2022-02-21 22:00:00,0.91504,0.91516,2022-03-01 06:00:00,0.91646,0.93456,0.8986919696969697,2022-03-11 14:00:00,0.93456,win,1.0186835395543534,wickdiffs_2W_H12_ALL_20260101_142945.csv,177.68030303030278
