pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,4,1,3,-0.4196206150202151,25.0,1.3215175399191397,-1.0
AUDCHF,5,2,3,-0.0040000000000000036,40.0,1.49,-1.0
AUDJPY,4,3,1,0.8347908979089805,75.0,1.446387863878641,-1.0
AUDNZD,6,2,4,-0.21291190173655253,33.33333333333333,1.3612642947903422,-1.0
AUDUSD,2,0,2,-1.0,0.0,,-1.0
CADCHF,5,1,4,-0.5538036881225159,20.0,1.230981559387421,-1.0
CADJPY,5,2,3,-0.0040000000000000036,40.0,1.49,-1.0
CHFJPY,4,2,2,0.23118625756265565,50.0,1.4623725151253113,-1.0
EURAUD,1,0,1,-1.0,0.0,,-1.0
EURCAD,5,3,2,0.49399999999999994,60.0,1.49,-1.0
EURCHF,1,0,1,-1.0,0.0,,-1.0
EURGBP,3,1,2,-0.33416458852867814,33.33333333333333,0.9975062344139655,-1.0
EURJPY,3,0,3,-1.0,0.0,,-1.0
EURNZD,3,3,0,1.3579959797770595,100.0,1.3579959797770595,
EURUSD,4,2,2,0.1638501770542064,50.0,1.327700354108413,-1.0
GBPAUD,2,0,2,-1.0,0.0,,-1.0
GBPCAD,9,5,4,0.38333333333333325,55.55555555555556,1.49,-1.0
GBPCHF,5,2,3,-0.08993795822127168,40.0,1.2751551044468208,-1.0
GBPJPY,2,0,2,-1.0,0.0,,-1.0
GBPNZD,4,3,1,0.7714018060148076,75.0,1.3618690746864102,-1.0
GBPUSD,8,2,6,-0.38203489222666387,25.0,1.4718604310933445,-1.0
NZDCAD,2,0,2,-1.0,0.0,,-1.0
NZDCHF,6,4,2,0.5340089032143943,66.66666666666666,1.3010133548215914,-1.0
NZDJPY,3,0,3,-1.0,0.0,,-1.0
NZDUSD,7,3,4,0.0025591422774089434,42.857142857142854,1.3393046653139542,-1.0
USDCAD,4,1,3,-0.3775,25.0,1.49,-1.0
USDCHF,2,2,0,1.207112204789881,100.0,1.207112204789881,
USDJPY,4,1,3,-0.3775,25.0,1.49,-1.0
ALL,113,45,68,-0.050073793693068046,39.823008849557525,1.3853702513929624,-1.0
