mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
M,ALL,H4,H4,AUDCAD,short,2015-06-01,2015-07-01,0.962915,0.971755,0.00884000000000007,2015-06-03 17:00:00,2015-06-03 21:00:00,0.96972,0.97015,2015-08-04 05:00:00,0.96902,0.9540749999999999,0.9805161538461539,2015-08-12 01:00:00,0.9540749999999999,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,90.81060606060603,1.0,30,0.9,1.3,2
M,ALL,H4,H4,USDCHF,short,2015-03-02,2015-04-01,0.97255,1.012865,0.04031499999999988,2015-03-20 01:00:00,2015-03-20 05:00:00,0.98986,0.990485,2015-08-11 13:00:00,0.98904,0.9322350000000001,1.0327361538461537,2015-08-24 13:00:00,0.9322350000000001,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,102.4431818181817,1.0,30,0.9,1.3,2
M,ALL,H4,H4,EURJPY,short,2015-05-01,2015-06-01,136.452,141.057,4.60499999999999,2015-06-26 17:00:00,2015-06-28 21:00:00,138.354,138.4095,2015-08-11 13:00:00,137.8835,131.847,142.52696153846153,2015-09-10 13:00:00,135.3855,win,0.53796073883873,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,140.4045454545455,1.0,30,0.9,1.3,3
M,ALL,H4,H4,EURUSD,short,2015-06-01,2015-07-01,1.11381,1.14364,0.029830000000000023,2015-06-22 13:00:00,2015-06-22 17:00:00,1.136585,1.141035,2015-08-21 13:00:00,1.1361,1.08398,1.176192307692308,2015-09-20 21:00:00,1.130035,win,0.1512759017651621,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,126.264393939394,1.0,30,0.9,1.3,3
M,ALL,H4,H4,GBPUSD,long,2015-05-01,2015-06-01,1.50894,1.52935,0.02041000000000004,2015-06-08 05:00:00,2015-06-08 09:00:00,1.52214,1.522355,2015-09-03 13:00:00,1.525545,1.54976,1.506899,2015-09-16 13:00:00,1.54976,win,1.2986699560227488,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,117.0772727272727,1.0,30,0.9,1.3,3
M,ALL,H4,H4,AUDNZD,long,2015-07-01,2015-08-03,1.089805,1.10786,0.018055000000000154,2015-08-26 01:00:00,2015-08-26 05:00:00,1.094635,1.09611,2015-09-03 17:00:00,1.09655,1.1259150000000002,1.0739615384615382,2015-09-10 13:00:00,1.1259150000000002,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,112.7863636363636,1.0,30,0.9,1.3,4
M,ALL,H4,H4,CHFJPY,long,2015-03-02,2015-04-01,119.917,123.5355,3.6184999999999974,2015-04-13 09:00:00,2015-04-13 13:00:00,121.97,122.227,2015-09-04 05:00:00,122.276,127.154,118.5236923076923,2015-10-04 21:00:00,123.465,win,0.3168716687166891,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,131.3287878787879,1.0,30,0.9,1.3,5
M,ALL,H4,H4,GBPAUD,short,2015-08-03,2015-09-01,2.15702,2.24049,0.08346999999999971,2015-09-28 13:00:00,2015-09-28 17:00:00,2.173425,2.175,2015-10-02 13:00:00,2.162435,2.0735500000000004,2.248837,2015-11-01 22:00:00,2.161445,win,0.011458068100273411,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,265.9159090909089,1.0,30,0.9,1.3,2
M,ALL,H4,H4,EURUSD,short,2015-08-03,2015-09-01,1.12111,1.17141,0.05030000000000001,2015-09-21 01:00:00,2015-09-21 05:00:00,1.132205,1.133035,2015-10-08 17:00:00,1.127615,1.07081,1.1764400000000002,2015-11-06 14:00:00,1.07081,win,1.1634408602150508,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,121.6106060606062,1.0,30,0.9,1.3,2
M,ALL,H4,H4,NZDCAD,short,2015-07-01,2015-08-03,0.862615,0.883135,0.020519999999999983,2015-08-21 13:00:00,2015-08-21 17:00:00,0.88307,0.883135,2015-10-14 21:00:00,0.88046,0.842095,0.9099715384615384,2015-11-15 22:00:00,0.87144,win,0.3056431643425008,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,102.9901515151515,1.0,30,0.9,1.3,3
