mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,planned_rr,wickdiff_special,wickdiff_file,dyn_min_sl_pips,VOL,active_trades_at_entry
W,ALL,H4,H4,USDJPY,long,2015-01-12,2015-01-19,115.855,117.624,1.7689999999999912,2015-01-19 02:00:00,2015-01-19 06:00:00,116.921,117.023,2015-02-01 22:00:00,117.6145,119.39299999999999,115.6781,2015-02-10 10:00:00,119.39299999999999,win,0.9184569303862705,tp_hit,0.9184569303862705,,wickdiffs_W_H4_ALL_20260121_202249.csv,129.1992424242424,1.0,1
W,ALL,H4,H4,AUDUSD,short,2015-02-02,2015-02-09,0.779615,0.787645,0.008030000000000093,2015-02-10 02:00:00,2015-02-10 06:00:00,0.783085,0.784185,2015-02-18 02:00:00,0.782215,0.7715849999999999,0.7915367424242424,2015-03-06 14:00:00,0.7715849999999999,win,1.140344746316463,tp_hit,1.140344746316463,,wickdiffs_W_H4_ALL_20260121_202249.csv,93.21742424242424,1.0,1
W,ALL,H4,H4,AUDNZD,long,2015-02-09,2015-02-16,1.03014,1.04125,0.011109999999999953,2015-02-20 14:00:00,2015-02-20 18:00:00,1.03828,1.0388,2015-02-23 06:00:00,1.039175,1.05236,1.029029,2015-03-04 18:00:00,1.029029,loss,-1.0,sl_hit,1.299526907155531,,wickdiffs_W_H4_ALL_20260121_202249.csv,85.71969696969674,1.0,2
W,ALL,H4,H4,NZDJPY,long,2015-03-02,2015-03-09,87.3135,88.947,1.633499999999998,2015-03-13 13:00:00,2015-03-13 17:00:00,88.695,88.699,2015-03-17 13:00:00,88.798,90.5805,87.15015000000001,2015-03-20 13:00:00,90.5805,win,1.0817125345146756,tp_hit,1.0817125345146756,,wickdiffs_W_H4_ALL_20260121_202249.csv,112.4090909090908,1.0,1
W,ALL,H4,H4,EURJPY,short,2015-03-16,2015-03-23,129.94,131.798,1.858000000000004,2015-03-27 13:00:00,2015-03-27 17:00:00,130.279,130.418,2015-04-02 13:00:00,130.243,128.082,131.9838,2015-04-10 05:00:00,128.082,win,1.2413832720588192,tp_hit,1.2413832720588192,,wickdiffs_W_H4_ALL_20260121_202249.csv,171.648484848485,1.0,1
W,ALL,H4,H4,AUDJPY,short,2015-03-16,2015-03-23,93.349,94.677,1.328000000000003,2015-03-26 09:00:00,2015-03-26 13:00:00,93.4945,93.508,2015-04-27 13:00:00,93.4645,92.021,94.80980000000001,2015-04-28 13:00:00,94.80980000000001,loss,-1.0,sl_hit,1.0729948710324766,,wickdiffs_W_H4_ALL_20260121_202249.csv,109.8189393939394,1.0,1
W,ALL,H4,H4,GBPCAD,long,2015-04-13,2015-04-20,1.81494,1.83217,0.01723000000000008,2015-04-23 13:00:00,2015-04-23 17:00:00,1.825875,1.82604,2015-05-05 13:00:00,1.83009,1.8494000000000002,1.8118982575757576,2015-05-07 13:00:00,1.8494000000000002,win,1.0614706139565584,tp_hit,1.0614706139565584,,wickdiffs_W_H4_ALL_20260121_202249.csv,181.9174242424241,1.0,1
W,ALL,H4,H4,AUDCHF,short,2015-05-04,2015-05-11,0.73854,0.748435,0.009894999999999987,2015-05-15 09:00:00,2015-05-15 13:00:00,0.74019,0.74134,2015-05-18 17:00:00,0.74017,0.728645,0.7495373484848484,2015-05-28 01:00:00,0.728645,win,1.2303374875656106,tp_hit,1.2303374875656106,,wickdiffs_W_H4_ALL_20260121_202249.csv,93.6734848484848,1.0,1
W,ALL,H4,H4,CADJPY,short,2015-05-11,2015-05-18,99.33,100.094,0.7639999999999958,2015-05-21 01:00:00,2015-05-21 05:00:00,99.384,99.4035,2015-05-26 05:00:00,99.3435,98.566,100.18469696969697,2015-06-02 13:00:00,100.18469696969697,loss,-1.0,sl_hit,0.924278175039179,,wickdiffs_W_H4_ALL_20260121_202249.csv,84.11969696969705,1.0,2
W,ALL,H4,H4,AUDJPY,short,2015-06-01,2015-06-08,95.7865,96.993,1.2064999999999912,2015-06-11 17:00:00,2015-06-11 21:00:00,95.8225,95.827,2015-06-15 09:00:00,95.815,94.58000000000001,97.11364999999999,2015-06-26 13:00:00,94.58000000000001,win,0.9509875640087706,tp_hit,0.9509875640087706,,wickdiffs_W_H4_ALL_20260121_202249.csv,98.86818181818174,1.0,1
