pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,46,18,28,-0.06794070514058684,39.130434782608695,1.381929309085167,-1.0
AUDCHF,34,15,19,0.027686861875093654,44.11764705882353,1.329423553583546,-1.0
AUDJPY,49,16,33,-0.1881224489795921,32.6530612244898,1.4863749999999991,-1.0
AUDNZD,41,14,27,-0.2033620628009735,34.146341463414636,1.3330111017971489,-1.0
AUDUSD,41,14,27,-0.18992981324789224,34.146341463414636,1.372348404059744,-1.0
CADCHF,37,15,22,-0.0441031941031955,40.54054054054054,1.3578787878787841,-1.0
CADJPY,42,19,23,0.06739803502603683,45.23809523809524,1.3595114458470288,-1.0
CHFJPY,47,15,32,-0.2222984069194801,31.914893617021278,1.4367983249856284,-1.0
EURAUD,63,24,39,-0.07298684590254927,38.095238095238095,1.4334095295058082,-1.0
EURCAD,59,29,30,0.20329791079634946,49.152542372881356,1.44808885299947,-1.0
EURCHF,35,17,18,0.14504450002459593,48.57142857142857,1.357444558874168,-1.0
EURGBP,42,22,20,0.22690198296124456,52.38095238095239,1.3422674220169213,-1.0
EURJPY,49,22,27,0.10011995040135777,44.89795918367347,1.4502671622575691,-1.0
EURNZD,53,27,26,0.23643460256899623,50.943396226415096,1.4270753309687707,-1.0
EURUSD,54,26,28,0.14988386525405167,48.148148148148145,1.3882203355276461,-1.0
GBPAUD,45,20,25,0.06129835951655953,44.44444444444444,1.3879213089122588,-1.0
GBPCAD,54,23,31,0.03485185185185321,42.592592592592595,1.4296521739130466,-1.0
GBPCHF,40,21,19,0.2486389526404223,52.5,1.3783599097912802,-1.0
GBPJPY,45,20,25,0.08875555555555634,44.44444444444444,1.4497000000000015,-1.0
GBPNZD,54,24,30,0.0748878058920113,44.44444444444444,1.4184975632570254,-1.0
GBPUSD,51,15,36,-0.28687347000332986,29.411764705882355,1.424630201988678,-1.0
NZDCAD,42,18,24,0.01417038609088557,42.857142857142854,1.3663975675453996,-1.0
NZDCHF,44,23,21,0.1745158102766788,52.27272727272727,1.2468998109640812,-1.0
NZDJPY,47,19,28,-0.021203022821927545,40.42553191489361,1.4212346277562844,-1.0
NZDUSD,38,19,19,0.18715789473684197,50.0,1.3743157894736837,-1.0
USDCAD,48,21,27,0.06625661055724004,43.75,1.4371579669879768,-1.0
USDCHF,39,16,23,-0.042166276273463935,41.02564102564102,1.3347197015834316,-1.0
USDJPY,54,15,39,-0.32299107430898166,27.77777777777778,1.4372321324876658,-1.0
ALL,1293,547,746,0.013329062428353097,42.3047177107502,1.3953098312977341,-1.0
