mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,planned_rr,wickdiff_special,wickdiff_file,dyn_min_sl_pips,VOL,active_trades_at_entry
M,ALL,H4,H4,CADCHF,long,2015-12-01,2016-01-01,0.6804,0.722735,0.04233500000000001,2016-01-28 22:00:00,2016-01-29 02:00:00,0.7216,0.72164,2016-02-04 18:00:00,0.72219,0.76507,0.6761665,2016-03-06 22:00:00,0.74565,time_exit,0.5097395895575095,time_stop_30d,0.931697936923529,,wickdiffs_M_H4_ALL_20260121_202249.csv,91.34242424242429,1.0,1
M,ALL,H4,H4,NZDCHF,long,2016-02-01,2016-03-01,0.637245,0.657955,0.020710000000000006,2016-03-29 05:00:00,2016-03-29 09:00:00,0.654845,0.656235,2016-04-04 13:00:00,0.656705,0.678665,0.6351739999999999,2016-04-20 17:00:00,0.678665,win,1.0199247596488736,tp_hit,1.0199247596488736,,wickdiffs_M_H4_ALL_20260121_202249.csv,103.3098484848485,1.0,1
M,ALL,H4,H4,NZDCAD,long,2016-02-01,2016-03-01,0.8754,0.892665,0.017265000000000086,2016-03-29 05:00:00,2016-03-29 09:00:00,0.88642,0.888885,2016-04-04 21:00:00,0.891525,0.9099300000000001,0.8736735,2016-04-22 09:00:00,0.8736735,loss,-1.0,sl_hit,1.0310057978321203,,wickdiffs_M_H4_ALL_20260121_202249.csv,107.1537878787878,1.0,2
M,ALL,H4,H4,AUDNZD,long,2016-02-01,2016-03-01,1.05719,1.083445,0.026254999999999917,2016-03-01 18:00:00,2016-03-01 22:00:00,1.0801,1.08188,2016-05-03 01:00:00,1.083195,1.1097,1.0545645000000001,2016-06-02 01:00:00,1.06287,time_exit,-0.7099072667260468,time_stop_30d,0.9257609891549293,,wickdiffs_M_H4_ALL_20260121_202249.csv,96.16666666666688,1.0,1
M,ALL,H4,H4,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-29 22:00:00,2016-03-01 02:00:00,0.70936,0.70942,2016-05-09 13:00:00,0.710165,0.75058,0.671578,2016-06-08 13:00:00,0.717945,time_exit,0.20162230803120226,time_stop_30d,1.0473734677482038,,wickdiffs_M_H4_ALL_20260121_202249.csv,101.0098484848485,1.0,2
M,ALL,H4,H4,EURNZD,long,2016-04-01,2016-05-02,1.61039,1.64129,0.030899999999999928,2016-05-01 21:00:00,2016-05-02 01:00:00,1.634355,1.635,2016-06-01 01:00:00,1.63916,1.6721899999999998,1.6073,2016-06-08 21:00:00,1.6073,loss,-1.0,sl_hit,1.0367231638418046,,wickdiffs_M_H4_ALL_20260121_202249.csv,177.019696969697,1.0,3
M,ALL,H4,H4,CHFJPY,long,2016-04-01,2016-05-02,109.844,110.846,1.0020000000000095,2016-05-27 09:00:00,2016-05-27 13:00:00,110.4735,110.563,2016-06-01 05:00:00,110.728,111.84800000000001,109.61041666666667,2016-06-03 09:00:00,109.61041666666667,loss,-1.0,sl_hit,1.0021624039967352,,wickdiffs_M_H4_ALL_20260121_202249.csv,111.7583333333334,1.0,4
M,ALL,H4,H4,NZDJPY,long,2016-04-01,2016-05-02,72.547,74.176,1.6290000000000049,2016-05-27 17:00:00,2016-05-29 21:00:00,73.741,73.8205,2016-06-05 21:00:00,73.8875,75.805,72.38409999999999,2016-06-08 21:00:00,75.805,win,1.2754423307170326,tp_hit,1.2754423307170326,,wickdiffs_M_H4_ALL_20260121_202249.csv,104.9219696969698,1.0,3
M,ALL,H4,H4,EURUSD,long,2016-06-01,2016-07-01,1.0912,1.11062,0.019419999999999993,2016-07-28 13:00:00,2016-07-28 17:00:00,1.10686,1.10734,2016-08-05 13:00:00,1.10882,1.13004,1.089258,2016-08-16 09:00:00,1.13004,win,1.0847561599018594,tp_hit,1.0847561599018594,,wickdiffs_M_H4_ALL_20260121_202249.csv,88.70151515151521,1.0,1
M,ALL,H4,H4,EURJPY,long,2016-07-01,2016-08-01,110.827,114.074,3.247,2016-08-29 21:00:00,2016-08-30 01:00:00,113.857,113.971,2016-09-06 21:00:00,114.061,117.321,110.50229999999999,2016-10-06 21:00:00,115.919,time_exit,0.5221007671340606,time_stop_30d,0.9160648551437256,,wickdiffs_M_H4_ALL_20260121_202249.csv,154.2469696969698,1.0,1
M,ALL,H4,H4,AUDCAD,short,2016-07-01,2016-08-01,0.99106,1.0118,0.02073999999999998,2016-08-16 05:00:00,2016-08-16 09:00:00,0.99418,0.99539,2016-09-08 09:00:00,0.99363,0.9703200000000001,1.013874,2016-09-27 05:00:00,1.013874,loss,-1.0,sl_hit,1.1514522821576776,,wickdiffs_M_H4_ALL_20260121_202249.csv,83.91742424242429,1.0,2
M,ALL,H4,H4,GBPJPY,long,2016-07-01,2016-08-01,128.7815,135.025,6.243500000000012,2016-08-30 17:00:00,2016-08-30 21:00:00,134.607,134.6515,2016-09-13 13:00:00,134.8945,141.26850000000002,128.15715,2016-10-06 21:00:00,128.15715,loss,-1.0,sl_hit,0.9460693002441659,,wickdiffs_M_H4_ALL_20260121_202249.csv,278.5477272727271,1.0,3
M,ALL,H4,H4,AUDJPY,short,2016-08-01,2016-09-01,77.7505,79.132,1.3815000000000026,2016-09-09 09:00:00,2016-09-09 13:00:00,78.001,78.118,2016-10-03 17:00:00,77.994,76.369,79.27015,2016-10-14 05:00:00,79.27015,loss,-1.0,sl_hit,1.2733612819809572,,wickdiffs_M_H4_ALL_20260121_202249.csv,95.92878787878784,1.0,3
M,ALL,H4,H4,NZDUSD,short,2016-09-01,2016-10-03,0.72849,0.74855,0.020060000000000078,2016-09-27 05:00:00,2016-09-27 09:00:00,0.73142,0.73304,2016-11-03 05:00:00,0.729475,0.7084299999999999,0.750556,2016-11-13 22:00:00,0.7084299999999999,win,0.9982923011242386,tp_hit,0.9982923011242386,,wickdiffs_M_H4_ALL_20260121_202249.csv,75.76818181818192,1.0,1
M,ALL,H4,H4,EURCAD,short,2016-01-01,2016-02-01,1.51351,1.61053,0.0970200000000001,2016-02-24 10:00:00,2016-02-24 14:00:00,1.522565,1.526675,2016-11-09 02:00:00,1.51859,1.4164899999999998,1.6202320000000001,2016-12-01 14:00:00,1.4164899999999998,win,1.0045060112945465,tp_hit,1.0045060112945465,INV-VAL,wickdiffs_M_H4_ALL_20260121_202249.csv,113.5840909090907,1.0,2
M,ALL,H4,H4,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-25 18:00:00,2016-11-27 22:00:00,0.75484,0.75567,2016-12-04 22:00:00,0.75439,0.7388000000000001,0.7678535,2016-12-22 10:00:00,0.7388000000000001,win,1.1579455565046182,tp_hit,1.1579455565046182,,wickdiffs_M_H4_ALL_20260121_202249.csv,76.09999999999998,1.0,1
M,ALL,H4,H4,AUDCAD,long,2016-08-01,2016-09-01,0.9762,0.98514,0.008940000000000059,2016-09-13 21:00:00,2016-09-14 01:00:00,0.98165,0.98254,2016-12-08 14:00:00,0.98477,0.9940800000000001,0.975306,2016-12-16 14:00:00,0.975306,loss,-1.0,sl_hit,0.983727810650889,,wickdiffs_M_H4_ALL_20260121_202249.csv,78.82803030303029,1.0,2
M,ALL,H4,H4,GBPUSD,long,2016-10-03,2016-11-01,1.16496,1.224165,0.05920499999999995,2016-11-01 21:00:00,2016-11-02 01:00:00,1.22208,1.223035,2016-12-23 10:00:00,1.22421,1.28337,1.1590395,2017-01-22 22:00:00,1.23749,time_exit,0.20377317958278598,time_stop_30d,0.9077726885630747,,wickdiffs_M_H4_ALL_20260121_202249.csv,137.9651515151516,1.0,1
M,ALL,H4,H4,GBPCAD,long,2016-10-03,2016-11-01,1.54885,1.64154,0.09268999999999994,2016-11-01 21:00:00,2016-11-02 01:00:00,1.63737,1.63799,2017-01-04 10:00:00,1.6388,1.73423,1.539581,2017-02-03 10:00:00,1.62738,time_exit,-0.11509892258539182,time_stop_30d,0.9618117497656694,,wickdiffs_M_H4_ALL_20260121_202249.csv,194.5257575757577,1.0,2
M,ALL,H4,H4,GBPUSD,long,2016-12-01,2017-01-02,1.19872,1.2342,0.035479999999999956,2017-01-20 06:00:00,2017-01-20 10:00:00,1.22608,1.22848,2017-03-01 14:00:00,1.231875,1.26968,1.195172,2017-03-31 17:00:00,1.254225,time_exit,0.6089420483339176,time_stop_30d,1.0300247936135931,,wickdiffs_M_H4_ALL_20260121_202249.csv,125.8992424242423,1.0,1
M,ALL,H4,H4,GBPNZD,long,2017-01-02,2017-02-01,1.68348,1.720455,0.03697499999999998,2017-02-28 14:00:00,2017-02-28 18:00:00,1.71632,1.71734,2017-03-01 18:00:00,1.720575,1.75743,1.6797825000000002,2017-03-08 10:00:00,1.75743,win,0.9034749034749102,tp_hit,0.9034749034749102,,wickdiffs_M_H4_ALL_20260121_202249.csv,183.4818181818181,1.0,2
M,ALL,H4,H4,EURGBP,short,2017-01-02,2017-02-01,0.85839,0.88522,0.02683000000000002,2017-02-07 10:00:00,2017-02-07 14:00:00,0.86331,0.86393,2017-03-06 02:00:00,0.863,0.83156,0.887903,2017-04-05 05:00:00,0.85761,time_exit,0.2164397863711201,time_stop_30d,1.262498494157331,,wickdiffs_M_H4_ALL_20260121_202249.csv,79.60984848484847,1.0,3
M,ALL,H4,H4,CADCHF,long,2016-10-03,2016-11-01,0.70614,0.737645,0.031505000000000005,2016-11-15 06:00:00,2016-11-15 10:00:00,0.7348,0.73502,2017-03-27 13:00:00,0.737035,0.76915,0.7029894999999999,2017-04-26 13:00:00,0.732625,time_exit,-0.12953253733973702,time_stop_30d,0.9432964708992362,,wickdiffs_M_H4_ALL_20260121_202249.csv,54.31212121212118,1.0,3
