mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,wickdiff_file,dyn_min_sl_pips
W,INNER,H4,H4,CADCHF,long,2024-07-29,2024-08-05,0.60603,0.61827,0.012240000000000029,2024-08-05 09:00:00,2024-08-05 13:00:00,0.60984,0.61006,2025-03-07 14:00:00,0.61082,0.63051,0.5973416666666667,2025-04-06 21:00:00,0.5973416666666667,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,134.78333333333356
W,INNER,H4,H4,CADCHF,short,2017-12-04,2017-12-11,0.772315,0.78223,0.009915000000000007,2017-12-06 10:00:00,2017-12-06 14:00:00,0.78161,0.78223,2017-12-27 06:00:00,0.781455,0.7624,0.7990006818181818,2018-01-25 10:00:00,0.7624,win,1.086022201784953,wickdiffs_W_H4_INNER_20260102_165320.csv,175.45681818181825
W,INNER,H4,H4,CADJPY,long,2023-11-13,2023-11-20,107.235,109.003,1.7680000000000007,2023-11-21 22:00:00,2023-11-22 02:00:00,108.056,108.102,2023-11-29 22:00:00,108.178,110.771,105.86831818181818,2023-12-07 14:00:00,105.86831818181818,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,230.96818181818156
W,INNER,H4,H4,CADJPY,long,2024-07-29,2024-08-05,101.66,105.544,3.8840000000000003,2024-08-06 17:00:00,2024-08-06 21:00:00,104.588,104.7,2024-09-06 13:00:00,104.984,109.428,101.27159999999999,2024-10-04 09:00:00,109.428,win,1.197069281327443,wickdiffs_W_H4_INNER_20260102_165320.csv,360.40757575757567
W,INNER,H4,H4,CADJPY,short,2020-11-09,2020-11-16,79.666,81.426,1.7600000000000051,2020-11-10 14:00:00,2020-11-10 18:00:00,80.998,81.106,2020-12-02 06:00:00,80.981,77.90599999999999,83.04475838926174,2021-02-15 06:00:00,83.04475838926174,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,184.34393939393937
W,INNER,H4,H4,CADJPY,short,2024-11-04,2024-11-11,109.804,111.522,1.7180000000000035,2024-11-14 06:00:00,2024-11-14 10:00:00,111.492,111.522,2024-11-20 06:00:00,111.43,108.086,114.9494696969697,2024-11-27 06:00:00,108.086,win,0.9501431431215984,wickdiffs_W_H4_INNER_20260102_165320.csv,351.9469696969698
W,INNER,H4,H4,CHFJPY,long,2022-12-26,2023-01-02,138.964,141.824,2.8600000000000136,2023-01-03 06:00:00,2023-01-03 10:00:00,138.964,139.036,2023-01-12 18:00:00,139.431,144.68400000000003,134.3703787878788,2023-02-15 10:00:00,144.68400000000003,win,1.0380148562429483,wickdiffs_W_H4_INNER_20260102_165320.csv,506.06212121212116
W,INNER,H4,H4,CHFJPY,short,2018-07-30,2018-08-06,111.9,113.18,1.2800000000000011,2018-08-01 09:00:00,2018-08-01 13:00:00,112.914,112.962,2018-08-23 13:00:00,112.884,110.62,114.96663636363637,2018-08-29 13:00:00,114.96663636363637,loss,-1.0,wickdiffs_W_H4_INNER_20260102_165320.csv,208.26363636363655
W,INNER,H4,H4,CHFJPY,short,2022-09-05,2022-09-12,148.458,150.718,2.259999999999991,2022-09-15 09:00:00,2022-09-15 13:00:00,149.996,150.148,2022-09-22 01:00:00,149.975,146.198,153.91469696969696,2022-09-22 05:00:00,146.198,win,0.9587031766787131,wickdiffs_W_H4_INNER_20260102_165320.csv,393.9696969696972
W,INNER,H4,H4,EURAUD,long,2022-02-28,2022-03-07,1.45636,1.48306,0.026699999999999946,2022-03-06 22:00:00,2022-03-07 02:00:00,1.45636,1.45974,2022-03-25 17:00:00,1.46129,1.50976,1.4202416666666666,2022-05-09 13:00:00,1.50976,win,1.180803118275202,wickdiffs_W_H4_INNER_20260102_165320.csv,410.48333333333414
