mode,wd_variant,wd_entry_ltf,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,planned_rr,wickdiff_file,dyn_min_sl_pips,VOL
M,ALL,H1,H1,H4,AUDCHF,long,2024-07-01,2024-08-01,0.53656,0.57423,0.03766999999999998,2024-08-28 22:00:00,2024-08-28 23:00:00,0.57058,0.57059,2024-09-03 13:00:00,0.5714,0.6119,0.5327930000000001,2025-04-04 01:00:00,0.5327930000000001,loss,-1.0,1.0490325588623834,wickdiffs_M_H1_ALL_20260126_192005.csv,51.98787878787875,1.0
M,ALL,H1,H1,H4,AUDCHF,short,2015-02-02,2015-03-02,0.74487,0.77446,0.029590000000000005,2015-03-27 13:00:00,2015-03-27 14:00:00,0.750405,0.751595,2015-04-09 09:00:00,0.749885,0.71528,0.7774190000000001,2015-06-05 05:00:00,0.71528,win,1.2568097624754822,1.2568097624754822,wickdiffs_M_H1_ALL_20260126_192005.csv,127.3439393939395,1.0
M,ALL,H4,H4,H4,AUDCHF,short,2016-10-03,2016-11-01,0.752635,0.76647,0.01383499999999993,2016-11-25 18:00:00,2016-11-27 22:00:00,0.75484,0.75567,2016-12-04 22:00:00,0.75439,0.7388000000000001,0.7678535,2016-12-22 10:00:00,0.7388000000000001,win,1.1579455565046182,1.1579455565046182,wickdiffs_M_H4_ALL_20260121_202249.csv,76.09999999999998,1.0
M,ALL,H1,H1,H4,AUDCHF,short,2018-04-02,2018-05-01,0.74612,0.75834,0.012220000000000009,2018-05-30 10:00:00,2018-05-30 11:00:00,0.74752,0.74831,2018-06-01 13:00:00,0.74749,0.7339,0.7595620000000001,2018-06-19 05:00:00,0.7339,win,1.1257455268389578,1.1257455268389578,wickdiffs_M_H1_ALL_20260126_192005.csv,59.13636363636366,1.0
M,ALL,H1,H1,H4,AUDCHF,short,2018-07-02,2018-08-01,0.73588,0.74475,0.008870000000000045,2018-08-09 10:00:00,2018-08-09 11:00:00,0.73758,0.73778,2018-12-03 10:00:00,0.73658,0.7270099999999999,0.745637,2018-12-05 10:00:00,0.7270099999999999,win,1.0566412719443632,1.0566412719443632,wickdiffs_M_H1_ALL_20260126_192005.csv,55.78787878787872,1.0
M,ALL,H4,H4,H4,AUDCHF,short,2020-06-01,2020-07-01,0.65395,0.67434,0.02039000000000002,2020-07-29 17:00:00,2020-07-29 21:00:00,0.65645,0.65662,2020-08-05 05:00:00,0.65533,0.63356,0.6763790000000001,2020-12-24 10:00:00,0.6763790000000001,loss,-1.0,1.0342534087129962,wickdiffs_M_H4_ALL_20260121_202249.csv,68.45303030303025,1.0
M,ALL,H4,H4,H4,AUDCHF,short,2023-06-01,2023-07-03,0.59614,0.61691,0.020769999999999955,2023-07-06 05:00:00,2023-07-06 09:00:00,0.59899,0.60001,2024-04-04 09:00:00,0.5986,0.57537,0.618987,2024-04-19 01:00:00,0.57537,win,1.1394516113209423,1.1394516113209423,wickdiffs_M_H4_ALL_20260121_202249.csv,37.12878787878784,1.0
M,ALL,H4,H4,H4,AUDCHF,short,2024-05-01,2024-06-03,0.60034,0.60999,0.009650000000000047,2024-05-31 09:00:00,2024-05-31 13:00:00,0.60224,0.60299,2024-07-01 13:00:00,0.60116,0.5906899999999999,0.610955,2024-07-22 09:00:00,0.5906899999999999,win,1.068912710566625,1.068912710566625,wickdiffs_M_H4_ALL_20260121_202249.csv,41.82878787878778,1.0
M,ALL,H4,H4,H4,AUDCHF,short,2025-01-01,2025-02-03,0.56383,0.57628,0.012449999999999961,2025-02-26 06:00:00,2025-02-26 10:00:00,0.56602,0.56698,2025-03-06 02:00:00,0.56456,0.5513800000000001,0.5775250000000001,2025-03-10 21:00:00,0.5513800000000001,win,1.016583108368665,1.016583108368665,wickdiffs_M_H4_ALL_20260121_202249.csv,45.11212121212121,1.0
M,ALL,H4,H4,H4,AUDCHF,short,2025-05-01,2025-06-02,0.52951,0.54523,0.015719999999999956,2025-06-20 09:00:00,2025-06-20 13:00:00,0.53031,0.53078,2025-09-11 17:00:00,0.52998,0.5137900000000001,0.546802,2025-10-16 17:00:00,0.5137900000000001,win,0.962430150992743,0.962430150992743,wickdiffs_M_H4_ALL_20260121_202249.csv,36.8181818181819,1.0
