pair,mode,wd_variant,wd_entry_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCAD,M,ALL,H4,H4,3,3,0,1.0303113644337163,100.0,1.0303113644337163,,1.0303113644337163
AUDCHF,M,ALL,H1,H4,4,3,1,0.595849774733463,75.0,1.1277996996446173,-1.0,1.1081079144490589
AUDCHF,M,ALL,H4,H4,6,5,1,0.6968527194991037,83.33333333333334,1.0362232633989243,-1.0,1.0174084776978638
AUDJPY,M,ALL,H1,H4,2,2,0,1.044971011992714,100.0,1.044971011992714,,1.044971011992714
AUDJPY,M,ALL,H4,H4,2,1,1,0.046360485268633456,50.0,1.092720970537267,-1.0,1.1909827881689194
AUDNZD,M,ALL,H1,H4,3,1,2,-0.23700089870330468,33.33333333333333,1.288997303890086,-1.0,1.075000616733462
AUDNZD,M,ALL,H4,H4,3,3,0,1.1478930625153512,100.0,1.1478930625153512,,1.1478930625153512
AUDUSD,M,ALL,H1,H4,2,1,1,-0.038749707328491145,50.0,0.9225005853430177,-1.0,0.9757011597235257
AUDUSD,M,ALL,H4,H4,1,0,1,-1.0,0.0,,-1.0,0.9879560132658397
CADCHF,M,ALL,H1,H4,3,3,0,1.0207519549916189,100.0,1.0207519549916189,,1.0207519549916189
CADCHF,M,ALL,H4,H4,2,2,0,0.9756781622169652,100.0,0.9756781622169652,,0.9756781622169652
CADJPY,M,ALL,H1,H4,6,6,0,1.0736468993069594,100.0,1.0736468993069594,,1.0736468993069594
CHFJPY,M,ALL,H1,H4,4,4,0,1.120362183401553,100.0,1.120362183401553,,1.120362183401553
CHFJPY,M,ALL,H4,H4,2,1,1,0.14800886707307725,50.0,1.2960177341461545,-1.0,1.1490900690714447
EURAUD,M,ALL,H1,H4,4,3,1,0.46783475870582913,75.0,0.9571130116077722,-1.0,1.0244753837058285
EURAUD,M,ALL,H4,H4,3,2,1,0.44881785446617034,66.66666666666666,1.1732267816992556,-1.0,1.093111426140286
EURCAD,M,ALL,H1,H4,4,3,1,0.4824342832112395,75.0,0.9765790442816527,-1.0,1.023624486471229
EURCAD,M,ALL,H4,H4,2,1,1,0.002253005647273265,50.0,1.0045060112945465,-1.0,0.9831180644473558
EURCHF,M,ALL,H1,H4,5,5,0,1.178264897217732,100.0,1.178264897217732,,1.178264897217732
EURCHF,M,ALL,H4,H4,3,2,1,0.35462938459419774,66.66666666666666,1.0319440768912966,-1.0,1.08359226204726
EURGBP,M,ALL,H1,H4,4,3,1,0.5034403051372374,75.0,1.0045870735163165,-1.0,0.9830699347668678
EURGBP,M,ALL,H4,H4,1,1,0,1.114093959731541,100.0,1.114093959731541,,1.114093959731541
EURJPY,M,ALL,H1,H4,3,2,1,0.30958248685982687,66.66666666666666,0.9643737302897404,-1.0,0.9994890349185308
EURJPY,M,ALL,H4,H4,2,2,0,1.1850874667040965,100.0,1.1850874667040965,,1.1850874667040965
EURNZD,M,ALL,H1,H4,4,4,0,1.0603496696685082,100.0,1.0603496696685082,,1.0603496696685082
EURNZD,M,ALL,H4,H4,2,2,0,1.1295817990473762,100.0,1.1295817990473762,,1.1295817990473762
EURUSD,M,ALL,H1,H4,2,2,0,1.069210540683918,100.0,1.069210540683918,,1.069210540683918
EURUSD,M,ALL,H4,H4,3,2,1,0.374031248169939,66.66666666666666,1.0610468722549085,-1.0,1.083218187990682
GBPAUD,M,ALL,H4,H4,3,2,1,0.4161854828099963,66.66666666666666,1.1242782242149945,-1.0,1.152713013243507
GBPCAD,M,ALL,H4,H4,3,3,0,1.084452442319602,100.0,1.084452442319602,,1.084452442319602
GBPCHF,M,ALL,H4,H4,5,4,1,0.6505013622734094,80.0,1.0631267028417617,-1.0,1.0539680721389533
GBPJPY,M,ALL,H4,H4,6,3,3,-0.006432420187387396,50.0,0.9871351596252252,-1.0,1.0468442693951885
GBPNZD,M,ALL,H4,H4,5,4,1,0.6707653342998409,80.0,1.088456667874801,-1.0,1.1053772879126837
GBPUSD,M,ALL,H4,H4,7,6,1,0.8035487597987583,85.71428571428571,1.104140219765218,-1.0,1.1210573122841194
NZDCAD,M,ALL,H1,H4,3,3,0,0.9930336259387142,100.0,0.9930336259387142,,0.9930336259387142
NZDCAD,M,ALL,H4,H4,2,1,1,0.1195502524093609,50.0,1.2391005048187218,-1.0,1.1357066120850245
NZDCHF,M,ALL,H1,H4,1,0,1,-1.0,0.0,,-1.0,1.0728346456693019
NZDCHF,M,ALL,H4,H4,3,1,2,-0.27133105802048196,33.33333333333333,1.186006825938554,-1.0,1.1222750377699449
NZDJPY,M,ALL,H1,H4,5,4,1,0.6183318488953577,80.0,1.0229148111191972,-1.0,1.0780106982698041
NZDJPY,M,ALL,H4,H4,2,2,0,1.2740701283155067,100.0,1.2740701283155067,,1.2740701283155067
NZDUSD,M,ALL,H1,H4,1,0,1,-1.0,0.0,,-1.0,1.206521739130405
NZDUSD,M,ALL,H4,H4,1,1,0,1.036208187226668,100.0,1.036208187226668,,1.036208187226668
USDCAD,M,ALL,H4,H4,3,2,1,0.3018761316359837,66.66666666666666,0.9528141974539756,-1.0,0.9398650078947268
USDCHF,M,ALL,H1,H4,2,1,1,0.015975930163573127,50.0,1.0319518603271463,-1.0,1.0873314070748397
USDJPY,M,ALL,H1,H4,1,1,0,1.0885201879735344,100.0,1.0885201879735344,,1.0885201879735344
ALL,ALL,ALL,ALL,ALL,138,107,31,0.6074069789023196,77.53623188405797,1.0731043279300945,-1.0,1.0754867854696364
