pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,peak_concurrent_trades,peak_concurrent_time,special_wd_events
AUDCAD,3D,ALL,H4,H4,9,9,0,1.0783113744245487,100.0,1.0783113744245487,,,,
AUDCHF,3D,ALL,H4,H4,8,8,0,1.060411029737788,100.0,1.060411029737788,,,,
AUDJPY,3D,ALL,H4,H4,10,10,0,1.111039395041402,100.0,1.111039395041402,,,,
AUDNZD,3D,ALL,H4,H4,15,15,0,1.089758288589485,100.0,1.089758288589485,,,,
AUDUSD,3D,ALL,H4,H4,7,7,0,1.0963435265470554,100.0,1.0963435265470554,,,,
CADCHF,3D,ALL,H4,H4,7,7,0,1.0671166880367544,100.0,1.0671166880367544,,,,
CADJPY,3D,ALL,H4,H4,12,12,0,1.0723549125024818,100.0,1.0723549125024818,,,,
CHFJPY,3D,ALL,H4,H4,5,5,0,1.0027710010145998,100.0,1.0027710010145998,,,,
EURAUD,3D,ALL,H4,H4,10,10,0,1.0878489373048732,100.0,1.0878489373048732,,,,
EURCAD,3D,ALL,H4,H4,6,6,0,0.9620525433528253,100.0,0.9620525433528253,,,,
EURCHF,3D,ALL,H4,H4,9,9,0,1.0374169726277496,100.0,1.0374169726277496,,,,
EURGBP,3D,ALL,H4,H4,6,6,0,1.0289558763558946,100.0,1.0289558763558946,,,,
EURJPY,3D,ALL,H4,H4,6,6,0,1.0578867587750336,100.0,1.0578867587750336,,,,
EURNZD,3D,ALL,H4,H4,7,7,0,0.9937019795362403,100.0,0.9937019795362403,,,,
EURUSD,3D,ALL,H4,H4,7,7,0,1.0445882893288958,100.0,1.0445882893288958,,,,
GBPAUD,3D,ALL,H4,H4,4,4,0,1.0433147403208305,100.0,1.0433147403208305,,,,
GBPCAD,3D,ALL,H4,H4,7,7,0,1.0662466024675612,100.0,1.0662466024675612,,,,
GBPCHF,3D,ALL,H4,H4,6,6,0,1.0250919693376652,100.0,1.0250919693376652,,,,
GBPJPY,3D,ALL,H4,H4,6,6,0,1.0743653549995948,100.0,1.0743653549995948,,,,
GBPNZD,3D,ALL,H4,H4,8,8,0,1.1451711730880432,100.0,1.1451711730880432,,,,
GBPUSD,3D,ALL,H4,H4,6,6,0,1.0227182201408278,100.0,1.0227182201408278,,,,
NZDCAD,3D,ALL,H4,H4,7,7,0,1.0909380219479208,100.0,1.0909380219479208,,,,
NZDCHF,3D,ALL,H4,H4,8,8,0,1.118927442642506,100.0,1.118927442642506,,,,
NZDJPY,3D,ALL,H4,H4,7,7,0,1.0733382935363323,100.0,1.0733382935363323,,,,
NZDUSD,3D,ALL,H4,H4,6,5,1,1.0431177468067097,83.33333333333334,1.0416030473201239,1.0506912442396386,,,
USDCAD,3D,ALL,H4,H4,6,6,0,1.1011191998080732,100.0,1.1011191998080732,,,,
USDCHF,3D,ALL,H4,H4,6,6,0,1.0114979248264269,100.0,1.0114979248264269,,,,
USDJPY,3D,ALL,H4,H4,6,6,0,1.0627564267916105,100.0,1.0627564267916105,,,,
ALL,ALL,ALL,ALL,ALL,207,206,1,1.0646934724293806,99.51690821256038,1.0647614444108842,1.0506912442396386,4.0,2015-12-03T02:00:00,108.0
