pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCHF,67,27,40,-0.08065671641791097,40.298507462686565,1.281333333333332,-1.0
AUDJPY,80,29,51,-0.13826712049447343,36.25,1.3771941503600735,-1.0
AUDNZD,56,24,32,0.006928571428573076,42.857142857142854,1.3495000000000037,-1.0
AUDUSD,64,26,38,-0.018124999999999822,40.625,1.4169230769230776,-1.0
CADCHF,47,24,23,0.2058502869458447,51.06382978723404,1.3614568119356125,-1.0
CADJPY,64,27,37,0.02307016465359163,42.1875,1.42505520510481,-1.0
CHFJPY,61,24,37,-0.06223752388213206,39.34426229508197,1.3834796267995813,-1.0
EURAUD,99,43,56,0.05688867644586837,43.43434343434344,1.4333018364683947,-1.0
EURCAD,73,33,40,0.08435187176586255,45.20547945205479,1.398717776936605,-1.0
EURCHF,40,16,24,-0.1069932422267498,40.0,1.2325168944331255,-1.0
EURGBP,61,33,28,0.24209836065573828,54.09836065573771,1.296000000000001,-1.0
EURJPY,88,43,45,0.1548836152510362,48.86363636363637,1.363482747490493,-1.0
EURNZD,100,47,53,0.14010924539295,47.0,1.4257643518998935,-1.0
EURUSD,74,33,41,0.05888120881337659,44.5945945945946,1.374460892490602,-1.0
GBPAUD,100,36,64,-0.13894917578653995,36.0,1.391807845037389,-1.0
GBPCAD,90,34,56,-0.09758542425713396,37.77777777777778,1.3887444652017042,-1.0
GBPCHF,72,28,44,-0.070199919721612,38.88888888888889,1.3909144921444265,-1.0
GBPJPY,92,34,58,-0.09604718021199224,36.95652173913043,1.4459899829557858,-1.0
GBPNZD,97,41,56,0.03784012278939234,42.2680412371134,1.455377851477343,-1.0
GBPUSD,89,34,55,-0.11148960546230158,38.20224719101123,1.3258066209957402,-1.0
NZDCAD,62,21,41,-0.1939032258064513,33.87096774193548,1.3799047619047624,-1.0
NZDCHF,50,19,31,-0.11244000000000026,38.0,1.3356842105263151,-1.0
NZDJPY,74,29,45,-0.07061524214569928,39.189189189189186,1.3715335200420091,-1.0
NZDUSD,65,27,38,-0.023935018827326675,41.53846153846154,1.3497860657860656,-1.0
USDCAD,35,14,21,-0.039943410673923,40.0,1.4001414733151922,-1.0
USDCHF,59,26,33,-0.005995371990967908,44.06779661016949,1.2556258866358805,-1.0
USDJPY,67,22,45,-0.20912900520640124,32.83582089552239,1.4085616659623235,-1.0
ALL,1926,794,1132,-0.02004968529065354,41.22533748701973,1.3770583200632258,-1.0
