pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,22,12,10,0.25906574482715033,54.54545454545454,1.3082871988497755,-1.0
AUDCHF,22,12,10,0.32092959676414085,54.54545454545454,1.4217042607342583,-1.0
AUDJPY,20,10,10,0.18323914767327384,50.0,1.3664782953465475,-1.0
AUDNZD,14,8,6,0.3142915627910837,57.14285714285714,1.3000102348843967,-1.0
AUDUSD,8,4,4,0.1515553296369194,50.0,1.3031106592738388,-1.0
CADCHF,22,8,14,-0.14341893494248403,36.36363636363637,1.355597928908169,-1.0
CADJPY,17,8,9,0.1349817674941369,47.05882352941176,1.411836255925041,-1.0
CHFJPY,20,14,6,0.6585501547284871,70.0,1.3693573638978387,-1.0
EURAUD,15,9,6,0.37955405336334214,60.0,1.29925675560557,-1.0
EURCAD,21,13,8,0.4756061244175839,61.904761904761905,1.3836714317514818,-1.0
EURCHF,19,12,7,0.47341353861880764,63.1578947368421,1.3329047694797789,-1.0
EURGBP,18,9,9,0.21554628789531705,50.0,1.431092575790634,-1.0
EURJPY,12,9,3,0.7961093892179366,75.0,1.3948125189572487,-1.0
EURNZD,16,6,10,-0.10785545690865832,37.5,1.3790521149102446,-1.0
EURUSD,12,9,3,0.7702657129356747,75.0,1.3603542839142329,-1.0
GBPAUD,13,5,8,-0.04230769230769233,38.46153846153847,1.49,-1.0
GBPCAD,17,7,10,-0.021216762464753236,41.17647058823529,1.377045005442742,-1.0
GBPCHF,20,6,14,-0.2887821910156033,30.0,1.370726029947989,-1.0
GBPJPY,15,6,9,-0.06837641882548295,40.0,1.3290589529362926,-1.0
GBPNZD,23,12,11,0.19836631858457882,52.17391304347826,1.2968687772871095,-1.0
GBPUSD,12,5,7,-0.0019579639814287417,41.66666666666667,1.3953008864445713,-1.0
NZDCAD,14,7,7,0.19368930843841733,50.0,1.3873786168768347,-1.0
NZDCHF,20,7,13,-0.17944734135646614,35.0,1.344436167552954,-1.0
NZDJPY,8,4,4,0.1803059580082764,50.0,1.3606119160165528,-1.0
NZDUSD,11,6,5,0.26164009726993837,54.54545454545454,1.313006844994887,-1.0
USDCAD,7,5,2,0.6416624897951145,71.42857142857143,1.2983274857131604,-1.0
USDCHF,16,4,12,-0.3778324641460205,25.0,1.4886701434159182,-1.0
USDJPY,15,7,8,0.11900984855169465,46.666666666666664,1.3978782468964883,-1.0
ALL,449,224,225,0.17923349209999795,49.88864142538976,1.363731419432585,-1.0
