mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
W,ALL,H4,H4,CADJPY,long,2016-02-08,2016-02-15,79.284,81.768,2.4839999999999947,2016-02-19 14:00:00,2016-02-19 18:00:00,81.372,81.53,2016-02-23 06:00:00,81.531,84.252,79.0356,2016-02-26 18:00:00,84.252,win,1.090406347679725,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,127.7393939393938,1.0,,2
W,ALL,H4,H4,USDCHF,short,2016-02-22,2016-02-29,0.99668,1.00377,0.007090000000000041,2016-03-02 10:00:00,2016-03-02 14:00:00,1.00034,1.00091,2016-03-07 06:00:00,0.999555,0.98959,1.009620606060606,2016-03-10 14:00:00,0.98959,win,0.9900049674107738,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,100.6560606060607,1.0,,1
W,ALL,H4,H4,EURAUD,long,2016-03-07,2016-03-14,1.44672,1.47394,0.027220000000000022,2016-03-14 01:00:00,2016-03-14 05:00:00,1.46993,1.470095,2016-03-22 13:00:00,1.472435,1.50116,1.4439980000000001,2016-04-04 21:00:00,1.50116,win,1.0101276505960646,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,235.9939393939392,1.0,,1
W,ALL,H4,H4,AUDJPY,short,2016-05-16,2016-05-23,79.5465,80.564,1.0174999999999983,2016-05-20 09:00:00,2016-05-20 13:00:00,79.876,79.958,2016-05-30 05:00:00,79.804,78.529,81.0546893939394,2016-06-02 09:00:00,78.529,win,1.019437764626787,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,125.0689393939393,1.0,WD-INV-VAL,1
W,ALL,H4,H4,USDCAD,long,2016-06-06,2016-06-13,1.265495,1.27809,0.012594999999999912,2016-06-13 13:00:00,2016-06-13 17:00:00,1.275035,1.27659,2016-06-21 05:00:00,1.27756,1.2906849999999999,1.2642355,2016-06-24 01:00:00,1.2906849999999999,win,0.9850275807722518,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,122.6530303030302,1.0,,1
W,ALL,H4,H4,AUDNZD,short,2016-06-20,2016-06-27,1.04801,1.05523,0.007219999999999782,2016-06-30 01:00:00,2016-06-30 05:00:00,1.04968,1.05008,2016-07-06 05:00:00,1.04886,1.0407900000000003,1.0573687878787879,2016-07-07 05:00:00,1.0407900000000003,win,0.9484312119376952,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,85.08787878787898,1.0,,1
W,ALL,H4,H4,NZDJPY,long,2016-07-04,2016-07-11,71.2545,73.442,2.1875,2016-07-07 13:00:00,2016-07-07 17:00:00,72.5085,72.6475,2016-08-03 01:00:00,72.75,75.6295,70.81744966442953,2016-09-02 01:00:00,75.1715,time_exit,1.2530074665740583,TIME_STOP_30D,wickdiffs_W_H4_ALL_20260121_202249.csv,121.4257575757577,1.0,,1
W,ALL,H4,H4,EURCAD,short,2016-08-01,2016-08-08,1.4603,1.47336,0.013060000000000072,2016-08-10 21:00:00,2016-08-11 01:00:00,1.46101,1.461275,2016-08-22 09:00:00,1.46055,1.4472399999999999,1.474666,2016-09-05 05:00:00,1.4472399999999999,win,0.942901671861727,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,119.4166666666667,1.0,,2
W,ALL,H4,H4,GBPUSD,short,2016-08-29,2016-09-05,1.32946,1.34451,0.015050000000000008,2016-09-09 01:00:00,2016-09-09 05:00:00,1.333155,1.33362,2016-09-12 13:00:00,1.332065,1.31441,1.3513704545454546,2016-09-14 13:00:00,1.31441,win,0.9145083819928419,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,193.0545454545453,1.0,WD-INV-VAL,1
W,ALL,H4,H4,EURJPY,short,2016-10-24,2016-10-31,115.058,115.679,0.6209999999999951,2016-11-01 09:00:00,2016-11-01 13:00:00,115.6665,115.679,2016-11-07 02:00:00,115.56,114.43700000000001,116.50052272727272,2016-11-09 02:00:00,114.43700000000001,win,1.194016866829365,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,94.05227272727268,1.0,,1
W,ALL,H4,H4,GBPAUD,long,2016-10-24,2016-10-31,1.57907,1.60429,0.02522000000000002,2016-11-01 17:00:00,2016-11-01 21:00:00,1.598245,1.59834,2016-11-08 14:00:00,1.60054,1.62951,1.576548,2016-11-09 02:00:00,1.62951,win,1.2074858286095334,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,186.8348484848485,1.0,WD-INV-VAL,2
W,ALL,H4,H4,EURAUD,long,2016-11-07,2016-11-14,1.407465,1.43863,0.03116500000000011,2016-11-15 18:00:00,2016-11-15 22:00:00,1.418,1.418535,2016-11-25 06:00:00,1.42366,1.4697950000000002,1.3926969127516775,2016-12-26 22:00:00,1.45716,time_exit,1.0819334561612626,TIME_STOP_30D,wickdiffs_W_H4_ALL_20260121_202249.csv,139.6083333333335,1.0,,1
W,ALL,H4,H4,GBPNZD,long,2016-11-14,2016-11-21,1.74283,1.76134,0.018509999999999804,2016-11-23 06:00:00,2016-11-23 10:00:00,1.752205,1.752225,2016-11-28 14:00:00,1.757115,1.7798499999999997,1.7357624999999999,2016-12-01 10:00:00,1.7798499999999997,win,1.0647465168012986,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,213.525,1.0,,2
