pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,M,ALL,H4,H4,13,7,6,0.23841524310930023,53.84615384615385,1.2999140229172716,-1.0
AUDCHF,M,ALL,H4,H4,11,9,2,0.8080508814668467,81.81818181818183,1.209839966237257,-1.0
AUDJPY,M,ALL,H4,H4,12,4,8,-0.2474561475654148,33.33333333333333,1.2576315573037553,-1.0
AUDNZD,M,ALL,H4,H4,11,7,4,0.4071636978060676,63.63636363636363,1.211257239409535,-1.0
AUDUSD,M,ALL,H4,H4,10,6,4,0.4017911536693095,60.0,1.3363185894488492,-1.0
CADCHF,M,ALL,H4,H4,9,8,1,1.0047739433538518,88.88888888888889,1.2553706862730833,-1.0
CADJPY,M,ALL,H4,H4,7,5,2,0.6853643074646751,71.42857142857143,1.3595100304505454,-1.0
CHFJPY,M,ALL,H4,H4,10,8,2,0.8857876173584291,80.0,1.3572345216980364,-1.0
EURAUD,M,ALL,H4,H4,7,5,2,0.688064794771216,71.42857142857143,1.3632907126797025,-1.0
EURCAD,M,ALL,H4,H4,14,7,7,0.17829727000220888,50.0,1.3565945400044177,-1.0
EURCHF,M,ALL,H4,H4,12,8,4,0.4468156011270934,66.66666666666666,1.1702234016906399,-1.0
EURGBP,M,ALL,H4,H4,14,8,6,0.32451382897992953,57.14285714285714,1.3178992007148767,-1.0
EURJPY,M,ALL,H4,H4,6,4,2,0.5583624889013655,66.66666666666666,1.3375437333520483,-1.0
EURNZD,M,ALL,H4,H4,10,7,3,0.6518669142715756,70.0,1.3598098775308223,-1.0
EURUSD,M,ALL,H4,H4,11,4,7,-0.2093772814171203,36.36363636363637,1.1742124761029191,-1.0
GBPAUD,M,ALL,H4,H4,8,4,4,0.08667953643628944,50.0,1.173359072872579,-1.0
GBPCAD,M,ALL,H4,H4,11,8,3,0.7651737495331647,72.72727272727273,1.4271139056081017,-1.0
GBPCHF,M,ALL,H4,H4,11,6,5,0.2484268982285835,54.54545454545454,1.288782646752403,-1.0
GBPJPY,M,ALL,H4,H4,13,9,4,0.6661502665789596,69.23076923076923,1.4066614961696082,-1.0
GBPNZD,M,ALL,H4,H4,9,5,4,0.25231515279904837,55.55555555555556,1.254167275038287,-1.0
GBPUSD,M,ALL,H4,H4,17,12,5,0.6406383470326357,70.58823529411765,1.324237658296234,-1.0
NZDCAD,M,ALL,H4,H4,12,7,5,0.38665952837118733,58.333333333333336,1.3771306200648925,-1.0
NZDCHF,M,ALL,H4,H4,10,6,4,0.3861892288067516,60.0,1.3103153813445862,-1.0
NZDJPY,M,ALL,H4,H4,11,4,7,-0.19619582364483765,36.36363636363637,1.2104614849766966,-1.0
NZDUSD,M,ALL,H4,H4,11,5,6,0.07636327811447154,45.45454545454545,1.3679992118518374,-1.0
USDCAD,M,ALL,H4,H4,10,5,5,0.13118640444254281,50.0,1.2623728088850856,-1.0
USDCHF,M,ALL,H4,H4,9,6,3,0.6599999999999999,66.66666666666666,1.49,-1.0
USDJPY,M,ALL,H4,H4,17,4,13,-0.41879204032824263,23.52941176470588,1.4701338286049688,-1.0
ALL,ALL,ALL,ALL,ALL,306,178,128,0.34633206340273615,58.16993464052288,1.3144809629282992,-1.0
