pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,ALL,H4,H4,3,2,1,0.3729824497047452,66.66666666666666,1.0594736745571178,-1.0
AUDCHF,W,ALL,H4,H4,3,1,2,-0.3026662451259354,33.33333333333333,1.092001264622194,-1.0
AUDJPY,W,ALL,H4,H4,2,1,1,-0.01714337420528278,50.0,0.9657132515894344,-1.0
AUDNZD,W,ALL,H4,H4,1,1,0,1.2638169405468467,100.0,1.2638169405468467,
CADCHF,W,ALL,H4,H4,2,1,1,0.11394234477876419,50.0,1.2278846895575284,-1.0
CADJPY,W,ALL,H4,H4,4,2,2,0.053797565519620894,50.0,1.1075951310392418,-1.0
EURAUD,W,ALL,H4,H4,2,2,0,1.024307912680659,100.0,1.024307912680659,
EURCAD,W,ALL,H4,H4,1,1,0,1.1210899438584983,100.0,1.1210899438584983,
EURCHF,W,ALL,H4,H4,1,1,0,0.9860512648429338,100.0,0.9860512648429338,
EURGBP,W,ALL,H4,H4,2,2,0,1.166857500113541,100.0,1.166857500113541,
EURJPY,W,ALL,H4,H4,1,1,0,1.1224822691408893,100.0,1.1224822691408893,
EURNZD,W,ALL,H4,H4,1,1,0,1.0714656347919755,100.0,1.0714656347919755,
GBPCAD,W,ALL,H4,H4,1,0,1,-1.0,0.0,,-1.0
GBPCHF,W,ALL,H4,H4,2,1,1,0.005777930354759708,50.0,1.0115558607095194,-1.0
GBPJPY,W,ALL,H4,H4,6,1,5,-0.6733225830834728,16.666666666666664,0.960064501499163,-1.0
GBPNZD,W,ALL,H4,H4,3,2,1,0.45839281610378474,66.66666666666666,1.1875892241556771,-1.0
GBPUSD,W,ALL,H4,H4,2,0,2,-1.0,0.0,,-1.0
NZDCAD,W,ALL,H4,H4,1,1,0,1.0175909537551635,100.0,1.0175909537551635,
NZDCHF,W,ALL,H4,H4,1,1,0,1.49,100.0,1.49,
NZDJPY,W,ALL,H4,H4,4,3,1,0.4985655306514996,75.0,0.9980873742019996,-1.0
NZDUSD,W,ALL,H4,H4,1,1,0,1.1135485543886954,100.0,1.1135485543886954,
USDCHF,W,ALL,H4,H4,1,1,0,0.9751577881328823,100.0,0.9751577881328823,
USDJPY,W,ALL,H4,H4,4,2,2,0.05734418189806251,50.0,1.114688363796125,-1.0
ALL,ALL,ALL,ALL,ALL,49,29,20,0.23946344189237645,59.183673469387756,1.0942658156112568,-1.0
