pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,ALL,H4,H4,3,2,1,0.4917389817557469,66.66666666666666,1.2376084726336203,-1.0
AUDCHF,W,ALL,H4,H4,6,3,3,0.04647317755134047,50.0,1.0929463551026808,-1.0
AUDJPY,W,ALL,H4,H4,4,3,1,0.5413833514804924,75.0,1.05517780197399,-1.0
AUDNZD,W,ALL,H4,H4,3,1,2,-0.17573528431882046,33.33333333333333,1.4727941470435386,-1.0
AUDUSD,W,ALL,H4,H4,1,1,0,0.9920881856164959,100.0,0.9920881856164959,
CADCHF,W,ALL,H4,H4,4,2,2,0.12984020800225105,50.0,1.259680416004502,-1.0
CADJPY,W,ALL,H4,H4,5,3,2,0.29826625101839,60.0,1.16377708503065,-1.0
CHFJPY,W,ALL,H4,H4,3,2,1,0.33223934430722046,66.66666666666666,0.9983590164608307,-1.0
EURAUD,W,ALL,H4,H4,3,3,0,1.1638436558300571,100.0,1.1638436558300571,
EURCAD,W,ALL,H4,H4,2,2,0,1.167665640954581,100.0,1.167665640954581,
EURCHF,W,ALL,H4,H4,3,2,1,0.375160470102085,66.66666666666666,1.0627407051531275,-1.0
EURGBP,W,ALL,H4,H4,3,2,1,0.5004170615460498,66.66666666666666,1.2506255923190748,-1.0
EURJPY,W,ALL,H4,H4,4,4,0,1.0830960144201716,100.0,1.0830960144201716,
EURNZD,W,ALL,H4,H4,3,1,2,-0.2501059479408596,33.33333333333333,1.2496821561774212,-1.0
EURUSD,W,ALL,H4,H4,1,1,0,1.0009057505698058,100.0,1.0009057505698058,
GBPAUD,W,ALL,H4,H4,1,0,1,-1.0,0.0,,-1.0
GBPCAD,W,ALL,H4,H4,4,2,2,0.004566283021733564,50.0,1.0091325660434671,-1.0
GBPCHF,W,ALL,H4,H4,2,1,1,0.09015757951660075,50.0,1.1803151590332015,-1.0
GBPJPY,W,ALL,H4,H4,7,2,5,-0.4185454279230182,28.57142857142857,1.0350910022694366,-1.0
GBPNZD,W,ALL,H4,H4,8,3,5,-0.17914869876400163,37.5,1.1889368032959957,-1.0
GBPUSD,W,ALL,H4,H4,5,1,4,-0.5854826852823519,20.0,1.07258657358824,-1.0
NZDCAD,W,ALL,H4,H4,2,2,0,1.1124107424425267,100.0,1.1124107424425267,
NZDCHF,W,ALL,H4,H4,2,2,0,1.232797760581037,100.0,1.232797760581037,
NZDJPY,W,ALL,H4,H4,7,4,3,0.22325907339449813,57.14285714285714,1.1407033784403717,-1.0
NZDUSD,W,ALL,H4,H4,1,1,0,1.2976980311047852,100.0,1.2976980311047852,
USDCAD,W,ALL,H4,H4,4,2,2,0.02526168273080298,50.0,1.050523365461606,-1.0
USDCHF,W,ALL,H4,H4,1,1,0,1.1355306984139202,100.0,1.1355306984139202,
USDJPY,W,ALL,H4,H4,8,2,6,-0.48055402854865403,25.0,1.0777838858053839,-1.0
ALL,ALL,ALL,ALL,ALL,100,55,45,0.1727968170894809,55.00000000000001,1.132357849253602,-1.0
