mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,pivot_touch_time,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
3D,H1,CHFJPY,long,2023-11-16,2023-11-21,166.558,167.666,1.108000000000004,2023-11-29,2023-11-21 16:00:00,2023-11-21 17:00:00,167.382,167.414,2023-11-29 01:00:00,167.596,168.774,166.44719999999998,2023-11-30 11:00:00,168.774,win,1.0254178272980274
3D,H1,AUDJPY,long,2023-10-02,2023-10-05,93.065,94.318,1.2530000000000001,2023-10-13,2023-10-04 17:00:00,2023-10-04 18:00:00,94.169,94.172,2023-10-13 14:00:00,94.216,95.571,92.9397,2023-10-18 05:00:00,95.571,win,1.0616626185066305
3D,H1,AUDJPY,long,2023-12-20,2023-12-25,96.329,96.832,0.5030000000000001,2023-12-28,2023-12-22 07:00:00,2023-12-22 08:00:00,96.37,96.442,2023-12-28 07:00:00,96.5,97.335,95.93959731543625,2024-01-01 22:00:00,95.93959731543625,loss,-1.0
3D,H1,USDJPY,long,2023-10-13,2023-10-18,148.762,149.812,1.0500000000000114,2023-10-23,2023-10-17 11:00:00,2023-10-17 12:00:00,149.358,149.452,2023-10-24 06:00:00,149.46,150.86200000000002,148.51906040268457,2023-10-31 12:00:00,150.86200000000002,win,1.49
3D,H1,USDJPY,short,2023-10-31,2023-11-03,150.474,151.72,1.2460000000000093,2023-11-08,2023-11-01 00:00:00,2023-11-01 01:00:00,151.432,151.448,2023-11-10 07:00:00,151.377,149.22799999999998,152.81928187919465,2023-11-17 12:00:00,149.22799999999998,win,1.49
3D,H1,USDJPY,short,2023-10-31,2023-11-03,150.474,151.72,1.2460000000000093,2023-11-08,2023-11-01 13:00:00,2023-11-01 14:00:00,151.272,151.38,2023-11-10 02:00:00,151.27,149.22799999999998,152.64046979865776,2023-11-17 12:00:00,149.22799999999998,win,1.49
3D,H1,USDJPY,short,2023-10-31,2023-11-03,150.474,151.72,1.2460000000000093,2023-11-08,2023-11-01 17:00:00,2023-11-01 18:00:00,151.185,151.242,2023-11-09 11:00:00,151.14,149.22799999999998,152.42322147651007,2023-11-17 12:00:00,149.22799999999998,win,1.4899999999999998
3D,H1,USDJPY,short,2023-10-31,2023-11-03,150.474,151.72,1.2460000000000093,2023-11-08,2023-11-01 20:00:00,2023-11-01 21:00:00,150.962,150.97,2023-11-08 13:00:00,150.905,149.22799999999998,152.03050335570472,2023-11-17 12:00:00,149.22799999999998,win,1.49
3D,H1,USDJPY,long,2023-11-29,2023-12-04,146.228,146.805,0.5769999999999982,2023-12-07,2023-12-03 23:00:00,2023-12-04 00:00:00,146.228,146.232,2023-12-07 06:00:00,146.297,147.382,145.5688120805369,2023-12-07 07:00:00,145.5688120805369,loss,-1.0
3D,H1,CADJPY,long,2023-12-20,2023-12-25,106.57,107.35,0.7800000000000011,2023-12-28,2023-12-22 11:00:00,2023-12-22 12:00:00,106.864,106.918,2023-12-28 04:00:00,106.949,108.13,106.15638255033556,2024-01-04 10:00:00,108.13,win,1.49
3D,H1,AUDUSD,short,2023-11-03,2023-11-08,0.64362,0.6523,0.008680000000000021,2023-11-13,2023-11-06 11:00:00,2023-11-06 12:00:00,0.65098,0.65111,2023-11-14 20:00:00,0.6508,0.63494,0.6614442953020135,2023-11-28 00:00:00,0.6614442953020135,loss,-1.0
3D,H1,AUDUSD,short,2023-11-03,2023-11-08,0.64362,0.6523,0.008680000000000021,2023-11-13,2023-11-08 02:00:00,2023-11-08 03:00:00,0.6446,0.64496,2023-11-14 13:00:00,0.64417,0.63494,0.653168,2023-11-15 11:00:00,0.653168,loss,-1.0
3D,H1,NZDUSD,long,2023-10-02,2023-10-05,0.5871,0.59126,0.0041600000000000525,2023-10-13,2023-10-04 06:00:00,2023-10-04 07:00:00,0.58808,0.58812,2023-10-17 08:00:00,0.58834,0.5954200000000001,0.58334,2023-10-19 02:00:00,0.58334,loss,-1.0
3D,H1,NZDUSD,long,2023-10-02,2023-10-05,0.5871,0.59126,0.0041600000000000525,2023-10-13,2023-10-04 14:00:00,2023-10-04 15:00:00,0.58862,0.58881,2023-10-13 15:00:00,0.58903,0.5954200000000001,0.58403,2023-10-19 01:00:00,0.58403,loss,-1.0
3D,H1,CADCHF,long,2023-11-03,2023-11-08,0.65043,0.65388,0.003450000000000064,2023-11-13,2023-11-08 16:00:00,2023-11-08 17:00:00,0.65043,0.65056,2023-11-14 13:00:00,0.65126,0.6573300000000001,0.64626,2023-11-16 14:00:00,0.64626,loss,-1.0
3D,H1,EURGBP,long,2023-11-13,2023-11-16,0.8689,0.87364,0.0047399999999999665,2023-11-21,2023-11-14 14:00:00,2023-11-14 15:00:00,0.8689,0.86934,2023-11-22 09:00:00,0.87016,0.8783799999999999,0.8646432214765102,2023-11-29 08:00:00,0.8646432214765102,loss,-1.0
3D,H1,EURGBP,long,2023-11-13,2023-11-16,0.8689,0.87364,0.0047399999999999665,2023-11-21,2023-11-15 09:00:00,2023-11-15 10:00:00,0.87022,0.87048,2023-11-22 02:00:00,0.8705,0.8783799999999999,0.8652114093959733,2023-11-29 01:00:00,0.8652114093959733,loss,-1.0
3D,H1,EURGBP,long,2023-11-13,2023-11-16,0.8689,0.87364,0.0047399999999999665,2023-11-21,2023-11-15 16:00:00,2023-11-15 17:00:00,0.87241,0.87298,2023-11-21 12:00:00,0.87338,0.8783799999999999,0.86838,2023-11-24 10:00:00,0.86838,loss,-1.0
3D,H1,GBPJPY,long,2023-12-12,2023-12-15,178.34,181.108,2.7680000000000007,2023-12-20,2023-12-15 15:00:00,2023-12-15 16:00:00,179.821,179.84,2023-12-21 16:00:00,180.068,183.876,177.51229530201343,2024-01-05 00:00:00,183.876,win,1.4899999999999998
3D,H1,GBPJPY,long,2023-12-20,2023-12-25,179.787,180.832,1.0449999999999875,2023-12-28,2023-12-21 15:00:00,2023-12-21 16:00:00,179.787,179.855,2023-12-28 12:00:00,179.886,181.87699999999998,178.54975838926174,2024-01-04 04:00:00,181.87699999999998,win,1.49
3D,H1,EURJPY,long,2023-10-02,2023-10-05,154.42,156.647,2.227000000000004,2023-12-07,2023-10-03 19:00:00,2023-10-03 20:00:00,155.756,155.765,2023-12-07 10:00:00,156.028,158.874,154.11793288590604,2023-12-07 17:00:00,154.11793288590604,loss,-1.0
3D,H1,EURJPY,long,2023-10-02,2023-10-05,154.42,156.647,2.227000000000004,2023-12-07,2023-10-05 01:00:00,2023-10-05 02:00:00,156.092,156.12,2023-12-07 09:00:00,156.16,158.874,154.19729999999998,2023-12-07 17:00:00,154.19729999999998,loss,-1.0
3D,H1,EURJPY,long,2023-10-26,2023-10-31,157.693,158.231,0.5379999999999825,2023-12-07,2023-10-30 16:00:00,2023-10-30 17:00:00,158.009,158.06,2023-12-07 02:00:00,158.096,158.76899999999998,157.596,2023-12-07 06:00:00,157.596,loss,-1.0
3D,H1,NZDJPY,long,2023-10-02,2023-10-05,87.094,88.13,1.0360000000000014,2023-10-13,2023-10-04 14:00:00,2023-10-04 15:00:00,87.702,87.704,2023-10-17 10:00:00,88.011,89.166,86.9904,2023-10-25 22:00:00,86.9904,loss,-1.0
3D,H1,NZDJPY,long,2023-10-02,2023-10-05,87.094,88.13,1.0360000000000014,2023-10-13,2023-10-04 18:00:00,2023-10-04 19:00:00,87.976,87.983,2023-10-17 10:00:00,88.011,89.166,86.9904,2023-10-25 22:00:00,86.9904,loss,-1.0
3D,H1,NZDJPY,long,2023-10-02,2023-10-05,87.094,88.13,1.0360000000000014,2023-10-13,2023-10-05 00:00:00,2023-10-05 01:00:00,87.987,88.052,2023-10-13 18:00:00,88.054,89.166,86.9904,2023-10-25 22:00:00,86.9904,loss,-1.0
3D,H1,NZDJPY,long,2023-12-20,2023-12-25,89.246,89.667,0.4210000000000065,2023-12-28,2023-12-22 12:00:00,2023-12-22 13:00:00,89.424,89.432,2023-12-28 07:00:00,89.469,90.08800000000001,88.969,2024-01-02 14:00:00,88.969,loss,-1.0
3D,H1,NZDJPY,long,2023-12-20,2023-12-25,89.246,89.667,0.4210000000000065,2023-12-28,2023-12-25 18:00:00,2023-12-25 22:00:00,89.543,89.562,2023-12-28 05:00:00,89.573,90.08800000000001,89.073,2023-12-28 09:00:00,89.073,loss,-1.0
