pair,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,1,1,0,1.49,100.0,1.49,
AUDCHF,2,2,0,1.4636658689799518,100.0,1.4636658689799518,
AUDJPY,2,2,0,1.0233044177335118,100.0,1.0233044177335118,
AUDNZD,4,1,3,-0.4225917908583815,25.0,1.309632836566474,-1.0
AUDUSD,1,1,0,1.0596754380293532,100.0,1.0596754380293532,
CADCHF,1,1,0,1.0670183431243223,100.0,1.0670183431243223,
CADJPY,2,1,1,0.245,50.0,1.49,-1.0
CHFJPY,1,1,0,0.9545594736300981,100.0,0.9545594736300981,
EURCAD,5,2,3,-0.06472002592097215,40.0,1.3381999351975695,-1.0
EURCHF,2,2,0,1.39045454545455,100.0,1.39045454545455,
EURGBP,3,3,0,1.3854263412052719,100.0,1.3854263412052719,
EURNZD,2,0,2,-1.0,0.0,,-1.0
EURUSD,3,1,2,-0.17,33.33333333333333,1.49,-1.0
GBPAUD,1,1,0,1.49,100.0,1.49,
GBPCAD,2,2,0,1.49,100.0,1.49,
GBPCHF,1,0,1,-1.0,0.0,,-1.0
GBPJPY,3,2,1,0.5971316371488783,66.66666666666666,1.3956974557233175,-1.0
GBPNZD,2,0,2,-1.0,0.0,,-1.0
GBPUSD,2,1,1,0.028287163480295585,50.0,1.0565743269605912,-1.0
NZDCAD,1,1,0,1.3674503613857338,100.0,1.3674503613857338,
NZDCHF,2,1,1,0.245,50.0,1.49,-1.0
USDCHF,1,1,0,1.49,100.0,1.49,
USDJPY,1,0,1,-1.0,0.0,,-1.0
ALL,45,27,18,0.4025296499886708,60.0,1.337549416647785,-1.0
