pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss,avg_planned_rr
AUDCHF,M,ALL,H1,H4,9,7,2,0.6193857051525624,77.77777777777779,1.0820673351961516,-1.0,1.0607598282697785
AUDJPY,M,ALL,H1,H4,4,3,1,0.5456657486306737,75.0,1.0608876648408982,-1.0,1.1179769000808166
AUDNZD,M,ALL,H1,H4,6,4,2,0.44588747874132945,66.66666666666666,1.1688312181119942,-1.0,1.101888236459713
AUDUSD,M,ALL,H1,H4,5,2,3,-0.2111559779261359,40.0,0.9721100551846602,-1.0,1.0002093627779514
CADCHF,M,ALL,H1,H4,6,5,1,0.6945219574197558,83.33333333333334,1.0334263489037068,-1.0,1.0516093611850408
CADJPY,M,ALL,H1,H4,6,6,0,1.0736468993069594,100.0,1.0736468993069594,,1.0736468993069594
CHFJPY,M,ALL,H1,H4,5,4,1,0.6962897467212423,80.0,1.120362183401553,-1.0,1.0967222275205895
EURAUD,M,ALL,H1,H4,5,4,1,0.5935004925650637,80.0,0.9918756157063295,-1.0,1.038812992565063
EURCAD,M,ALL,H1,H4,7,4,3,0.13346330630564354,57.14285714285714,0.9835607860348762,-1.0,1.0092392439665232
EURCHF,M,ALL,H1,H4,7,6,1,0.864734202192207,85.71428571428571,1.175523235890908,-1.0,1.170006109102681
EURGBP,M,ALL,H1,H4,4,3,1,0.5034403051372374,75.0,1.0045870735163165,-1.0,0.9830699347668678
EURJPY,M,ALL,H1,H4,6,4,2,0.3831537323312788,66.66666666666666,1.0747305984969182,-1.0,1.0979414150975022
EURNZD,M,ALL,H1,H4,7,6,1,0.7857946109669693,85.71428571428571,1.0834270461281308,-1.0,1.0839220260070979
EURUSD,M,ALL,H1,H4,6,5,1,0.7339599418464199,83.33333333333334,1.0807519302157038,-1.0,1.1133480347740992
NZDCAD,M,ALL,H1,H4,4,4,0,1.0545503456587162,100.0,1.0545503456587162,,1.0545503456587162
NZDCHF,M,ALL,H1,H4,4,1,3,-0.4534982935153615,25.0,1.186006825938554,-1.0,1.109914939744784
NZDJPY,M,ALL,H1,H4,8,6,2,0.5658152331311119,75.0,1.087753644174816,-1.0,1.126908914339402
NZDUSD,M,ALL,H1,H4,1,0,1,-1.0,0.0,,-1.0,1.206521739130405
USDCHF,M,ALL,H1,H4,3,2,1,0.41229313092817804,66.66666666666666,1.118439696392267,-1.0,1.126530115535689
USDJPY,M,ALL,H1,H4,1,1,0,1.0885201879735344,100.0,1.0885201879735344,,1.0885201879735344
ALL,ALL,ALL,ALL,ALL,104,77,27,0.5374534751610974,74.03846153846155,1.076560537879924,-1.0,1.0812527766601057
