pair,mode,wd_variant,wd_source_ltf,entry_ltf,n_trades,wins,losses,avg_rr,win_rate_%,avg_rr_win,avg_rr_loss
AUDCAD,W,INNER,H4,H4,5,3,2,0.42166482871547045,60.0,1.3694413811924508,-1.0
AUDCHF,W,INNER,H4,H4,5,4,1,0.8280544601411955,80.0,1.2850680751764945,-1.0
AUDJPY,W,INNER,H4,H4,10,5,5,0.13962210971308608,50.0,1.2792442194261722,-1.0
AUDNZD,W,INNER,H4,H4,3,0,3,-1.0,0.0,,-1.0
AUDUSD,W,INNER,H4,H4,5,4,1,0.6992825985392919,80.0,1.1241032481741149,-1.0
CADCHF,W,INNER,H4,H4,9,3,6,-0.237659393925862,33.33333333333333,1.2870218182224138,-1.0
CADJPY,W,INNER,H4,H4,10,6,4,0.2949772015365013,60.0,1.158295335894169,-1.0
CHFJPY,W,INNER,H4,H4,11,9,2,0.7444817041667982,81.81818181818183,1.1321443050927533,-1.0
EURAUD,W,INNER,H4,H4,3,1,2,-0.17,33.33333333333333,1.49,-1.0
EURCAD,W,INNER,H4,H4,9,6,3,0.4535986105122125,66.66666666666666,1.1803979157683189,-1.0
EURCHF,W,INNER,H4,H4,7,6,1,0.8388990706255182,85.71428571428571,1.1453822490631045,-1.0
EURGBP,W,INNER,H4,H4,7,2,5,-0.39574326800679166,28.57142857142857,1.1148985619762293,-1.0
EURJPY,W,INNER,H4,H4,7,4,3,0.2093860300396744,57.14285714285714,1.1164255525694302,-1.0
EURNZD,W,INNER,H4,H4,8,4,4,0.07780219286209061,50.0,1.1556043857241813,-1.0
EURUSD,W,INNER,H4,H4,7,3,4,-0.10082127682064719,42.857142857142854,1.09808368741849,-1.0
GBPAUD,W,INNER,H4,H4,8,2,6,-0.46557216113690203,25.0,1.1377113554523919,-1.0
GBPCAD,W,INNER,H4,H4,11,4,7,-0.22442129690112178,36.36363636363637,1.1328414335219152,-1.0
GBPCHF,W,INNER,H4,H4,8,3,5,-0.17418327934998118,37.5,1.2021779217333834,-1.0
GBPJPY,W,INNER,H4,H4,10,4,6,-0.12994783320325515,40.0,1.1751304169918622,-1.0
GBPNZD,W,INNER,H4,H4,9,3,6,-0.2504340578409175,33.33333333333333,1.2486978264772475,-1.0
GBPUSD,W,INNER,H4,H4,8,2,6,-0.4455778891317782,25.0,1.2176884434728872,-1.0
NZDCAD,W,INNER,H4,H4,3,2,1,0.3255836473227646,66.66666666666666,0.9883754709841469,-1.0
NZDCHF,W,INNER,H4,H4,3,1,2,-0.3358983821512678,33.33333333333333,0.9923048535461965,-1.0
NZDJPY,W,INNER,H4,H4,9,6,3,0.4803812997601291,66.66666666666666,1.2205719496401939,-1.0
NZDUSD,W,INNER,H4,H4,5,4,1,0.6370101294924311,80.0,1.0462626618655388,-1.0
USDCAD,W,INNER,H4,H4,6,2,4,-0.23912070103921593,33.33333333333333,1.2826378968823522,-1.0
USDCHF,W,INNER,H4,H4,7,4,3,0.2314900545924747,57.14285714285714,1.1551075955368306,-1.0
USDJPY,W,INNER,H4,H4,7,1,6,-0.6495185390197743,14.285714285714285,1.45337022686158,-1.0
ALL,ALL,ALL,ALL,ALL,200,98,102,0.06805072233238789,49.0,1.1796953516987507,-1.0
