wd_variant,mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
INN_WICK,2W,D1,AUDCAD,long,2015-07-20,2015-08-03,0.941125,0.95601,0.014885000000000037,2015-07-29,2015-07-30,0.941125,0.94238,2015-08-24,0.9507,0.9708950000000001,0.9371463087248322,2015-08-31,0.9371463087248322,loss,-1.0
INN_WICK,2W,D1,AUDCAD,long,2016-11-07,2016-11-21,0.9852,0.99075,0.005550000000000055,2016-12-01,2016-12-02,0.9852,0.98524,2016-12-07,0.990205,0.9963000000000001,0.984645,2016-12-08,0.984645,loss,-1.0
INN_WICK,2W,D1,AUDCAD,long,2023-02-27,2023-03-13,0.90459,0.91,0.005410000000000026,2023-03-07,2023-03-08,0.90459,0.90518,2023-03-30,0.90766,0.9154100000000001,0.9024586577181208,2023-04-03,0.9024586577181208,loss,-1.0
INN_WICK,2W,D1,AUDCAD,long,2024-07-29,2024-08-12,0.88536,0.90158,0.016220000000000012,2024-08-07,2024-08-08,0.89505,0.89568,2024-12-20,0.89868,0.9178000000000001,0.883738,2025-04-04,0.883738,loss,-1.0
INN_WICK,2W,D1,AUDCAD,long,2024-12-16,2024-12-30,0.88922,0.89627,0.007050000000000001,2024-12-31,2025-01-02,0.88922,0.88957,2025-01-09,0.89172,0.90332,0.883934765100671,2025-01-21,0.90332,win,1.49
INN_WICK,2W,D1,AUDCAD,short,2016-11-21,2016-12-05,0.99096,1.00948,0.01851999999999998,2016-11-25,2016-11-28,1.0071,1.00948,2017-01-19,1.007035,0.97244,1.030253120805369,2017-03-20,1.030253120805369,loss,-1.0
INN_WICK,2W,D1,AUDCAD,short,2017-03-13,2017-03-27,1.019855,1.03339,0.013535000000000075,2017-03-29,2017-03-30,1.0239,1.02549,2017-04-25,1.0225,1.0063199999999999,1.0347435,2017-05-09,1.0063199999999999,win,1.3215175399191397
INN_WICK,2W,D1,AUDCAD,short,2021-01-04,2021-01-18,0.9807,0.99012,0.009419999999999984,2021-01-28,2021-01-29,0.98554,0.98584,2021-02-12,0.9852,0.97128,0.9945422818791946,2021-02-22,0.9945422818791946,loss,-1.0
INN_WICK,2W,D1,AUDCAD,short,2022-03-28,2022-04-11,0.93793,0.95162,0.01368999999999998,2022-04-05,2022-04-06,0.94902,0.95162,2023-01-27,0.9463,0.9242400000000001,0.9611053691275168,2023-02-06,0.9242400000000001,win,1.49
INN_WICK,2W,D1,AUDCAD,short,2024-09-09,2024-09-23,0.92237,0.93772,0.015349999999999975,2024-10-02,2024-10-03,0.93018,0.93202,2024-10-11,0.92928,0.90702,0.9442195973154363,2024-11-13,0.90702,win,1.49
