time,open,high,low,close
2004-05-31T11:00:00+02:00,2.89815,2.89815,2.89815,2.89815
2004-06-01T11:00:00+02:00,2.89815,2.92615,2.89815,2.92615
2004-06-02T11:00:00+02:00,2.92615,2.95225,2.92615,2.95225
2004-06-03T11:00:00+02:00,2.95225,2.98045,2.95225,2.98045
2004-06-04T11:00:00+02:00,2.98045,2.98045,2.95835,2.95835
2004-06-07T11:00:00+02:00,2.9536,2.9536,2.90475,2.90475
2004-06-08T11:00:00+02:00,2.90475,2.92505,2.90475,2.92505
2004-06-09T11:00:00+02:00,2.92505,2.96205,2.92505,2.96205
2004-06-10T11:00:00+02:00,2.96205,2.96205,2.90995,2.90995
2004-06-11T11:00:00+02:00,2.90995,2.90995,2.89285,2.89285
2004-06-14T11:00:00+02:00,2.88995,2.9015,2.88995,2.9015
2004-06-15T11:00:00+02:00,2.9015,2.9015,2.872,2.872
2004-06-16T11:00:00+02:00,2.872,2.90575,2.872,2.90575
2004-06-17T11:00:00+02:00,2.90575,2.94885,2.90575,2.94885
2004-06-18T11:00:00+02:00,2.94885,2.94885,2.93335,2.93335
2004-06-21T11:00:00+02:00,2.93145,2.93145,2.91365,2.91365
2004-06-22T11:00:00+02:00,2.91365,2.91365,2.89895,2.89895
2004-06-23T11:00:00+02:00,2.89895,2.90975,2.89895,2.90975
2004-06-24T11:00:00+02:00,2.90975,2.90975,2.87455,2.87455
2004-06-25T11:00:00+02:00,2.87455,2.87455,2.87355,2.87355
2004-06-28T11:00:00+02:00,2.87215,2.87215,2.85525,2.85525
2004-06-29T11:00:00+02:00,2.85525,2.86465,2.85525,2.86465
2004-06-30T11:00:00+02:00,2.86465,2.86465,2.86095,2.86095
2004-07-01T11:00:00+02:00,2.86095,2.86095,2.83885,2.83885
2004-07-02T11:00:00+02:00,2.83885,2.83885,2.82825,2.82825
2004-07-05T11:00:00+02:00,2.82725,2.82725,2.8263,2.8263
2004-07-06T11:00:00+02:00,2.8263,2.8361,2.8263,2.8361
2004-07-07T11:00:00+02:00,2.8361,2.8361,2.8263,2.8263
2004-07-08T11:00:00+02:00,2.8263,2.8263,2.819,2.819
2004-07-09T11:00:00+02:00,2.819,2.82995,2.819,2.82995
2004-07-12T11:00:00+02:00,2.83045,2.83045,2.8179,2.8179
2004-07-13T11:00:00+02:00,2.8179,2.827,2.8179,2.827
2004-07-14T11:00:00+02:00,2.827,2.8453,2.827,2.8453
2004-07-15T11:00:00+02:00,2.8453,2.8481,2.8453,2.8481
2004-07-16T11:00:00+02:00,2.8481,2.8481,2.84145,2.84145
2004-07-19T11:00:00+02:00,2.83895,2.848,2.83895,2.848
2004-07-20T11:00:00+02:00,2.848,2.848,2.8325,2.8325
2004-07-21T11:00:00+02:00,2.8325,2.8762,2.8325,2.8762
2004-07-22T11:00:00+02:00,2.8762,2.8762,2.8723,2.8723
2004-07-23T11:00:00+02:00,2.8723,2.88245,2.8723,2.88245
2004-07-26T11:00:00+02:00,2.88525,2.894,2.88525,2.894
2004-07-27T11:00:00+02:00,2.894,2.90315,2.894,2.90315
2004-07-28T11:00:00+02:00,2.90315,2.90315,2.90155,2.90155
2004-07-29T11:00:00+02:00,2.90155,2.90155,2.86755,2.86755
2004-07-30T11:00:00+02:00,2.86755,2.86755,2.85695,2.85695
2004-08-02T11:00:00+02:00,2.85775,2.85775,2.85535,2.85535
2004-08-03T11:00:00+02:00,2.85535,2.85535,2.8235,2.8235
2004-08-04T11:00:00+02:00,2.8235,2.8292,2.8235,2.8292
2004-08-05T11:00:00+02:00,2.8292,2.8329,2.8292,2.8329
2004-08-06T11:00:00+02:00,2.8329,2.8329,2.82345,2.82345
2004-08-09T11:00:00+02:00,2.82325,2.82325,2.8203,2.8203
2004-08-10T11:00:00+02:00,2.8203,2.8203,2.7996,2.7996
2004-08-11T11:00:00+02:00,2.7996,2.7996,2.7937,2.7937
2004-08-12T11:00:00+02:00,2.7937,2.7937,2.7679,2.7679
2004-08-13T11:00:00+02:00,2.7679,2.7679,2.76605,2.76605
2004-08-16T11:00:00+02:00,2.77435,2.77435,2.7679,2.7679
2004-08-17T11:00:00+02:00,2.7679,2.7679,2.7542,2.7542
2004-08-18T11:00:00+02:00,2.7542,2.7542,2.7451,2.7451
2004-08-19T11:00:00+02:00,2.7451,2.7451,2.7287,2.7287
2004-08-20T11:00:00+02:00,2.7287,2.7287,2.70635,2.70635
2004-08-23T11:00:00+02:00,2.70765,2.733,2.70765,2.733
2004-08-24T11:00:00+02:00,2.733,2.7665,2.733,2.7665
2004-08-25T11:00:00+02:00,2.7665,2.7665,2.7665,2.7665
2004-08-26T11:00:00+02:00,2.7665,2.7665,2.7576,2.7576
2004-08-27T11:00:00+02:00,2.7576,2.7576,2.74155,2.74155
2004-08-30T11:00:00+02:00,2.74175,2.7602,2.74175,2.7602
2004-08-31T11:00:00+02:00,2.7602,2.7602,2.7502,2.7502
2004-09-01T11:00:00+02:00,2.7502,2.7502,2.735,2.735
2004-09-02T11:00:00+02:00,2.735,2.76055,2.735,2.76055
2004-09-03T11:00:00+02:00,2.76055,2.76055,2.75015,2.75015
2004-09-06T11:00:00+02:00,2.74745,2.74745,2.7411,2.7411
2004-09-07T11:00:00+02:00,2.7411,2.7411,2.7387,2.7387
2004-09-08T11:00:00+02:00,2.7387,2.7493,2.7387,2.7493
2004-09-09T11:00:00+02:00,2.7493,2.7493,2.737,2.737
2004-09-10T11:00:00+02:00,2.737,2.74355,2.737,2.74355
2004-09-13T11:00:00+02:00,2.73965,2.73965,2.7341,2.7341
2004-09-14T11:00:00+02:00,2.7341,2.7341,2.7165,2.7165
2004-09-15T11:00:00+02:00,2.7165,2.7165,2.70465,2.70465
2004-09-16T11:00:00+02:00,2.70465,2.7155,2.70465,2.7155
2004-09-17T11:00:00+02:00,2.7155,2.7155,2.71455,2.71455
2004-09-20T11:00:00+02:00,2.71345,2.71345,2.7018,2.7018
2004-09-21T11:00:00+02:00,2.7018,2.7067,2.7018,2.7067
2004-09-22T11:00:00+02:00,2.7067,2.7067,2.7057,2.7057
2004-09-23T11:00:00+02:00,2.7057,2.7057,2.6967,2.6967
2004-09-24T11:00:00+02:00,2.6967,2.70045,2.6967,2.70045
2004-09-27T11:00:00+02:00,2.70195,2.7175,2.70195,2.7175
2004-09-28T11:00:00+02:00,2.7175,2.7175,2.7084,2.7084
2004-09-29T11:00:00+02:00,2.7084,2.7084,2.68575,2.68575
2004-09-30T11:00:00+02:00,2.68575,2.68575,2.6732,2.6732
2004-10-01T11:00:00+02:00,2.6732,2.6732,2.66525,2.66525
2004-10-04T11:00:00+02:00,2.67565,2.67565,2.6648,2.6648
2004-10-05T11:00:00+02:00,2.6648,2.6648,2.6436,2.6436
2004-10-06T11:00:00+02:00,2.6436,2.6436,2.6344,2.6344
2004-10-07T11:00:00+02:00,2.6344,2.6344,2.6327,2.6327
2004-10-08T11:00:00+02:00,2.6327,2.6327,2.61855,2.61855
2004-10-11T11:00:00+02:00,2.62475,2.6396,2.62475,2.6396
