wick_variant,pair,pivot_type,timeframe,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
OUTER_WICK,AUDCAD,long,W,H4,2024-03-25 00:00,2024-04-01 00:00,0.88012,0.8827,0.0025800000000000267,0.88012,0.88134,2024-04-02 09:00,2024-04-02 13:00,0.8817,0.88174,3.999999999992898e-05,0.015503875968964562,2024-04-15 00:00,False
OUTER_WICK,AUDCAD,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,0.88671,0.889,0.0022900000000000142,0.88699,0.889,2024-02-23 18:00,2024-02-25 22:00,0.88678,0.88699,0.00020999999999993246,0.09170305676852888,2024-03-04 00:00,False
OUTER_WICK,AUDCAD,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,0.89418,0.90074,0.00656000000000001,0.89524,0.90074,2024-04-12 05:00,2024-04-12 09:00,0.89491,0.89512,0.00021000000000004349,0.0320121951219578,2024-04-22 00:00,False
OUTER_WICK,AUDCAD,short,W,H4,2024-04-29 00:00,2024-05-06 00:00,0.90452,0.90767,0.003149999999999986,0.90598,0.90767,2024-05-07 17:00,2024-05-07 21:00,0.90582,0.90592,9.999999999998899e-05,0.03174603174602839,2024-05-13 00:00,False
OUTER_WICK,AUDCAD,short,W,H4,2024-04-29 00:00,2024-05-06 00:00,0.90452,0.90767,0.003149999999999986,0.90598,0.90767,2024-05-09 17:00,2024-05-09 21:00,0.90544,0.90573,0.00029000000000001247,0.09206349206349643,2024-05-13 00:00,False
OUTER_WICK,AUDCHF,long,W,H4,2024-02-26 00:00,2024-03-04 00:00,0.57041,0.57642,0.006010000000000071,0.57041,0.57374,2024-03-05 18:00,2024-03-05 22:00,0.57426,0.57428,2.0000000000020002e-05,0.0033277870216339043,2024-04-15 00:00,False
OUTER_WICK,AUDCHF,short,W,H4,2024-01-15 00:00,2024-01-22 00:00,0.57272,0.57396,0.0012400000000000189,0.57368,0.57396,2024-01-23 10:00,2024-01-23 14:00,0.5733,0.57348,0.00017999999999995797,0.14516129032254455,2024-02-12 00:00,False
OUTER_WICK,AUDCHF,short,W,H4,2024-02-19 00:00,2024-02-26 00:00,0.57833,0.57932,0.0009899999999999354,0.57874,0.57932,2024-02-23 18:00,2024-02-25 22:00,0.57858,0.57874,0.000160000000000049,0.16161616161622167,2024-03-04 00:00,False
OUTER_WICK,AUDCHF,short,W,H4,2024-03-04 00:00,2024-03-11 00:00,0.58146,0.58294,0.0014800000000000368,0.58265,0.58294,2024-03-14 17:00,2024-03-14 21:00,0.58181,0.58204,0.00022999999999995246,0.15540540540536943,2024-03-18 00:00,False
OUTER_WICK,AUDCHF,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,0.59356,0.59957,0.006010000000000071,0.59923,0.59957,2024-04-10 05:00,2024-04-10 09:00,0.59889,0.59898,8.999999999992347e-05,0.014975041597324861,2024-04-22 00:00,False
OUTER_WICK,AUDCHF,short,W,H4,2024-04-01 00:00,2024-04-08 00:00,0.59356,0.59957,0.006010000000000071,0.59923,0.59957,2024-04-11 05:00,2024-04-11 09:00,0.59612,0.59656,0.00043999999999999595,0.07321131447587201,2024-04-22 00:00,False
