wd_variant,mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
OUTSIDE,W,H4,AUDUSD,short,2024-04-29,2024-05-06,0.66097,0.66494,0.003970000000000029,2024-05-06 21:00:00,2024-05-07 01:00:00,0.66432,0.66439,2024-05-15 01:00:00,0.6642,0.6569999999999999,0.6692,2024-05-15 17:00:00,0.6692,loss,-1.0
OUTSIDE,W,H4,CADJPY,short,2024-01-01,2024-01-08,108.254,109.238,0.9839999999999947,2024-01-12 06:00:00,2024-01-12 10:00:00,108.67,108.793,2024-01-15 06:00:00,108.585,107.27000000000001,109.46755033557045,2024-01-17 06:00:00,109.46755033557045,loss,-1.0
OUTSIDE,W,H4,EURAUD,long,2024-01-22,2024-01-29,1.63506,1.65067,0.015610000000000124,2024-02-02 06:00:00,2024-02-02 10:00:00,1.64644,1.64832,2024-02-06 14:00:00,1.64849,1.6662800000000002,1.633499,2024-02-28 10:00:00,1.6662800000000002,win,1.1867120272163447
OUTSIDE,W,H4,EURJPY,short,2024-03-18,2024-03-25,163.661,165.355,1.6939999999999884,2024-03-27 05:00:00,2024-03-27 09:00:00,164.274,164.297,2024-04-03 13:00:00,164.245,161.967,165.77385906040269,2024-04-23 21:00:00,165.77385906040269,loss,-1.0
OUTSIDE,W,H4,EURNZD,short,2024-02-26,2024-03-04,1.77493,1.78702,0.012090000000000156,2024-03-06 18:00:00,2024-03-06 22:00:00,1.77858,1.7791,2024-03-13 17:00:00,1.7783,1.7628399999999997,1.7886758389261748,2024-03-15 13:00:00,1.7886758389261748,loss,-1.0
OUTSIDE,W,H4,GBPNZD,long,2024-04-08,2024-04-15,2.08573,2.097,0.011270000000000113,2024-04-15 01:00:00,2024-04-15 05:00:00,2.0934,2.09478,2024-04-22 01:00:00,2.09532,2.10827,2.084603,2024-04-22 09:00:00,2.084603,loss,-1.0
OUTSIDE,W,H4,GBPUSD,short,2024-02-19,2024-02-26,1.26724,1.27096,0.0037200000000001676,2024-02-26 10:00:00,2024-02-26 14:00:00,1.26986,1.26997,2024-03-04 14:00:00,1.26966,1.2635199999999998,1.27466,2024-03-06 14:00:00,1.27466,loss,-1.0
OUTSIDE,W,H4,GBPUSD,short,2024-04-29,2024-05-06,1.25472,1.26348,0.008759999999999879,2024-05-06 09:00:00,2024-05-06 13:00:00,1.2592,1.25944,2024-05-14 13:00:00,1.25852,1.2459600000000002,1.2669495302013423,2024-05-15 09:00:00,1.2669495302013423,loss,-1.0
OUTSIDE,W,H4,NZDJPY,short,2024-03-18,2024-03-25,90.751,92.204,1.4529999999999887,2024-03-26 09:00:00,2024-03-26 13:00:00,91.16,91.252,2024-04-03 17:00:00,91.116,89.29800000000002,92.3493,2024-04-10 09:00:00,92.3493,loss,-1.0
OUTSIDE,W,H4,USDCAD,short,2024-04-29,2024-05-06,1.36854,1.3785,0.009959999999999969,2024-05-09 05:00:00,2024-05-09 09:00:00,1.37358,1.3738,2024-05-23 17:00:00,1.37299,1.3585800000000001,1.382661140939597,2024-07-25 05:00:00,1.382661140939597,loss,-1.0
