wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
ALL,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-26 21:00,2024-02-26 22:00,1.05906,1.05914,8.000000000008001e-05,0.007670182166834178,,True
ALL,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-28 00:00,2024-02-28 01:00,1.06004,1.0603,0.00025999999999992696,0.024928092042179145,,True
ALL,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-28 08:00,2024-02-28 09:00,1.06456,1.06462,5.999999999994898e-05,0.005752636625114989,,True
ALL,AUDNZD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,1.05699,1.06742,0.01042999999999994,1.05699,1.06638,2024-02-28 22:00,2024-02-28 23:00,1.06468,1.06474,5.999999999994898e-05,0.005752636625114989,,True
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-13 19:00,2024-02-13 20:00,0.64428,0.64436,8.000000000008001e-05,0.014625228519210009,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 00:00,2024-02-14 01:00,0.64466,0.64488,0.00021999999999999797,0.04021937842778693,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 02:00,2024-02-14 03:00,0.6453,0.64548,0.000180000000000069,0.03290676416820222,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 08:00,2024-02-14 09:00,0.6468,0.64714,0.00034000000000000696,0.062157221206581646,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-02-14 13:00,2024-02-14 14:00,0.64724,0.64734,9.999999999998899e-05,0.018281535648992216,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-03-05 08:00,2024-03-05 09:00,0.6479,0.64798,7.999999999996898e-05,0.014625228519189713,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-03-05 12:00,2024-03-05 13:00,0.64881,0.64883,2.0000000000020002e-05,0.003656307129802502,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-03-06 00:00,2024-03-06 01:00,0.64927,0.6493,2.999999999997449e-05,0.005484460694693605,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-03-28 09:00,2024-03-28 10:00,0.64854,0.64874,0.00019999999999997797,0.03656307129798443,2024-04-01 00:00,False
ALL,AUDUSD,long,M,H1,2024-02-01 00:00,2024-03-01 00:00,0.64428,0.64975,0.005470000000000086,0.64428,0.64775,2024-03-28 11:00,2024-03-28 12:00,0.64884,0.6489,6.0000000000060005e-05,0.010968921389407508,2024-04-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-03-08 14:00,2024-03-08 15:00,0.66491,0.66534,0.00043000000000004146,0.02834541858932373,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-09 13:00,2024-04-09 14:00,0.66438,0.66444,6.0000000000060005e-05,0.003955174686885955,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-09 23:00,2024-04-10 00:00,0.66302,0.66314,0.00011999999999989797,0.007910349373757274,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-10 06:00,2024-04-10 07:00,0.66279,0.66284,4.999999999999449e-05,0.003295978905734637,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-10 08:00,2024-04-10 09:00,0.66274,0.66275,9.99999999995449e-06,0.0006591957811439999,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-26 13:00,2024-04-26 14:00,0.65482,0.65494,0.00012000000000000899,0.007910349373764591,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-26 18:00,2024-04-26 19:00,0.65391,0.65404,0.00012999999999996348,0.00856954515490859,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-29 04:00,2024-04-29 05:00,0.65804,0.65867,0.0006300000000000194,0.04152933421226228,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-29 07:00,2024-04-29 08:00,0.6565,0.65656,6.0000000000060005e-05,0.003955174686885955,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-29 11:00,2024-04-29 12:00,0.65698,0.65702,4.0000000000040004e-05,0.0026367831245906366,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-29 16:00,2024-04-29 17:00,0.65724,0.65738,0.00013999999999991797,0.009228740936052592,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-30 00:00,2024-04-30 01:00,0.65644,0.65648,3.999999999992898e-05,0.0026367831245833182,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-30 07:00,2024-04-30 08:00,0.65292,0.653,8.000000000008001e-05,0.005273566249181273,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-30 09:00,2024-04-30 10:00,0.65348,0.65366,0.000180000000000069,0.011865524060650546,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-05-01 18:00,2024-05-01 19:00,0.65374,0.654,0.000260000000000038,0.017139090309824502,2024-05-01 00:00,False
ALL,AUDUSD,short,M,H1,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-05-01 23:00,2024-05-02 00:00,0.65318,0.6533,0.00012000000000000899,0.007910349373764591,2024-05-01 00:00,False
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-04-04 11:00,2024-04-04 12:00,0.672,0.67216,0.00015999999999993797,0.03305785123965691,,True
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-04-04 14:00,2024-04-04 15:00,0.67091,0.67138,0.00046999999999997044,0.09710743801652372,,True
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-05-27 21:00,2024-05-27 22:00,0.67034,0.6706,0.00025999999999992696,0.05371900826444821,,True
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-05-28 03:00,2024-05-28 04:00,0.66983,0.66984,9.99999999995449e-06,0.002066115702469955,,True
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-05-28 08:00,2024-05-28 09:00,0.6693,0.66936,5.999999999994898e-05,0.012396694214865606,,True
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-05-28 20:00,2024-05-28 21:00,0.66872,0.66911,0.00039000000000000146,0.08057851239669525,,True
ALL,CADCHF,short,M,H1,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-05-29 10:00,2024-05-29 11:00,0.66848,0.66866,0.000180000000000069,0.0371900826446427,,True
ALL,CHFJPY,long,M,H1,2024-03-01 00:00,2024-04-01 00:00,166.574,167.883,1.3089999999999975,166.574,166.77,2024-03-27 11:00,2024-03-27 12:00,166.574,166.588,0.013999999999981583,0.010695187165761351,2024-05-01 00:00,False
ALL,CHFJPY,long,M,H1,2024-03-01 00:00,2024-04-01 00:00,166.574,167.883,1.3089999999999975,166.574,166.77,2024-04-03 06:00,2024-04-03 07:00,166.77,166.812,0.04200000000000159,0.03208556149732748,2024-05-01 00:00,False
ALL,CHFJPY,long,M,H1,2024-03-01 00:00,2024-04-01 00:00,166.574,167.883,1.3089999999999975,166.574,166.77,2024-04-03 09:00,2024-04-03 10:00,166.896,166.906,0.010000000000019327,0.007639419404140066,2024-05-01 00:00,False
