wd_variant,pair,pivot_type,htf,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch,wd_search_window_start,wd_search_window_end
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-01-15 21:00,2015-01-15 22:00,0.686835,0.687985,0.0011499999999999844,0.040167656304575014,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-01-23 14:00,2015-01-23 15:00,0.689945,0.691065,0.0011200000000000099,0.03911980440097828,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-01-26 01:00,2015-01-26 02:00,0.691975,0.691985,9.99999999995449e-06,0.0003492839678642848,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-01-26 04:00,2015-01-26 05:00,0.692265,0.692295,2.999999999997449e-05,0.0010478519035967322,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-01-26 07:00,2015-01-26 08:00,0.692525,0.69285,0.0003250000000000197,0.011351728955641608,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-02-03 07:00,2015-02-03 08:00,0.70651,0.706915,0.0004049999999999887,0.014146000698567519,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-02-03 09:00,2015-02-03 10:00,0.708425,0.70905,0.0006249999999999867,0.021830247991616685,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-01-01 00:00,2015-02-02 00:00,0.686835,0.715465,0.028630000000000044,0.686835,0.70651,2015-02-12 07:00,2015-02-12 08:00,0.7094,0.70953,0.00012999999999996348,0.004540691582255092,2015-05-01 00:00,False,2015-01-01 00:00,2015-03-01 23:59
ALL,AUDCHF,long,M,H1,2015-05-01 00:00,2015-06-01 00:00,0.708095,0.71867,0.010575000000000001,0.708095,0.71541,2015-06-09 07:00,2015-06-09 08:00,0.708095,0.70895,0.0008549999999999391,0.08085106382978147,2015-07-01 00:00,False,2015-05-01 00:00,2015-06-30 23:59
ALL,AUDCHF,long,M,H1,2015-05-01 00:00,2015-06-01 00:00,0.708095,0.71867,0.010575000000000001,0.708095,0.71541,2015-06-17 17:00,2015-06-17 18:00,0.709095,0.70933,0.00023499999999998522,0.02222222222222082,2015-07-01 00:00,False,2015-05-01 00:00,2015-06-30 23:59
