wd_variant,pair,pivot_type,timeframe,ltf,htf_first_candle_time,htf_second_candle_time,htf_gap_low,htf_gap_high,htf_gap_width,htf_wick_diff_low,htf_wick_diff_high,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_htf_gap,htf_first_touch_time,pending_until_htf_touch
OUTSIDE,AUDUSD,short,M,3D,2024-03-01 00:00,2024-04-01 00:00,0.6516,0.66677,0.015170000000000017,0.66444,0.66677,2024-04-05 00:00,2024-04-10 00:00,0.66314,0.66444,0.0013000000000000789,0.08569545154911519,2024-05-01 00:00,False
OUTSIDE,CADCHF,short,M,3D,2024-04-01 00:00,2024-05-01 00:00,0.66732,0.67216,0.0048399999999999554,0.6706,0.67216,2024-05-22 00:00,2024-05-27 00:00,0.67002,0.6706,0.0005800000000000249,0.11983471074380792,,True
OUTSIDE,CHFJPY,short,M,3D,2024-01-01 00:00,2024-02-01 00:00,170.6,171.83,1.2300000000000182,171.7,171.83,2024-02-23 00:00,2024-02-28 00:00,171.398,171.516,0.117999999999995,0.09593495934958801,2024-03-01 00:00,False
OUTSIDE,NZDCAD,short,M,3D,2024-02-01 00:00,2024-03-01 00:00,0.82645,0.8378,0.011349999999999971,0.83472,0.8378,2024-03-07 00:00,2024-03-12 00:00,0.83327,0.83472,0.0014500000000000624,0.12775330396476353,2024-05-01 00:00,False
