pair,pivot_type,3day_first_candle_time,3day_second_candle_time,3day_gap_low,3day_gap_high,3day_gap_width,ltf,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_weekly,3day_first_touch_time,pending_until_3day_touch
EURCHF,long,2023-10-18 00:00,2023-10-23 00:00,0.94176,0.94546,0.0036999999999999256,H1,2023-10-20 14:00,2023-10-20 15:00,0.94374,0.94379,4.999999999999449e-05,0.013513513513512296,2023-11-29 00:00,False
EURCHF,long,2023-11-21 00:00,2023-11-24 00:00,0.9619,0.96432,0.0024199999999999777,H1,2023-11-23 01:00,2023-11-23 02:00,0.96216,0.96218,2.0000000000020002e-05,0.008264462809925696,2023-11-29 00:00,False
USDCHF,short,2023-10-02 00:00,2023-10-05 00:00,0.91734,0.92448,0.007139999999999924,H1,2023-10-04 06:00,2023-10-04 07:00,0.92247,0.92326,0.0007899999999999574,0.11064425770307644,,True
USDCHF,long,2023-11-03 00:00,2023-11-08 00:00,0.89535,0.9001,0.004750000000000032,H1,2023-11-06 08:00,2023-11-06 09:00,0.89535,0.8958,0.00045000000000006146,0.09473684210527546,2023-11-13 00:00,False
USDCHF,long,2023-11-03 00:00,2023-11-08 00:00,0.89535,0.9001,0.004750000000000032,H1,2023-11-06 16:00,2023-11-06 17:00,0.89677,0.89687,9.999999999998899e-05,0.021052631578944908,2023-11-13 00:00,False
GBPAUD,long,2023-10-05 00:00,2023-10-10 00:00,1.9048,1.90864,0.0038399999999998435,H1,2023-10-10 01:00,2023-10-10 02:00,1.9048,1.90495,0.00014999999999987246,0.03906249999996838,2023-10-18 00:00,False
GBPAUD,short,2023-10-10 00:00,2023-10-13 00:00,1.92834,1.93286,0.0045200000000000795,H1,2023-10-13 08:00,2023-10-13 09:00,1.93268,1.93286,0.000180000000000069,0.039823008849572086,2023-10-23 00:00,False
GBPAUD,long,2023-10-13 00:00,2023-10-18 00:00,1.90789,1.91381,0.005919999999999925,H1,2023-10-18 05:00,2023-10-18 06:00,1.90789,1.90802,0.00012999999999996348,0.021959459459453566,2023-10-23 00:00,False
GBPAUD,long,2023-10-13 00:00,2023-10-18 00:00,1.90789,1.91381,0.005919999999999925,H1,2023-10-18 10:00,2023-10-18 11:00,1.9113,1.91178,0.00048000000000003595,0.08108108108108818,2023-10-23 00:00,False
GBPAUD,short,2023-10-18 00:00,2023-10-23 00:00,1.92634,1.93424,0.007900000000000018,H1,2023-10-23 22:00,2023-10-23 23:00,1.93415,1.93424,8.999999999992347e-05,0.011392405063281427,2023-10-26 00:00,False
GBPAUD,long,2023-11-16 00:00,2023-11-21 00:00,1.90158,1.90698,0.005399999999999849,H1,2023-11-20 12:00,2023-11-20 13:00,1.90181,1.90246,0.0006500000000000394,0.12037037037038104,2023-11-24 00:00,False
GBPAUD,long,2023-11-29 00:00,2023-12-04 00:00,1.89703,1.90414,0.00710999999999995,H1,2023-12-04 00:00,2023-12-04 01:00,1.89703,1.89746,0.00042999999999993044,0.06047819971869669,2023-12-07 00:00,False
AUDNZD,long,2023-10-05 00:00,2023-10-10 00:00,1.06243,1.06456,0.0021299999999999653,H1,2023-10-09 16:00,2023-10-09 17:00,1.06254,1.06269,0.00014999999999987246,0.07042253521120888,2023-10-13 00:00,False
AUDNZD,long,2023-12-15 00:00,2023-12-20 00:00,1.07544,1.07826,0.0028200000000000447,H1,2023-12-20 10:00,2023-12-20 11:00,1.07544,1.07545,1.0000000000065512e-05,0.003546099290803317,2023-12-25 00:00,False
AUDNZD,long,2023-12-15 00:00,2023-12-20 00:00,1.07544,1.07826,0.0028200000000000447,H1,2023-12-20 13:00,2023-12-20 14:00,1.07553,1.07555,1.999999999990898e-05,0.0070921985815278945,2023-12-25 00:00,False
CHFJPY,long,2023-10-02 00:00,2023-10-05 00:00,160.012,162.579,2.5670000000000073,H1,2023-10-03 19:00,2023-10-03 20:00,161.488,161.538,0.05000000000001137,0.01947798987144964,2023-12-07 00:00,False
CHFJPY,long,2023-10-02 00:00,2023-10-05 00:00,160.012,162.579,2.5670000000000073,H1,2023-10-04 06:00,2023-10-04 07:00,161.652,161.7,0.04800000000000182,0.018698870276588113,2023-12-07 00:00,False
CHFJPY,long,2023-10-02 00:00,2023-10-05 00:00,160.012,162.579,2.5670000000000073,H1,2023-10-04 14:00,2023-10-04 15:00,162.026,162.031,0.0049999999999954525,0.0019477989871427496,2023-12-07 00:00,False
CHFJPY,short,2023-10-18 00:00,2023-10-23 00:00,167.95,168.422,0.4720000000000084,H1,2023-10-20 07:00,2023-10-20 08:00,168.34,168.422,0.08199999999999363,0.17372881355930545,2023-11-08 00:00,False
CHFJPY,short,2023-10-18 00:00,2023-10-23 00:00,167.95,168.422,0.4720000000000084,H1,2023-10-20 11:00,2023-10-20 12:00,168.246,168.332,0.08599999999998431,0.182203389830472,2023-11-08 00:00,False
CHFJPY,long,2023-11-16 00:00,2023-11-21 00:00,166.558,167.666,1.108000000000004,H1,2023-11-21 14:00,2023-11-21 15:00,166.96,167.032,0.07200000000000273,0.06498194945848598,2023-11-29 00:00,False
CHFJPY,long,2023-11-16 00:00,2023-11-21 00:00,166.558,167.666,1.108000000000004,H1,2023-11-21 16:00,2023-11-21 17:00,167.382,167.414,0.031999999999982265,0.028880866425976665,2023-11-29 00:00,False
CHFJPY,short,2023-11-21 00:00,2023-11-24 00:00,169.181,169.686,0.5049999999999955,H1,2023-11-24 17:00,2023-11-24 18:00,169.636,169.686,0.05000000000001137,0.09900990099012241,2023-11-29 00:00,False
CHFJPY,long,2023-11-24 00:00,2023-11-29 00:00,167.402,167.94,0.5380000000000109,H1,2023-11-29 00:00,2023-11-29 01:00,167.402,167.454,0.05200000000002092,0.09665427509297372,2023-12-04 00:00,False
CHFJPY,long,2023-11-24 00:00,2023-11-29 00:00,167.402,167.94,0.5380000000000109,H1,2023-11-29 07:00,2023-11-29 08:00,167.62,167.676,0.055999999999983174,0.10408921933082163,2023-12-04 00:00,False
CHFJPY,short,2023-11-29 00:00,2023-12-04 00:00,168.924,170.228,1.304000000000002,H1,2023-11-30 15:00,2023-11-30 16:00,170.084,170.228,0.14400000000000546,0.11042944785276475,2023-12-28 00:00,False
CHFJPY,short,2023-11-29 00:00,2023-12-04 00:00,168.924,170.228,1.304000000000002,H1,2023-12-01 07:00,2023-12-01 08:00,169.532,169.582,0.04999999999998295,0.038343558282195454,2023-12-28 00:00,False
CHFJPY,short,2023-11-29 00:00,2023-12-04 00:00,168.924,170.228,1.304000000000002,H1,2023-12-01 11:00,2023-12-01 12:00,169.405,169.452,0.046999999999997044,0.03604294478527375,2023-12-28 00:00,False
CHFJPY,short,2023-11-29 00:00,2023-12-04 00:00,168.924,170.228,1.304000000000002,H1,2023-12-01 15:00,2023-12-01 16:00,169.236,169.384,0.14799999999999613,0.11349693251533428,2023-12-28 00:00,False
CHFJPY,short,2023-11-29 00:00,2023-12-04 00:00,168.924,170.228,1.304000000000002,H1,2023-12-01 18:00,2023-12-01 19:00,169.087,169.098,0.011000000000024102,0.008435582822104359,2023-12-28 00:00,False
CHFJPY,short,2023-11-29 00:00,2023-12-04 00:00,168.924,170.228,1.304000000000002,H1,2023-12-01 20:00,2023-12-01 21:00,168.951,168.971,0.020000000000010232,0.015337423312891257,2023-12-28 00:00,False
CHFJPY,long,2023-12-12 00:00,2023-12-15 00:00,162.174,163.522,1.3479999999999848,H1,2023-12-14 13:00,2023-12-14 14:00,162.87,162.998,0.1279999999999859,0.09495548961423395,,True
AUDJPY,long,2023-10-02 00:00,2023-10-05 00:00,93.065,94.318,1.2530000000000001,H1,2023-10-03 19:00,2023-10-03 20:00,93.716,93.767,0.05100000000000193,0.040702314445332746,2023-10-13 00:00,False
AUDJPY,long,2023-10-02 00:00,2023-10-05 00:00,93.065,94.318,1.2530000000000001,H1,2023-10-04 14:00,2023-10-04 15:00,93.958,93.968,0.010000000000005116,0.007980845969676867,2023-10-13 00:00,False
AUDJPY,long,2023-10-02 00:00,2023-10-05 00:00,93.065,94.318,1.2530000000000001,H1,2023-10-04 17:00,2023-10-04 18:00,94.169,94.172,0.0030000000000001137,0.0023942537909019262,2023-10-13 00:00,False
AUDJPY,long,2023-10-10 00:00,2023-10-13 00:00,94.053,94.591,0.5379999999999967,H1,2023-10-13 20:00,2023-10-15 21:00,94.133,94.136,0.0030000000000001137,0.005576208178438907,2023-10-18 00:00,False
AUDJPY,short,2023-10-13 00:00,2023-10-18 00:00,95.363,95.666,0.30299999999999727,H1,2023-10-18 06:00,2023-10-18 07:00,95.659,95.666,0.006999999999990791,0.02310231023099292,2023-10-23 00:00,False
AUDJPY,short,2023-10-13 00:00,2023-10-18 00:00,95.363,95.666,0.30299999999999727,H1,2023-10-18 08:00,2023-10-18 09:00,95.606,95.608,0.0020000000000095497,0.006600660066038177,2023-10-23 00:00,False
AUDJPY,short,2023-11-21 00:00,2023-11-24 00:00,98.092,98.544,0.4519999999999982,H1,2023-11-24 17:00,2023-11-24 18:00,98.542,98.544,0.001999999999995339,0.004424778761051652,2023-11-29 00:00,False
AUDJPY,short,2023-12-15 00:00,2023-12-20 00:00,97.268,97.586,0.31799999999999784,H1,2023-12-19 10:00,2023-12-19 11:00,97.559,97.586,0.027000000000001023,0.08490566037736229,2023-12-25 00:00,False
AUDJPY,long,2023-12-20 00:00,2023-12-25 00:00,96.329,96.832,0.5030000000000001,H1,2023-12-22 07:00,2023-12-22 08:00,96.37,96.442,0.07199999999998852,0.1431411530814881,2023-12-28 00:00,False
EURUSD,long,2023-10-02 00:00,2023-10-05 00:00,1.04485,1.0504,0.005549999999999944,H1,2023-10-04 06:00,2023-10-04 07:00,1.04515,1.04543,0.000280000000000058,0.050450450450461405,2023-10-13 00:00,False
EURUSD,long,2023-10-10 00:00,2023-10-13 00:00,1.04954,1.05283,0.003290000000000015,H1,2023-10-13 15:00,2023-10-13 16:00,1.04954,1.04994,0.000400000000000178,0.12158054711251555,2023-10-18 00:00,False
EURUSD,long,2023-10-10 00:00,2023-10-13 00:00,1.04954,1.05283,0.003290000000000015,H1,2023-10-13 17:00,2023-10-13 18:00,1.05008,1.05042,0.00034000000000000696,0.10334346504559434,2023-10-18 00:00,False
EURUSD,long,2023-10-10 00:00,2023-10-13 00:00,1.04954,1.05283,0.003290000000000015,H1,2023-10-13 20:00,2023-10-15 21:00,1.05058,1.0509,0.00031999999999987594,0.09726443768993145,2023-10-18 00:00,False
EURUSD,long,2023-10-23 00:00,2023-10-26 00:00,1.05218,1.05661,0.004430000000000156,H1,2023-10-26 16:00,2023-10-26 17:00,1.05249,1.05282,0.0003300000000001635,0.07449209932283338,2023-10-31 00:00,False
EURUSD,long,2023-10-23 00:00,2023-10-26 00:00,1.05218,1.05661,0.004430000000000156,H1,2023-10-27 11:00,2023-10-27 12:00,1.05352,1.05356,4.0000000000040004e-05,0.00902934537246921,2023-10-31 00:00,False
EURUSD,short,2023-11-03 00:00,2023-11-08 00:00,1.07,1.07564,0.005639999999999867,H1,2023-11-06 08:00,2023-11-06 09:00,1.07563,1.07564,9.999999999843467e-06,0.0017730496453623587,2023-11-13 00:00,False
EURUSD,short,2023-11-03 00:00,2023-11-08 00:00,1.07,1.07564,0.005639999999999867,H1,2023-11-06 11:00,2023-11-06 12:00,1.07541,1.07542,1.0000000000065512e-05,0.0017730496454017282,2023-11-13 00:00,False
EURUSD,short,2023-11-03 00:00,2023-11-08 00:00,1.07,1.07564,0.005639999999999867,H1,2023-11-06 16:00,2023-11-06 17:00,1.07462,1.07495,0.0003300000000001635,0.058510638297902706,2023-11-13 00:00,False
EURUSD,short,2023-11-03 00:00,2023-11-08 00:00,1.07,1.07564,0.005639999999999867,H1,2023-11-06 18:00,2023-11-06 19:00,1.0737,1.07373,2.999999999997449e-05,0.005319148936165815,2023-11-13 00:00,False
EURUSD,short,2023-11-16 00:00,2023-11-21 00:00,1.094,1.09652,0.0025199999999998557,H1,2023-11-21 03:00,2023-11-21 04:00,1.09643,1.09652,8.999999999992347e-05,0.035714285714257395,2023-11-24 00:00,False
EURUSD,short,2023-11-16 00:00,2023-11-21 00:00,1.094,1.09652,0.0025199999999998557,H1,2023-11-21 14:00,2023-11-21 15:00,1.09592,1.09595,2.999999999997449e-05,0.011904761904752464,2023-11-24 00:00,False
EURUSD,long,2023-11-21 00:00,2023-11-24 00:00,1.08524,1.09066,0.00541999999999998,H1,2023-11-22 15:00,2023-11-22 16:00,1.08524,1.08616,0.0009200000000000319,0.16974169741698067,2023-11-29 00:00,False
EURUSD,long,2023-11-21 00:00,2023-11-24 00:00,1.08524,1.09066,0.00541999999999998,H1,2023-11-22 19:00,2023-11-22 20:00,1.08798,1.08818,0.00019999999999997797,0.03690036900368611,2023-11-29 00:00,False
EURUSD,long,2023-11-21 00:00,2023-11-24 00:00,1.08524,1.09066,0.00541999999999998,H1,2023-11-22 22:00,2023-11-22 23:00,1.08825,1.08844,0.0001900000000001345,0.03505535055353048,2023-11-29 00:00,False
EURUSD,short,2023-12-12 00:00,2023-12-15 00:00,1.09918,1.10094,0.0017599999999999838,H1,2023-12-14 17:00,2023-12-14 18:00,1.10062,1.10094,0.000320000000000098,0.18181818181823917,2023-12-20 00:00,False
GBPCAD,short,2023-10-02 00:00,2023-10-05 00:00,1.6685,1.67626,0.007759999999999989,H1,2023-10-06 11:00,2023-10-06 12:00,1.67526,1.67626,0.001000000000000112,0.1288659793814579,2023-10-10 00:00,False
GBPCAD,short,2023-10-02 00:00,2023-10-05 00:00,1.6685,1.67626,0.007759999999999989,H1,2023-10-06 15:00,2023-10-06 16:00,1.67388,1.6752,0.0013199999999999878,0.17010309278350383,2023-10-10 00:00,False
GBPCAD,short,2023-10-02 00:00,2023-10-05 00:00,1.6685,1.67626,0.007759999999999989,H1,2023-10-06 19:00,2023-10-06 20:00,1.67292,1.67341,0.0004900000000001015,0.06314432989692038,2023-10-10 00:00,False
GBPCAD,long,2023-10-05 00:00,2023-10-10 00:00,1.66038,1.66284,0.0024600000000001288,H1,2023-10-10 04:00,2023-10-10 05:00,1.66038,1.66065,0.00026999999999999247,0.1097560975609668,2023-10-13 00:00,False
GBPCAD,short,2023-10-10 00:00,2023-10-13 00:00,1.66683,1.67586,0.009029999999999871,H1,2023-10-11 15:00,2023-10-11 16:00,1.67534,1.67552,0.00017999999999984695,0.019933554817259082,2023-10-18 00:00,False
GBPCAD,short,2023-10-10 00:00,2023-10-13 00:00,1.66683,1.67586,0.009029999999999871,H1,2023-10-12 05:00,2023-10-12 06:00,1.67469,1.67504,0.0003500000000000725,0.038759689922489196,2023-10-18 00:00,False
GBPCAD,short,2023-10-10 00:00,2023-10-13 00:00,1.66683,1.67586,0.009029999999999871,H1,2023-10-12 11:00,2023-10-12 12:00,1.67314,1.67402,0.0008799999999999919,0.09745293466223748,2023-10-18 00:00,False
GBPCAD,long,2023-10-13 00:00,2023-10-18 00:00,1.65574,1.66264,0.006899999999999906,H1,2023-10-16 13:00,2023-10-16 14:00,1.65574,1.65583,8.999999999992347e-05,0.013043478260858651,,True
GBPCAD,long,2023-10-13 00:00,2023-10-18 00:00,1.65574,1.66264,0.006899999999999906,H1,2023-10-17 10:00,2023-10-17 11:00,1.6574,1.65806,0.000660000000000105,0.09565217391305998,,True
USDCAD,short,2023-10-02 00:00,2023-10-05 00:00,1.37475,1.37858,0.00383,H1,2023-10-05 08:00,2023-10-05 09:00,1.37842,1.37858,0.00015999999999993797,0.04177545691904386,2023-10-23 00:00,False
USDCAD,long,2023-10-05 00:00,2023-10-10 00:00,1.35693,1.35874,0.0018100000000000893,H1,2023-10-10 01:00,2023-10-10 02:00,1.35693,1.35707,0.000140000000000029,0.07734806629835474,2023-11-24 00:00,False
