pair,pivot_type,3day_first_candle_time,3day_second_candle_time,3day_gap_low,3day_gap_high,3day_gap_width,ltf,wd_first_candle_time,wd_second_candle_time,wd_zone_low,wd_zone_high,wd_zone_width,wd_zone_pct_of_weekly,3day_first_touch_time,pending_until_3day_touch
EURCHF,short,2020-01-27 00:00,2020-01-30 00:00,1.0717,1.07378,0.0020799999999998597,H1,2020-01-29 17:00,2020-01-29 18:00,1.07274,1.0728,5.999999999994898e-05,0.028846153846131265,2020-02-04 00:00,False
EURCHF,short,2020-01-27 00:00,2020-01-30 00:00,1.0717,1.07378,0.0020799999999998597,H1,2020-01-29 23:00,2020-01-30 00:00,1.07202,1.0723,0.000280000000000058,0.13461538461542158,2020-02-04 00:00,False
EURCHF,long,2020-01-30 00:00,2020-02-04 00:00,1.06638,1.06851,0.0021299999999999653,H1,2020-02-03 13:00,2020-02-03 14:00,1.06638,1.06663,0.00024999999999986144,0.11737089201871621,2020-02-07 00:00,False
EURCHF,short,2020-02-04 00:00,2020-02-07 00:00,1.07029,1.07281,0.0025200000000000777,H1,2020-02-06 13:00,2020-02-06 14:00,1.07226,1.07245,0.00018999999999991246,0.07539682539678834,2020-02-28 00:00,False
EURCHF,long,2020-02-20 00:00,2020-02-25 00:00,1.05902,1.06252,0.0034999999999998366,H1,2020-02-24 13:00,2020-02-24 14:00,1.05902,1.05921,0.00018999999999991246,0.05428571428569181,2020-02-28 00:00,False
EURCHF,short,2020-02-28 00:00,2020-03-04 00:00,1.06828,1.071,0.0027200000000000557,H1,2020-03-03 18:00,2020-03-03 19:00,1.0708,1.071,0.00019999999999997797,0.07352941176469628,2020-05-27 00:00,False
EURCHF,short,2020-03-12 00:00,2020-03-17 00:00,1.0586,1.06194,0.0033400000000001207,H1,2020-03-17 03:00,2020-03-17 04:00,1.0603,1.06049,0.00018999999999991246,0.056886227544881915,2020-03-20 00:00,False
EURCHF,long,2020-03-17 00:00,2020-03-20 00:00,1.05248,1.05417,0.0016899999999999693,H1,2020-03-20 03:00,2020-03-20 04:00,1.0527,1.0527,0.0,0.0,2020-04-10 00:00,False
EURCHF,long,2020-03-17 00:00,2020-03-20 00:00,1.05248,1.05417,0.0016899999999999693,H1,2020-03-22 22:00,2020-03-22 23:00,1.05298,1.0532,0.00021999999999988695,0.13017751479283488,2020-04-10 00:00,False
EURCHF,short,2020-03-25 00:00,2020-03-30 00:00,1.05997,1.06542,0.005449999999999955,H1,2020-03-26 08:00,2020-03-26 09:00,1.06484,1.06496,0.00011999999999989797,0.02201834862383467,2020-04-28 00:00,False
EURCHF,short,2020-03-25 00:00,2020-03-30 00:00,1.05997,1.06542,0.005449999999999955,H1,2020-03-26 15:00,2020-03-26 16:00,1.06373,1.06441,0.0006800000000000139,0.12477064220183845,2020-04-28 00:00,False
EURCHF,long,2020-04-20 00:00,2020-04-23 00:00,1.05095,1.0516,0.0006500000000000394,H1,2020-04-23 12:00,2020-04-23 13:00,1.05095,1.05098,2.999999999997449e-05,0.04615384615380411,2020-05-11 00:00,False
EURCHF,long,2020-04-20 00:00,2020-04-23 00:00,1.05095,1.0516,0.0006500000000000394,H1,2020-04-24 09:00,2020-04-24 10:00,1.05127,1.05128,1.0000000000065512e-05,0.01538461538471524,2020-05-11 00:00,False
EURCHF,short,2020-04-28 00:00,2020-05-01 00:00,1.05762,1.06116,0.0035400000000000986,H1,2020-04-29 18:00,2020-04-29 19:00,1.06057,1.06092,0.0003500000000000725,0.09887005649719285,2020-05-14 00:00,False
