time,open,high,low,close,Volume
1325455200,0.9389,0.93989,0.93814,0.9392,290
1325469600,0.9392,0.94141,0.93902,0.94092,631
1325484000,0.94092,0.94123,0.93684,0.93958,1268
1325498400,0.93958,0.9409,0.93909,0.94014,886
1325512800,0.94014,0.94081,0.93875,0.93979,369
1325527200,0.93979,0.94061,0.93972,0.93978,170
1325541600,0.93978,0.94006,0.938135,0.938385,660
1325556000,0.938385,0.939545,0.937755,0.939105,1794
1325570400,0.939105,0.939265,0.93512,0.93615,3580
1325584800,0.93615,0.93675,0.93142,0.93464,3753
1325599200,0.93464,0.9356,0.93138,0.93255,2945
1325613600,0.93255,0.93255,0.93056,0.93213,1408
1325628000,0.93213,0.932645,0.93154,0.932605,918
1325642400,0.932605,0.934375,0.932495,0.934095,667
1325656800,0.934095,0.935805,0.932795,0.934845,2204
1325671200,0.934845,0.942385,0.934205,0.942245,3921
1325685600,0.942245,0.944855,0.939815,0.940705,3306
1325700000,0.940705,0.942315,0.940595,0.94172,1075
1325714400,0.94172,0.943235,0.94124,0.942665,1663
1325728800,0.942665,0.942995,0.941885,0.942735,1305
1325743200,0.942735,0.94833,0.94146,0.94747,3649
1325757600,0.94747,0.95192,0.94653,0.95097,4190
1325772000,0.95097,0.953165,0.9504,0.952235,4052
1325786400,0.952235,0.95379,0.952195,0.9525,1295
1325800800,0.9525,0.95299,0.9521,0.95268,588
1325815200,0.95268,0.95454,0.9521,0.95447,977
1325829600,0.95447,0.954895,0.950735,0.951555,2852
1325844000,0.951555,0.95703,0.950625,0.95644,3605
1325858400,0.95644,0.95788,0.95386,0.95576,3676
1325872800,0.95576,0.95597,0.95435,0.95517,783
1326060000,0.95756,0.95952,0.95632,0.956795,1620
1326074400,0.956795,0.957305,0.954695,0.955375,985
1326088800,0.955375,0.955515,0.951205,0.951525,3076
1326103200,0.951525,0.953865,0.949065,0.951235,3372
1326117600,0.951235,0.954025,0.950735,0.952545,3073
1326132000,0.952545,0.952545,0.94912,0.94961,1241
1326146400,0.94961,0.94995,0.94737,0.94864,973
1326160800,0.94864,0.94911,0.94657,0.94724,942
1326175200,0.94724,0.95115,0.94668,0.94785,3080
1326189600,0.94785,0.95016,0.947,0.94856,3125
1326204000,0.94856,0.95062,0.94811,0.94925,2869
1326218400,0.94925,0.94996,0.94829,0.94915,908
1326232800,0.94915,0.9524,0.94874,0.95115,973
1326247200,0.95115,0.95223,0.95067,0.95157,593
1326261600,0.95157,0.95178,0.948325,0.948805,2226
1326276000,0.948805,0.956095,0.948665,0.953515,4189
1326290400,0.953515,0.9567,0.95321,0.95548,3312
1326304800,0.95548,0.95552,0.95388,0.95411,1342
1326319200,0.95411,0.9544,0.953205,0.95392,668
1326333600,0.95392,0.95392,0.95224,0.953,702
1326348000,0.953,0.95456,0.95047,0.95055,2141
1326362400,0.95055,0.95238,0.9481,0.94981,4023
1326376800,0.94981,0.94981,0.94195,0.94251,3596
1326391200,0.94251,0.94464,0.9412,0.94457,1688
1326405600,0.94457,0.94501,0.94372,0.9445,851
1326420000,0.9445,0.94484,0.94285,0.94335,731
1326434400,0.94335,0.944775,0.94073,0.943585,3730
1326448800,0.943585,0.951065,0.942845,0.950635,4741
1326463200,0.950635,0.957475,0.950635,0.95318,5881
1326477600,0.95318,0.95473,0.95105,0.95211,2006
1326664800,0.95534,0.95623,0.95342,0.95508,1689
1326679200,0.95508,0.95568,0.95382,0.95564,1178
1326693600,0.95564,0.95621,0.9526,0.95457,3041
1326708000,0.95457,0.95662,0.95351,0.954125,2717
1326722400,0.954125,0.954325,0.953045,0.954105,1215
1326736800,0.954105,0.955065,0.953865,0.9542,519
1326751200,0.9542,0.95745,0.95166,0.95166,1356
1326765600,0.95166,0.952865,0.949725,0.95054,1148
1326780000,0.95054,0.95107,0.946295,0.946635,2472
1326794400,0.946635,0.949665,0.944805,0.949555,3706
1326808800,0.949555,0.952515,0.947945,0.950005,3165
1326823200,0.950005,0.950835,0.94908,0.94945,1105
1326837600,0.94945,0.94967,0.947715,0.948155,540
1326852000,0.948155,0.948255,0.946175,0.947355,817
1326866400,0.947355,0.94966,0.94367,0.94513,3733
1326880800,0.94513,0.94632,0.94084,0.9441,5211
1326895200,0.9441,0.946195,0.938355,0.939685,3898
1326909600,0.939685,0.941075,0.9391,0.93949,1314
1326924000,0.93949,0.94064,0.93854,0.93952,1089
1326938400,0.93952,0.940105,0.938045,0.939785,842
1326952800,0.939785,0.941265,0.935905,0.937745,3784
1326967200,0.937745,0.938455,0.934765,0.935985,3417
1326981600,0.935985,0.937855,0.933495,0.934155,2371
1326996000,0.934155,0.934535,0.93178,0.93207,1339
1327010400,0.93207,0.93294,0.93178,0.93242,764
1327024800,0.93242,0.93307,0.93208,0.9323,365
1327039200,0.9323,0.936525,0.930695,0.936195,2763
1327053600,0.936195,0.937055,0.934185,0.934265,2853
1327068000,0.934265,0.935415,0.932575,0.93442,2200
1327082400,0.93442,0.9356,0.93406,0.93454,704
1327269600,0.93765,0.93796,0.93603,0.9366,793
1327284000,0.9366,0.93724,0.9361,0.93669,514
1327298400,0.93669,0.93751,0.9333,0.93408,2143
1327312800,0.93408,0.93491,0.92572,0.92684,4165
1327327200,0.92684,0.928675,0.925225,0.928335,2464
1327341600,0.928335,0.928695,0.926415,0.92759,1087
1327356000,0.92759,0.92823,0.92672,0.92768,1189
1327370400,0.92768,0.929185,0.927185,0.927505,642
1327384800,0.927505,0.928605,0.923515,0.927315,3438
1327399200,0.927315,0.931145,0.926165,0.930655,3473
1327413600,0.930655,0.931005,0.928085,0.928165,2513
1327428000,0.928165,0.928805,0.92751,0.92762,600
1327442400,0.92762,0.92857,0.92692,0.92849,1035
1327456800,0.92849,0.92929,0.92797,0.92875,894
1327471200,0.92875,0.930735,0.927045,0.930695,2548
1327485600,0.930695,0.933915,0.930305,0.931915,3186
1327500000,0.931915,0.932955,0.92471,0.92555,3287
1327514400,0.92555,0.92563,0.92046,0.92161,3198
1327528800,0.92161,0.92289,0.9211,0.92227,980
1327543200,0.92227,0.92233,0.92128,0.92142,686
1327557600,0.92142,0.922155,0.916765,0.916765,2749
1327572000,0.916765,0.918785,0.916295,0.916375,2763
1327586400,0.916375,0.918845,0.915685,0.917805,3072
