time,open,high,low,close,Volume
1325455200,1.31441,1.31505,1.31229,1.31339,210
1325469600,1.31339,1.31705,1.31213,1.31393,455
1325484000,1.31393,1.31482,1.30976,1.31344,734
1325498400,1.31344,1.31544,1.31188,1.31342,483
1325512800,1.31342,1.32153,1.31187,1.31288,367
1325527200,1.31288,1.31515,1.31222,1.31448,289
1325541600,1.31448,1.31611,1.31142,1.31531,2127
1325556000,1.31531,1.3155,1.31163,1.31235,1090
1325570400,1.31235,1.31307,1.310485,1.310745,2160
1325584800,1.310745,1.314935,1.310265,1.314145,2796
1325599200,1.314145,1.314945,1.312815,1.312945,2712
1325613600,1.312945,1.314135,1.312035,1.314135,1650
1325628000,1.314135,1.314955,1.31044,1.31075,1369
1325642400,1.31075,1.31276,1.31025,1.31214,1186
1325656800,1.31214,1.313875,1.31148,1.312075,2640
1325671200,1.312075,1.312615,1.309935,1.312205,3487
1325685600,1.312205,1.315905,1.310925,1.315545,3199
1325700000,1.315545,1.317285,1.314345,1.316275,1873
1325714400,1.316275,1.316835,1.31242,1.3131,1996
1325728800,1.3131,1.31376,1.31122,1.31318,1432
1325743200,1.31318,1.31423,1.31213,1.31275,3502
1325757600,1.31275,1.31379,1.31126,1.3119,4296
1325772000,1.3119,1.31533,1.31134,1.31438,4092
1325786400,1.31438,1.315165,1.312515,1.314485,2418
1325800800,1.314485,1.315025,1.3119,1.31317,1709
1325815200,1.31317,1.31323,1.31136,1.31196,1649
1325829600,1.31196,1.31317,1.31093,1.3114,2320
1325844000,1.3114,1.31273,1.3091,1.30956,3156
1325858400,1.30956,1.31095,1.30852,1.30938,3839
1325872800,1.30938,1.31058,1.30861,1.31021,1077
1326060000,1.30888,1.30964,1.3032,1.3034,2362
1326074400,1.3034,1.30431,1.3024,1.30326,1558
1326088800,1.30326,1.30401,1.30133,1.30247,3167
1326103200,1.30247,1.30383,1.30039,1.3014,2549
1326117600,1.3014,1.30344,1.30015,1.30041,3237
1326132000,1.30041,1.30105,1.29871,1.300585,1770
1326146400,1.300585,1.30278,1.29735,1.29737,2142
1326160800,1.29737,1.29927,1.29684,1.29873,1866
1326175200,1.29873,1.30009,1.29803,1.29956,3172
1326189600,1.29956,1.30235,1.29861,1.30184,3176
1326204000,1.30184,1.30239,1.2981,1.3,3197
1326218400,1.3,1.30083,1.297635,1.297905,1944
1326232800,1.297905,1.299185,1.29483,1.2959,2201
1326247200,1.2959,1.2965,1.29505,1.29604,953
1326261600,1.29604,1.29793,1.29522,1.29753,2389
1326276000,1.29753,1.29767,1.2937,1.29553,3859
1326290400,1.29553,1.29621,1.29416,1.29515,3211
1326304800,1.29515,1.29561,1.2926,1.293315,1826
1326319200,1.293315,1.294185,1.29239,1.29318,1796
1326333600,1.29318,1.29478,1.29285,1.29446,1298
1326348000,1.29446,1.29651,1.29362,1.29622,2437
1326362400,1.29622,1.3014,1.29572,1.30129,4120
1326376800,1.30129,1.30242,1.29885,1.30133,4330
1326391200,1.30133,1.30219,1.300655,1.301705,1624
1326405600,1.301705,1.30347,1.300315,1.30332,1206
1326420000,1.30332,1.30526,1.30304,1.30497,1245
1326434400,1.30497,1.30552,1.30219,1.30315,3263
1326448800,1.30315,1.30419,1.30106,1.30214,3680
1326463200,1.30214,1.30299,1.29817,1.29842,5788
1326477600,1.29842,1.30114,1.29796,1.29953,1767
1326664800,1.29852,1.2996,1.29425,1.29526,1697
1326679200,1.29526,1.29693,1.29471,1.29625,1110
1326693600,1.29625,1.30005,1.29595,1.29922,2803
1326708000,1.29922,1.3014,1.29859,1.30068,2331
