time,open,high,low,close
2004-01-26 19:00:00+01:00,134.09,134.09,132.605,132.605
2004-01-27 19:00:00+01:00,132.605,133.535,132.605,133.535
2004-01-28 19:00:00+01:00,133.535,133.535,132.405,132.405
2004-01-29 19:00:00+01:00,132.405,132.405,131.505,131.505
2004-01-30 19:00:00+01:00,131.505,131.95,131.505,131.95
2004-02-02 19:00:00+01:00,131.88,131.88,131.255,131.255
2004-02-03 19:00:00+01:00,131.255,132.245,131.255,132.245
2004-02-04 19:00:00+01:00,132.245,132.245,132.185,132.185
2004-02-05 19:00:00+01:00,132.185,132.81,132.185,132.81
2004-02-06 19:00:00+01:00,132.81,133.955,132.81,133.955
2004-02-09 19:00:00+01:00,133.475,133.975,133.475,133.975
2004-02-10 19:00:00+01:00,133.975,134.025,133.975,134.025
2004-02-11 19:00:00+01:00,134.025,135.135,134.025,135.135
2004-02-12 19:00:00+01:00,135.135,135.135,134.94,134.94
2004-02-13 19:00:00+01:00,134.94,134.94,134.38,134.38
2004-02-16 19:00:00+01:00,134.51,134.695,134.51,134.695
2004-02-17 19:00:00+01:00,134.695,135.655,134.695,135.655
2004-02-18 19:00:00+01:00,135.655,135.655,135.345,135.345
2004-02-19 19:00:00+01:00,135.345,136.205,135.345,136.205
2004-02-20 19:00:00+01:00,136.205,136.63,136.205,136.63
2004-02-23 19:00:00+01:00,136.35,136.35,136.095,136.095
2004-02-24 19:00:00+01:00,136.095,137.215,136.095,137.215
2004-02-25 19:00:00+01:00,137.215,137.215,136.265,136.265
2004-02-26 19:00:00+01:00,136.265,136.315,136.265,136.315
2004-02-27 19:00:00+01:00,136.315,136.315,136.15,136.15
2004-03-01 19:00:00+01:00,136.21,136.21,135.575,135.575
2004-03-02 19:00:00+01:00,135.575,135.575,134.515,134.515
2004-03-03 19:00:00+01:00,134.515,134.515,134.235,134.235
2004-03-04 19:00:00+01:00,134.235,135.375,134.235,135.375
2004-03-05 19:00:00+01:00,135.375,138.67,135.375,138.67
2004-03-08 19:00:00+01:00,138.73,138.73,137.915,137.915
2004-03-09 19:00:00+01:00,137.915,137.915,137.105,137.105
2004-03-10 19:00:00+01:00,137.105,137.105,135.645,135.645
2004-03-11 19:00:00+01:00,135.645,136.875,135.645,136.875
2004-03-12 19:00:00+01:00,136.875,136.875,135.52,135.52
2004-03-15 19:00:00+01:00,135.5,135.5,135.395,135.395
2004-03-16 19:00:00+01:00,135.395,135.395,133.465,133.465
2004-03-17 19:00:00+01:00,133.465,133.465,132.505,132.505
2004-03-18 19:00:00+01:00,132.505,132.505,132.295,132.295
2004-03-19 19:00:00+01:00,132.295,132.295,131.06,131.06
2004-03-22 19:00:00+01:00,131.2,131.715,131.2,131.715
2004-03-23 19:00:00+01:00,131.715,131.715,131.645,131.645
2004-03-24 19:00:00+01:00,131.645,131.645,128.855,128.855
2004-03-25 19:00:00+01:00,128.855,128.895,128.855,128.895
